Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.37138888
Longitude: -52.40083333
Altitude: 889
Situacao: Operante
Data Inicial: 2016-08-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;10;null;922,868403;14,476405;7,4;null;
2016-09-30;10;94,2;923,730278;15,173472;8,3;1,651852;
2016-10-31;12;168,8;920,779465;18,339218;6,3;1,830679;
2016-11-30;11;119,8;919,981805;19,80125;6,3;1,714722;
2016-12-31;20;270,4;919,458871;21,178629;6,7;1,841626;
2017-01-31;19;125,8;920,221774;21,944892;5,8;1,570968;
2017-02-28;22;144;920,262798;22,009226;4,6;1,580952;
2017-03-31;19;122,8;921,519624;20,811962;5,2;1,568103;
2017-04-30;13;167;922,487639;18,028333;6,9;null;
2017-05-31;16;161;922,545699;17,775941;6,3;1,54;
2017-06-30;19;187,8;924,602222;14,4375;6,9;1,677315;
2017-07-31;7;5;928,586962;12,693952;6,2;1,711694;
2017-08-31;12;122,2;923,317876;16,366129;6;1,750617;
2017-09-30;2;38,6;923,816111;20,35625;5,5;1,813472;
2017-10-31;18;432,2;920,161962;18,646505;8,1;null;
2017-11-30;11;232,6;918,810694;19,158055;6,9;null;
2017-12-31;16;200,6;918,500806;21,760484;5,8;1,687758;
2018-01-31;23;277,4;919,677688;21,211022;5,2;1,785507;
2018-02-28;13;83,6;920,094048;20,31503;5,4;1,638393;
2018-03-31;23;304,2;919,749866;21,740323;6;1,519086;
2018-04-30;10;78;923,921111;18,878611;4,5;1,390972;
2018-05-31;16;105,6;924,425538;15,479839;5;1,559274;
2018-06-30;23;163,2;924,744444;14,276944;7,5;1,707361;
2018-07-31;5;2,6;924,585349;15,088172;5,7;1,645161;
2018-08-31;16;90,6;924,814015;13,141869;4,9;1,502841;
2018-09-30;4;null;null;null;4,7;null;
2018-10-31;6;null;null;null;5,3;null;
2018-11-30;13;149,4;919,99875;20,711111;null;null;
2018-12-31;13;109;920,374731;21,842473;null;null;
2019-01-31;19;169,4;921,706855;23,042742;null;null;
2019-02-28;17;215;919,988095;21,208036;null;null;
2019-03-31;11;173,4;922,05914;20,763575;null;null;
2019-04-30;16;141,8;921,599167;19,465;null;null;
2019-05-31;20;339,2;922,317876;17,62379;null;null;
2019-06-30;14;76,6;925,250278;16,457778;null;null;
2019-07-31;11;33;924,939919;14,134946;null;null;
2019-08-31;5;6;926,021909;15,630645;null;null;
2019-09-30;7;59,2;922,087778;19,588056;null;null;
2019-10-31;11;183;920,883199;21,083602;null;null;
2019-11-30;13;196;919,160417;21,495278;4,5;null;
2019-12-31;13;183,6;919,446102;21,04879;5,8;1,568683;
2020-01-31;20;140;918,755376;21,812903;4,8;1,544489;
2020-02-29;9;91,2;920,367098;21,729885;5,7;1,672845;
2020-03-31;11;76,2;921,821102;20,409409;5,7;1,584946;
2020-04-30;7;44,6;923,269028;16,7425;5,4;1,525278;
2020-05-31;18;180,6;923,719355;13,621909;5,1;1,666936;
2020-06-30;16;135;923,134306;16,37375;7,3;2,028472;
2020-07-31;16;70,6;923,568817;14,637769;5,6;1,880645;
2020-08-31;13;175,8;924,150269;15,649059;5,5;null;
2020-09-30;5;75,6;921,83;20,579028;5,9;1,842222;
2020-10-31;3;null;920,844483;null;5,9;null;
2020-11-30;null;null;null;null;7,9;null;
2020-12-31;1;null;null;null;4,8;null;
2021-01-31;null;null;null;null;4,7;null;
2021-02-28;null;null;null;null;5;null;
2021-03-31;null;null;null;null;7,8;null;
2021-04-30;null;null;null;null;4,2;null;
2021-05-31;null;null;null;null;6,3;null;
2021-06-30;null;null;null;null;6,5;null;
2021-07-31;null;null;null;null;5,5;null;
2021-08-31;null;null;null;null;5,6;null;
2021-09-30;null;null;null;null;5,4;null;
2021-10-31;null;null;null;null;6,7;null;
2021-11-30;null;null;null;null;4,6;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;4;null;null;null;null;null;
2022-09-30;20;229,2;922,555;15,3125;null;null;
2022-10-31;24;566,6;920,44664;18,031989;null;null;
2022-11-30;12;185,8;920,71954;18,589511;null;null;
2022-12-31;11;173,8;918,213894;21,604861;null;null;
2023-01-31;19;261,6;919,460887;21,343011;null;null;
2023-02-28;19;234,2;920,086756;20,544196;null;null;
2023-03-31;21;116,8;921,365054;21,55578;null;null;
2023-04-30;24;132,6;921,41;18,028194;null;null;
2023-05-31;18;72;924,032393;15,986559;null;null;
2023-06-30;17;null;925,026;14,852;null;null;
2023-07-31;15;130;924,764583;16,259445;null;null;
2023-08-31;17;123,2;922,628822;16,786926;null;null;
2023-09-30;15;200,8;918,478858;20,49892;null;null;
2023-10-31;10;null;null;null;null;null;

