Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2000-05-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;null;null;null;20,153958;6;null;
2000-06-30;null;0;889,332441;19,266369;6,4;2,475;
2000-07-31;1;,2;888,612903;19,100538;7,8;2,701344;
2000-08-31;2;52,6;888,63293;21,483333;6,5;2,728763;
2000-09-30;6;null;887,605584;21,471554;7,2;3,082606;
2000-10-31;6;189,2;886,954704;23,336425;6,5;2,429301;
2000-11-30;20;225,2;884,480172;20,531897;6,5;2,549138;
2000-12-31;7;null;null;null;5,9;null;
2001-01-31;4;null;null;null;6,3;2,668751;
2001-02-28;17;98,2;886,116773;22,453704;7,9;2,025;
2001-03-31;22;201,2;886,865995;21,100672;6,7;2,085618;
2001-04-30;7;141,2;887,742697;21,798163;5,9;2,341685;
2001-05-31;7;35,6;887,781265;20,782392;5,7;2,036828;
2001-06-30;null;0;889,915983;19,491648;6,4;2,545987;
2001-07-31;1;13,6;889,651964;19,951175;6,9;2,546622;
2001-08-31;5;null;891,127691;19,611939;7,9;3,373228;
2001-09-30;9;null;887,364103;22,205142;6,5;2,568687;
2001-10-31;16;135,2;886,673446;21,203839;7,1;2,38847;
2001-11-30;19;null;885,221528;20,840036;7,4;2,238815;
2001-12-31;7;null;null;null;7,8;null;
2002-01-31;10;null;null;21,964444;7,5;null;
2002-02-28;19;null;886,603846;21,033974;8,1;2,232532;
2002-03-31;11;120,8;887,21473;22,302361;7,2;2,681822;
2002-04-30;6;91,6;887,089167;22,019167;7,2;2,569861;
2002-05-31;2;17,8;888,100427;20,901075;6,8;2,371102;
2002-06-30;null;null;890,484289;19,627083;6;2,556342;
2002-07-31;3;5,4;889,989948;20,240707;7,6;2,479162;
2002-08-31;1;null;889,605743;21,684912;7,3;3,035057;
2002-09-30;5;null;887,89289;22,098279;7,5;2,818469;
2002-10-31;6;null;885,836642;24,321629;6,8;2,421763;
2002-11-30;12;null;886,423777;22,164138;6,5;2,220002;
2002-12-31;17;null;886,416887;21,837484;6,8;2,141543;
2003-01-31;19;null;886,668289;21,834444;7,1;2,562268;
2003-02-28;14;null;887,341418;22,044746;6;2,533557;
2003-03-31;19;null;886,996983;20,984551;5,4;2,167372;
2003-04-30;9;null;889,286661;21,812146;6,9;2,354788;
