Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2001-05-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-05-31;null;null;null;null;null;null;
2001-06-30;1;2;933,174602;18,725371;6,1;1,599137;
2001-07-31;null;null;null;19,311042;10,3;null;
2001-08-31;2;21,4;934,099866;20,850556;9,1;2,444765;
2001-09-30;6;102,4;929,786606;23,514233;7,6;2,159928;
2001-10-31;12;124,8;928,903764;23,106452;7,8;2,050806;
2001-11-30;11;null;null;23,369247;13,4;null;
2001-12-31;22;289,8;927,310671;23,279306;7,9;2,059997;
2002-01-31;15;171,4;927,344798;23,848964;7,6;2,058006;
2002-02-28;17;null;928,574606;23,163618;8,3;1,867769;
2002-03-31;3;null;null;24,382283;7,5;null;
2002-04-30;2;15,4;929,350144;23,49881;8,2;1,607136;
2002-05-31;5;3,8;930,756638;21,590019;11,9;1,551308;
2002-06-30;null;null;933,254601;20,22339;6,6;1,49185;
2002-07-31;1;null;932,754732;20,465623;8,7;1,655736;
2002-08-31;1;1,8;931,980986;23,040864;9,3;2,222486;
2002-09-30;6;null;930,583583;22,967112;9;2,192262;
2002-10-31;6;33,2;927,760976;26,640742;9,7;1,964367;
2002-11-30;15;null;928,585058;24,106278;9,3;1,684583;
2002-12-31;18;203;928,09176;24,331885;9,1;1,713885;
2003-01-31;23;257,2;928,439801;23,718537;8,5;2,30789;
2003-02-28;20;225;929,588916;24,003843;7,2;1,563235;
2003-03-31;21;271,6;929,430671;23,143718;6,1;1,291742;
