Nome: FAINA
Codigo Estacao: A007
Latitude: -15.43333333
Longitude: -50.36666666
Altitude: 332
Situacao: Desativada
Data Inicial: 2003-02-19
Data Final: 2005-08-15
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;7;null;null;null;null;null;
2003-03-31;19;209;971,011156;25,032796;7,7;1,847446;
2003-04-30;12;67,8;971,692083;25,783056;5,8;1,998611;
2003-05-31;1;,4;972,743414;24,309958;7,8;2,268367;
2003-06-30;1;1,2;973,324886;23,786982;5,7;2,182311;
2003-07-31;0;0;974,924059;23,484677;7,1;2,559409;
2003-08-31;0;0;973,359005;26,283871;9,2;2,760349;
2003-09-30;5;26,8;971,49375;28,220833;8,5;2,585139;
2003-10-31;10;108;970,102016;27,351344;10,2;2,276075;
2003-11-30;20;318,6;969,413611;26,130972;9,9;1,946806;
2003-12-31;19;253,6;969,74207;26,806452;6,5;1,87957;
2004-01-31;28;483,4;968,255096;24,781095;7,8;1,820173;
2004-02-29;26;561,8;970,680116;24,673501;6,4;1,756334;
2004-03-31;19;352;970,21828;25,54422;8,5;1,681452;
2004-04-30;15;98,6;971,072947;25,495882;7,2;1,699028;
2004-05-31;3;25,2;972,689516;24,951478;6,2;2,158602;
2004-06-30;0;0;975,247258;22,963231;6,6;2,246546;
2004-07-31;1;1,8;973,911238;23,460279;8,6;2,497756;
2004-08-31;0;0;973,761583;25,387886;8,2;2,554979;
2004-09-30;1;null;971,221547;28,272554;6,8;2,448317;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;null;null;null;
2005-08-31;null;null;null;null;null;null;

