Nome: PALMAS
Codigo Estacao: A009
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2004-12-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-12-31;7;null;null;null;5,9;null;
2005-01-31;20;253,4;977,147978;26,292561;7,4;1,61167;
2005-02-28;15;264,6;977,233715;26,672004;5,5;1,685837;
2005-03-31;26;273,8;978,760694;25,860431;6,1;1,489241;
2005-04-30;20;179;978,609064;27,124106;6,2;1,705272;
2005-05-31;10;46,2;979,337231;26,693683;6,5;2,006183;
2005-06-30;0;0;980,41625;27,177083;9;2,303194;
2005-07-31;0;0;981,672785;26,628945;9,6;2,422253;
2005-08-31;0;0;979,906048;28,936559;9,4;2,783199;
2005-09-30;5;79,6;978,44337;29,938998;10,2;2,328424;
2005-10-31;7;55,4;977,396264;28,412147;8,1;1,63003;
2005-11-30;10;null;null;null;null;null;
2005-12-31;21;336,2;976,849193;25,932258;5,8;1,453763;
2006-01-31;13;172,6;977,012903;26,888978;6;1,453763;
2006-02-28;16;null;977,905361;25,700535;7;1,405461;
2006-03-31;21;362,2;978,35901;25,960954;8,6;1,297591;
2006-04-30;19;null;978,146661;25,422082;5,8;1,181159;
2006-05-31;5;null;null;26,096313;7,9;null;
2006-06-30;0;0;981,26218;26,246552;9,9;2,192899;
2006-07-31;0;0;981,419407;26,687593;9,5;2,126613;
2006-08-31;3;2;979,68687;28,691896;10,3;2,481275;
2006-09-30;6;193,8;978,963492;28,828161;8,6;2,022143;
2006-10-31;14;140,6;977,523118;27,457392;6,4;1,558333;
2006-11-30;16;122,6;977,060625;26,842491;8,7;1,727536;
2006-12-31;15;222,2;978,257011;26,489231;6,6;1,470833;
2007-01-31;22;354,2;978,018724;26,311331;7,6;1,493028;
2007-02-28;24;579;978,844656;24,788988;7,3;1,439849;
2007-03-31;17;212,8;978,227945;26,842765;7,5;1,536594;
2007-04-30;14;81,2;978,702083;26,495;8,4;1,377778;
2007-05-31;5;33,4;978,948927;27,305761;6,1;1,598228;
2007-06-30;0;0;980,739752;27,067071;10,3;2,404559;
2007-07-31;0;0;980,242087;27,578214;10,2;2,289493;
2007-08-31;0;0;979,612798;29,107784;11,8;3,284227;
2007-09-30;3;54,8;979,113593;30,115857;11,4;3,072687;
2007-10-31;8;79;976,998451;28,77583;10,7;1,826683;
2007-11-30;8;null;null;null;7,8;null;
2007-12-31;15;130;977,107124;26,593145;8,5;1,465188;
2008-01-31;24;294,4;977,451344;25,701613;5,7;1,302016;
2008-02-29;25;276,6;978,520546;25,219109;7,3;1,377443;
2008-03-31;26;296,8;978,323148;24,775772;6,6;1,235185;
2008-04-30;19;236,8;977,435833;25,91875;4,8;1,177639;
2008-05-31;7;33;979,208773;26,578519;6;1,282295;
2008-06-30;0;0;980,582778;26,361528;9,2;1,635;
2008-07-31;0;0;981,294758;26,718952;9;2,182258;
2008-08-31;0;0;978,67621;29,201075;8,5;2,286021;
2008-09-30;5;13,4;978,233611;30,536111;10,1;2,231528;
2008-10-31;11;99,6;977,584409;29,705645;9,7;2,054973;
2008-11-30;20;294,8;977,018388;26,578605;7,3;1,435121;
2008-12-31;25;172,4;977,250941;25,765323;7,1;1,388844;
2009-01-31;21;164,8;978,113815;26,495997;6,5;1,385268;
2009-02-28;23;347,4;977,904031;25,431074;6;1,384605;
2009-03-31;25;167,4;977,603629;26,044758;7,9;1,221371;
2009-04-30;17;null;978,968811;25,818069;5,2;null;
2009-05-31;9;null;null;null;5,8;null;
2009-06-30;3;null;null;26,538005;7,5;null;
2009-07-31;0;0;980,539651;27,09785;8,8;1,869086;
2009-08-31;1;,4;979,413441;28,992608;9,5;2,128495;
2009-09-30;11;79,6;978,858611;28,904028;8,7;1,597083;
2009-10-31;20;211,6;977,499425;26,427586;8,6;1,385058;
2009-11-30;18;171,4;976,850278;26,727917;6,1;1,457222;
2009-12-31;25;315,8;978,077285;25,993952;7,3;1,55;
