Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.71
Situacao: Operante
Data Inicial: 2007-01-22
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;6;null;null;null;null;null;
2007-02-28;23;321,6;990,028869;25,082887;5;,952976;
2007-03-31;15;177,6;989,240411;26,488913;4,1;,802465;
2007-04-30;10;null;null;25,871657;4,2;null;
2007-05-31;3;null;null;null;3,1;null;
2007-06-30;null;null;null;null;2,8;null;
2007-07-31;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;
2007-09-30;3;49;990,09266;27,822083;4,8;,988056;
2007-10-31;2;,8;988,138172;28,110753;6,3;1,238038;
2007-11-30;14;null;987,528426;26,296333;6,4;,887;
2007-12-31;12;203,6;988,184005;26,481586;5,6;,999731;
2008-01-31;18;383;988,588979;25,646505;4,6;,834005;
2008-02-29;17;234,6;989,662644;25,559673;5,7;,928333;
2008-03-31;24;326;989,51878;24,775034;5;,782642;
2008-04-30;20;284,8;988,580972;25,976389;4,5;,733333;
2008-05-31;11;112,8;990,256881;26,143952;4;,682784;
2008-06-30;1;,2;null;25,379167;3,3;,861389;
2008-07-31;1;,6;null;25,629167;4;,931452;
2008-08-31;0;0;989,51816;27,476747;5;,886962;
2008-09-30;3;18,4;989,344699;28,789722;4,7;1,055972;
2008-10-31;9;128,6;988,739634;28,201344;5;,931048;
2008-11-30;18;299;988,137222;26,270556;4,8;,928889;
2008-12-31;25;252,6;988,41353;25,569489;6,1;,806989;
2009-01-31;15;185,6;989,274597;26,293952;5,7;,87621;
2009-02-28;20;283;989,022995;25,726501;5,4;,736665;
2009-03-31;23;253,8;988,780511;26,205376;4,3;,73629;
2009-04-30;25;296;990,233889;25,640833;4,1;,699028;
2009-05-31;20;227,8;990,841248;25,564113;3,7;,577554;
2009-06-30;9;26,6;991,758623;26,025972;3,4;,67375;
