Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2017-08-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;1;null;null;null;null;null;
2017-09-30;3;null;946,030562;26,586451;8,8;3,249181;
2017-10-31;6;70;942,768287;27,95955;8,5;2,619058;
2017-11-30;18;188,8;941,953866;24,949264;10,1;2,39198;
2017-12-31;20;359,4;942,320438;24,353124;8,4;1,98858;
2018-01-31;18;276,4;943,245857;25,014645;10,8;1,746722;
2018-02-28;17;224,6;942,712804;24,768032;7;1,818109;
2018-03-31;15;271,4;943,168895;25,720997;9,8;1,657718;
2018-04-30;8;50;945,669028;23,714167;9;1,846667;
2018-05-31;2;14,2;947,028617;22,558907;6,9;2,112985;
2018-06-30;null;0;947,857459;23,24244;6,7;1,865526;
2018-07-31;0;0;947,770699;23,167204;7,5;2,167608;
2018-08-31;2;1;947,015591;24,540188;8,9;2,317742;
2018-09-30;6;35,4;943,880505;26,080833;8,7;2,337374;
2018-10-31;15;186;943,07365;26,110326;9,2;1,924755;
2018-11-30;20;179,8;942,600065;24,516675;8,8;2,079993;
2018-12-31;18;234,8;943,742812;25,476525;10,7;1,919454;
2019-01-31;8;null;null;null;12,5;null;
2019-02-28;17;192,4;943,565722;25,364027;7,1;1,856509;
2019-03-31;13;113;944,663908;25,167374;6,4;1,806972;
2019-04-30;11;284,8;944,660556;24,790278;6,1;1,349583;
2019-05-31;6;34,6;945,577151;23,972715;5,6;1,469355;
2019-06-30;0;0;948,422917;22,668472;6,7;2,131667;
2019-07-31;1;2;947,933333;22,424462;9,2;2,363441;
2019-08-31;2;4,2;948,181225;24,887231;9,1;2,716245;
2019-09-30;2;8,8;944,368611;28,980278;8,5;2,534861;
2019-10-31;13;99,8;943,06461;27,418472;8,2;2,183368;
2019-11-30;15;236;942,120037;26,195249;7,5;1,953144;
2019-12-31;21;230,8;942,93268;25,235632;6,9;1,790866;
2020-01-31;17;172,2;942,589247;25,660081;6,9;2,115591;
2020-02-29;16;325,8;943,877368;24,998107;7,2;1,90496;
2020-03-31;14;142,6;943,819141;25,508089;8,3;1,612081;
2020-04-30;9;null;945,252952;24,577;7,8;1,534666;
2020-05-31;3;null;null;20,47;6,2;null;
2020-06-30;null;0;947,474446;23,425595;7,7;1,905686;
2020-07-31;null;null;947,064255;23,45264;7;2,157745;
2020-08-31;null;null;null;null;8,6;null;
2020-09-30;null;null;null;null;7,3;null;
2020-10-31;null;null;null;null;7,5;null;
2020-11-30;null;null;null;null;7,8;null;
2020-12-31;null;null;null;null;7,3;null;
2021-01-31;null;null;null;null;5,3;null;
2021-02-28;null;null;null;null;5,6;null;
2021-03-31;null;null;null;null;6,1;null;
2021-04-30;null;null;null;null;6,7;null;
2021-05-31;null;null;null;null;7,1;null;
2021-06-30;3;null;null;22,099802;6,6;null;
2021-07-31;0;0;948,864247;21,421102;7,2;1,921371;
2021-08-31;0;0;946,861828;25,207796;8,5;2,241263;
2021-09-30;3;19;944,007313;29,34128;7,8;2,088829;
2021-10-31;13;186,8;943,153849;26,300456;8,7;2,025057;
2021-11-30;16;null;941,984188;24,86431;6,7;1,598057;
2021-12-31;13;220,6;941,027631;25,317221;7;1,236151;
2022-01-31;17;213,2;942,651121;24,963754;5,7;1,319913;
2022-02-28;15;null;943,094243;25,069587;6,2;1,068418;
2022-03-31;11;null;943,528039;25,506805;6,7;,938246;
2022-04-30;4;84,2;944,283962;25,38897;7,6;,957372;
2022-05-31;2;10;946,700269;22,301344;6,3;1,194893;
2022-06-30;3;1;946,655459;22,748327;5,3;1,155338;
2022-07-31;0;0;947,240684;23,848582;7,3;1,606266;
2022-08-31;0;0;946,479961;24,776572;8,3;2,199164;
2022-09-30;null;null;944,490079;26,749177;6,5;2,101239;
2022-10-31;null;null;943,49176;25,954973;6,8;1,692422;
2022-11-30;6;null;942,529876;24,524297;7,1;1,784082;
2022-12-31;12;null;941,819387;24,254626;5,8;1,731097;
2023-01-31;19;null;943,446323;24,015781;8,3;1,442103;
2023-02-28;12;null;944,123679;25,032391;6,8;1,161183;
2023-03-31;14;null;944,580542;24,932241;6,4;1,16604;
2023-04-30;9;21,2;944,287338;24,422727;8,5;1,09012;
2023-05-31;null;0;946,655694;23,135556;5,6;1,053056;
2023-06-30;5;2,2;948,347701;21,704454;5,4;1,15158;
2023-07-31;null;0;947,945692;23,614486;8,1;1,308548;
2023-08-31;0;0;945,913038;25,863172;9,3;1,587097;
2023-09-30;null;null;944,262536;28,460151;7,7;1,722211;
2023-10-31;null;null;null;null;null;null;

