Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.25361111
Longitude: -46.89027777
Altitude: 552
Situacao: Operante
Data Inicial: 2007-06-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;null;null;24,392325;5,2;null;
2007-07-31;0;0;952,712798;24,785011;5,6;2,113429;
2007-08-31;0;0;952,890416;25,661746;7,2;2,748633;
2007-09-30;0;0;951,966945;28,032083;6,5;2,735278;
2007-10-31;4;31,6;948,796318;29,012097;7,3;2,279903;
2007-11-30;13;null;947,481;26,6105;6,6;2,017;
2007-12-31;18;180,2;948,655914;25,220699;7;1,667339;
2008-01-31;14;196,8;948,740995;25,108737;7,5;1,678226;
2008-02-29;19;211,8;949,620546;24,315625;9,9;1,52;
2008-03-31;17;162,6;949,483025;24,12039;7,7;1,533944;
2008-04-30;17;207;948,941389;24,383889;7,6;1,386667;
2008-05-31;0;0;951,305785;23,525012;4,4;1,534151;
2008-06-30;0;0;952,954722;23,379306;5,2;1,945139;
2008-07-31;0;0;953,980511;23,202554;6,7;2,174866;
2008-08-31;0;0;951,397849;25,975538;5,7;2,302688;
2008-09-30;6;9,8;950,59625;28,029028;6,6;2,270556;
2008-10-31;3;64,4;949,599328;29,197312;9;2,443145;
2008-11-30;21;279,8;948,539306;25,501389;6,5;1,594028;
2008-12-31;22;219,2;948,688038;24,244086;5,5;1,672715;
2009-01-31;17;168,2;949,606475;25,158918;7,3;1,696254;
2009-02-28;15;73;949,207376;24,8932;8,2;1,63301;
2009-03-31;17;154,6;948,806048;25,360618;8,2;1,608871;
