Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Pane
Data Inicial: 2007-10-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;8;null;null;26,119737;5,5;null;
2007-11-30;20;null;926,556167;24,210333;5,3;1,432167;
2007-12-31;21;198;927,365054;23,766772;7,1;1,502168;
2008-01-31;26;297;927,458737;23,330645;5,2;1,441129;
2008-02-29;19;261,2;928,273305;23,343899;5;1,151695;
2008-03-31;18;360,4;928,081005;23,111681;5,2;1,214734;
2008-04-30;14;211,6;927,848333;23,40625;4,5;1,025833;
2008-05-31;4;5,6;931,039878;20,653851;4;,953927;
2008-06-30;1;,2;932,423194;20,210139;4,3;,97375;
2008-07-31;0;0;933,525538;19,31371;4,7;1,154839;
2008-08-31;0;0;930,798656;22,670699;6,4;1,409946;
2008-09-30;7;18;930,056528;24,315139;6,9;1,501805;
2008-10-31;8;61,6;929,197581;25,833468;5,7;1,574597;
2008-11-30;16;172,2;927,264861;23,987917;7;1,471111;
2008-12-31;21;279,4;926,671774;23,508199;5,7;1,455511;
2009-01-31;16;248,2;928,221803;23,639037;6,2;1,326227;
2009-02-28;17;233;928,187707;23,997845;6,3;1,326346;
2009-03-31;17;233;927,784812;23,850941;7;1,085753;
2009-04-30;14;102,2;929,535278;22,577361;4;1,073194;
2009-05-31;3;2;930,896798;21,293145;4,4;1,066129;
2009-06-30;5;17,8;932,329583;19,780556;5,1;1,066389;
2009-07-31;1;,2;932,06371;21,387769;5,7;1,213172;
2009-08-31;4;22,4;931,562097;22,344489;5,1;1,665726;
2009-09-30;9;118;930,301389;24,35375;7,3;1,301944;
2009-10-31;16;167,4;927,586925;23,921695;6,5;1,227155;
2009-11-30;18;216,8;927,342639;24,660972;7,9;1,450556;
2009-12-31;25;239,6;927,831317;23,554436;6,2;1,563575;
2010-01-31;15;187,4;928,631317;24,297083;6,6;1,056048;
2010-02-28;11;82,2;928,559524;24,801339;4,8;1,111012;
2010-03-31;16;126,2;928,180914;24,487903;4,7;,985887;
2010-04-30;6;76,6;929,99125;22,818889;4;,808472;
2010-05-31;1;2,2;930,230376;21,591936;4;,705511;
2010-06-30;1;2,8;933,303333;19,792917;4,3;,884444;
2010-07-31;0;0;933,184543;21,131989;5,4;1,301613;
2010-08-31;0;0;932,538306;21,80914;5;1,158737;
2010-09-30;3;28,2;929,828056;25,222639;8,1;1,546528;
2010-10-31;12;174,6;927,835618;25,12621;8,5;1,062769;
2010-11-30;21;229,2;926,730139;23,5175;5,5;1,022778;
2010-12-31;22;305;925,43293;24,211425;5,6;,968683;
2011-01-31;20;201,8;926,69086;23,64422;6,1;1,041667;
2011-02-28;15;135;927,898066;23,99747;7;,821429;
2011-03-31;25;461,8;927,386748;22,901025;4,3;,831216;
2011-04-30;11;169;929,574583;22,975139;5,3;,925417;
2011-05-31;2;,4;930,821371;20,975941;4,5;,706183;
2011-06-30;4;13,8;931,828285;19,702126;4,2;,822887;
2011-07-31;0;0;932,064785;20,425806;5,4;1,017473;
2011-08-31;0;0;931,358064;23,130914;5,8;1,360753;
2011-09-30;0;0;931,111944;24,981806;6;1,425278;
2011-10-31;17;265,8;928,068747;23,281849;5,4;1,403232;
2011-11-30;12;79,8;927,532917;23,577778;5,4;1,422639;
2011-12-31;22;267,2;927,271248;23,219554;5,9;,963651;
2012-01-31;27;261;928,290591;22,551747;5,7;1,043145;
2012-02-29;13;219,6;928,638506;23,753161;7,9;,985201;
2012-03-31;13;75;929,127227;23,912108;4,2;,909455;
2012-04-30;8;37,6;929,13375;23,880417;4,2;,87875;
2012-05-31;7;28;931,58258;20,840112;5,9;,930487;
2012-06-30;4;13,6;932,239306;21,269167;4,9;,845833;
2012-07-31;1;1;932,547581;20,388844;5;,966263;
2012-08-31;null;0;934,06178;21,293953;5,7;1,506288;
2012-09-30;null;null;null;26,204456;5,2;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;13;null;926,648619;24,25157;5,6;1,594761;
2012-12-31;16;198,8;927,606989;24,914651;5,6;1,246102;
2013-01-31;21;385;928,101344;23,599059;4,9;1,398253;
2013-02-28;13;118,4;928,539286;24,210119;7,6;1,169494;
2013-03-31;19;237;928,886167;24,264368;4,5;1,337861;
2013-04-30;13;123,4;930,264028;22,301806;5,2;1,143472;
2013-05-31;6;24,2;931,065077;21,260455;4,3;1,0804;
2013-06-30;8;19,8;931,999015;21,107184;4;1,013032;
2013-07-31;0;0;933,132913;20,122703;4,8;1,21655;
2013-08-31;0;0;931,948656;21,84086;5,7;1,46035;
2013-09-30;5;23,8;930,650972;24,068889;6,6;1,667917;
2013-10-31;13;156;929,201882;23,990457;6,3;1,585484;
2013-11-30;14;169,6;927,394028;24,074722;5,5;1,43875;
2013-12-31;23;122,2;926,465188;23,991801;5,2;1,487097;
2014-01-31;13;86,2;929,568817;24,197984;5,6;1,238038;
2014-02-28;12;122;928,651934;23,807143;6,2;1,257292;
2014-03-31;22;177;929,249866;23,441263;5,7;,962769;
2014-04-30;15;110;929,825278;23,414028;4,5;,795139;
2014-05-31;1;,2;930,94879;21,006048;4;,727151;
2014-06-30;1;,2;932,400139;20,281389;4,5;,851667;
2014-07-31;null;null;934,336021;20,040591;4,8;1,048925;
2014-08-31;null;0;932,545459;22,186471;5,2;1,078956;
2014-09-30;2;18;930,198194;25,641944;7,3;1,474306;
2014-10-31;null;null;929,358199;26,222984;5,8;1,488038;
2014-11-30;15;256,4;927,90875;24,091806;5,3;1,209722;
2014-12-31;20;209,8;928,674597;23,265054;6,3;1,102957;
2015-01-31;2;25,4;929,595161;25,372312;5,9;,956586;
2015-02-28;null;null;929,131101;23,996875;6,9;1,137798;
2015-03-31;9;145,8;929,329237;23,045833;7,5;,884041;
2015-04-30;11;171;929,67375;23,771111;4,4;,725694;
2015-05-31;2;9,2;931,719489;21,303898;4,8;,893683;
2015-06-30;0;0;933,77375;20,512361;4,5;,896528;
2015-07-31;null;null;933,000403;20,933065;4,1;,968817;
2015-08-31;null;0;932,273253;22,467876;5;1,168683;
2015-09-30;0;0;929,315417;25,982222;5,9;1,047083;
2015-10-31;9;64,4;928,759274;27,769758;5,1;1,202957;
2015-11-30;14;244,4;927,552222;25,720694;8,1;1,112778;
2015-12-31;19;190;929,505108;24,980511;5,3;,977688;
2016-01-31;27;360,8;927,530376;23,900269;5;1,049328;
2016-02-29;10;70,2;929,605747;25,092816;5,3;,930603;
2016-03-31;17;81,6;930,316129;24,334677;6,1;,929167;
2016-04-30;4;13,4;930,108472;24,083611;4,6;,906667;
2016-05-31;4;15,4;932,077285;22,514382;4,3;,619355;
2016-06-30;1;,2;933,562917;20,4575;4,1;,65375;
2016-07-31;0;0;932,891129;21,360349;4,6;,774059;
2016-08-31;2;9,2;931,691532;23,060215;5,4;1,000538;
2016-09-30;3;7,2;930,330694;26,131667;4,9;,98875;
2016-10-31;6;88,6;928,35457;25,925538;6,5;1,265188;
2016-11-30;24;209,4;927,851914;23,807802;5,3;1,055755;
2016-12-31;18;49;928,377419;24,134677;6,3;1,079301;
2017-01-31;18;241,8;928,853898;23,856183;5,1;,651478;
2017-02-28;17;235,6;928,734077;23,758185;5;1,039286;
