Nome: CATALAO
Codigo Estacao: A034
Latitude: -18.154779
Longitude: -47.927614
Altitude: 900.72
Situacao: Operante
Data Inicial: 2008-01-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;21;440,6;912,968937;22,668155;6,3;1,625977;
2008-03-31;16;224,4;912,784588;22,455609;6;1,853724;
2008-04-30;13;132,2;912,637361;22,860972;6,4;1,6725;
2008-05-31;4;29,4;915,683199;20,614113;5,4;1,659274;
2008-06-30;0;0;917,08375;20,747222;6,4;2,037361;
2008-07-31;0;0;918,196909;20,112769;6,6;2,314516;
2008-08-31;0;0;915,603898;22,982258;6,4;2,664919;
2008-09-30;3;29,6;914,918056;23,935833;7,4;2,467917;
2008-10-31;11;71,4;914,197849;24,972177;7,6;2,527419;
2008-11-30;18;157,4;912,051667;23,238611;5,9;2,113889;
2008-12-31;23;285;911,355511;22,726613;5,2;1,839247;
2009-01-31;21;328,4;912,940954;22,849071;6;1,769033;
2009-02-28;16;168,6;912,953423;23,58869;6,5;1,676935;
2009-03-31;18;170,2;912,517339;23,694758;5,5;1,474194;
2009-04-30;8;37,6;914,275694;22,134722;6,6;1,690833;
2009-05-31;2;79,6;915,582796;21,135618;5,9;1,818683;
2009-06-30;6;30,4;916,908472;19,54125;5,6;1,817361;
2009-07-31;1;3;916,747581;21,705108;6,2;2,059005;
2009-08-31;3;23,6;916,333199;21,943952;7,2;2,745296;
2009-09-30;12;68;915,099306;24,044722;7,2;2,155417;
2009-10-31;18;144,6;912,342098;23,503736;5,9;1,844684;
2009-11-30;15;220;912,099722;24,145833;5,8;1,732083;
2009-12-31;20;182,8;912,436828;22,733737;5,3;1,878226;
2010-01-31;20;256,6;913,460023;23,734444;5,8;1,957508;
2010-02-28;13;117;913,446577;24,802827;6,1;2,193601;
2010-03-31;16;170;912,920699;23,861693;5,6;1,831048;
2010-04-30;3;29,6;914,800972;22,795;5,6;2,007778;
2010-05-31;2;,8;914,915469;21,677817;6,4;1,771587;
2010-06-30;4;13,2;917,945694;19,949722;6,2;2,096667;
2010-07-31;0;0;917,94879;20,999731;7,3;2,829032;
2010-08-31;0;0;917,323177;22,072908;7,9;2,580692;
2010-09-30;4;27,4;914,797639;24,5975;7,1;3,050556;
2010-10-31;17;129,8;912,649193;24,522043;5,8;1,970161;
2010-11-30;19;250;911,396111;22,721806;5,4;1,807083;
2010-12-31;20;323,2;910,102419;24,013844;5,5;1,705242;
2011-01-31;22;201,6;911,432796;23,250403;6,2;1,872715;
2011-02-28;15;188;912,651786;24,167113;5,8;1,620833;
2011-03-31;25;388,8;912,104646;22,283156;5,8;1,637598;
2011-04-30;11;138;914,405139;22,741528;5,9;1,933056;
2011-05-31;0;0;915,537284;21,139843;5,8;1,43404;
2011-06-30;2;20,4;916,390278;19,794028;6,3;1,748333;
2011-07-31;0;0;916,74356;20,849889;6,8;2,163418;
