Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2012-10-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;null;null;null;null;null;null;
2012-11-30;24;533;923,05625;22,998472;13,6;3,232639;
2012-12-31;8;null;null;24,091927;8,4;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;10;26,8;null;24,0375;7,8;2,835268;
2013-03-31;18;186,8;null;23,99181;9,6;2,678694;
2013-04-30;12;165;null;23,774306;8,9;2,972194;
2013-05-31;4;57;null;24,119489;9,7;3,26707;
2013-06-30;1;,4;null;23,58303;9,7;3,634634;
2013-07-31;0;0;null;23,146435;10;4,265662;
2013-08-31;1;,2;null;23,726613;10,3;4,242876;
2013-09-30;1;12;null;25,815139;10,8;4,396389;
2013-10-31;8;78,8;null;25,749059;10,9;4,075;
2013-11-30;14;181,4;null;24,379583;11,1;3,534583;
2013-12-31;21;230,4;923,277688;23,501479;12,1;3,424059;
2014-01-31;14;45,8;924,223656;23,985618;10,8;3,068548;
2014-02-28;11;159,4;923,522173;23,10625;8,2;2,966964;
2014-03-31;18;145,6;924,199175;23,186425;8,9;2,60024;
2014-04-30;13;163;null;23,29;8,5;2,634444;
2014-05-31;6;34,4;null;23,491801;9,3;3,382796;
2014-06-30;0;0;null;22,074583;8,4;3,650181;
2014-07-31;0;0;null;22,309946;10,6;4,222744;
2014-08-31;0;0;926,743452;23,224731;10,2;4,19439;
2014-09-30;1;,2;925,157778;25,595417;10,1;3,88875;
2014-10-31;6;21,8;924,418414;25,564651;11,3;4,367339;
2014-11-30;16;142,6;923,337083;24,800694;8,6;3,32375;
2014-12-31;15;276,4;924,061156;23,726479;9;3,416263;
2015-01-31;10;108,8;924,761787;24,424661;9,7;3,138143;
2015-02-28;16;181;924,710565;22,775149;11,3;3,073065;
2015-03-31;16;148,6;924,42621;22,897778;9;2,347319;
2015-04-30;23;175,6;924,763194;23,115972;7,4;2,526301;
2015-05-31;null;null;925,824462;23,201747;9,4;3,461425;
