Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;10;null;null;21,416612;6,9;null;
2017-03-31;12;136;898,395816;22,550082;null;null;
2017-04-30;5;9,8;899,252114;22,353413;null;null;
2017-05-31;6;17,4;900,32805;20,81683;6,4;2,105096;
2017-06-30;null;0;901,879556;19,694253;8,5;2,592389;
2017-07-31;0;0;904,433602;17,215995;8,5;3,294086;
2017-08-31;null;0;900,804192;21,663378;8,1;2,482582;
2017-09-30;1;9,2;901,453379;21,203846;7,4;3,003952;
2017-10-31;6;35,2;898,070245;24,634669;7,3;2,759691;
2017-11-30;24;304,2;896,967753;21,876432;7,6;2,452134;
2017-12-31;25;306,8;897,132057;21,838473;5,6;1,905446;
2018-01-31;14;109,6;898,017859;22,063172;6,6;2,000619;
2018-02-28;15;274,6;897,470322;21,789312;6,8;2,042236;
2018-03-31;18;98;897,976298;22,445188;6,4;1,912129;
2018-04-30;12;102;900,080302;20,647862;7,2;2,378502;
2018-05-31;1;6;901,262974;19,696241;6;2,299296;
2018-06-30;null;0;902,221365;19,721254;6,4;2,075703;
2018-07-31;0;0;902,127285;19,643683;7,7;2,24207;
2018-08-31;4;10;901,475269;21,856452;8,1;2,332077;
2018-09-30;4;78,8;898,648086;23,469082;6;2,326232;
2018-10-31;14;141,6;897,811542;23,499556;6,6;2,16256;
2018-11-30;19;null;897,706178;21,337585;6,6;2,247862;
2018-12-31;17;208,8;898,585572;22,225105;6,2;1,925117;
2019-01-31;11;71,6;899,813575;23,153091;7,4;2,133468;
2019-02-28;20;170;898,395132;22,655398;7,2;1,817952;
2019-03-31;20;256,4;899,194278;22,205944;6,4;2,198151;
2019-04-30;12;128,8;899,245646;22,243581;5,8;1,692415;
2019-05-31;3;15,2;899,969624;21,477285;5;1,867742;
2019-06-30;1;,4;902,711165;19,343194;7,2;2,503714;
2019-07-31;0;0;902,260484;19,117608;6,7;2,396237;
2019-08-31;null;0;902,816232;21,319438;8,2;2,708629;
2019-09-30;3;3,2;899,934444;24,472083;7,7;2,61625;
2019-10-31;11;98,2;898,032594;24,676372;6,5;2,416896;
2019-11-30;17;142,8;896,989052;23,431612;7,3;2,156063;
2019-12-31;16;302,2;897,703313;22,908678;6,6;2,154529;
2020-01-31;23;480,4;897,553635;22,728237;7,7;1,821768;
2020-02-29;22;512,6;898,798082;22,081753;5,8;1,878936;
2020-03-31;16;null;898,445606;21,959038;5,7;2,213957;
2020-04-30;11;272,8;900,044601;21,628762;5,8;2,321806;
2020-05-31;5;31,6;901,311156;19,429435;6;2,040071;
2020-06-30;0;0;902,045694;19,228889;8,4;2,381806;
2020-07-31;0;0;901,809543;19,191264;7,9;2,495296;
2020-08-31;0;0;901,421102;20,069355;8,3;2,853898;
2020-09-30;2;20;900,235556;23,48875;7,4;2,543472;
2020-10-31;15;117,8;897,861182;24,128214;7,7;2,459898;
2020-11-30;15;139;897,902947;21,892579;6,4;2,306997;
2020-12-31;14;250;897,699107;22,786117;6,6;1,859015;
2021-01-31;10;null;897,917289;22,709222;6,8;2,087356;
2021-02-28;23;615,8;897,041887;21,414984;6,5;1,7878;
2021-03-31;12;106,8;898,461781;22,122096;6,4;2,07798;
2021-04-30;10;93,8;898,988472;21,230972;6,9;2,098454;
2021-05-31;3;4,8;900,838172;20,694086;6,1;1,896774;
2021-06-30;2;8,4;901,42625;19,859028;7,4;2,185417;
2021-07-31;0;0;902,658468;18,925672;7,2;2,313979;
2021-08-31;0;0;901,726029;20,662588;8,3;2,805295;
2021-09-30;2;6,8;899,374855;25,102357;9;2,419885;
2021-10-31;14;131;898,007652;23,49693;6,7;2,429896;
2021-11-30;24;215,2;896,891389;21,82625;6,5;2,149383;
2021-12-31;24;409,4;896,03586;21,499594;6,3;1,958507;
2022-01-31;18;148,4;897,681452;22,005376;5,1;2,006855;
2022-02-28;21;173;897,963095;21,782143;7,4;1,909097;
2022-03-31;10;90,6;898,275672;22,596909;7,4;2,209946;
2022-04-30;5;27,6;898,867083;22,424861;6,5;2,110635;
2022-05-31;4;35;900,708468;19,47379;6,1;2,04328;
2022-06-30;0;0;900,840278;19,722222;5,6;2,179583;
2022-07-31;0;0;901,943548;19,264247;7,6;2,421371;
2022-08-31;0;0;901,120565;21,011828;8,5;2,661048;
2022-09-30;3;24,2;899,504994;23,106969;7,7;2,451534;
2022-10-31;6;20;898,6025;23,694136;7,5;2,706667;
2022-11-30;11;null;null;null;7,7;null;
2022-12-31;20;null;896,695333;21,458725;5,9;1,973582;
2023-01-31;17;null;898,209369;21,479815;5,2;1,753872;
2023-02-28;10;null;898,64931;23,080835;6,3;1,988635;
2023-03-31;9;null;899,053264;22,430941;6,9;2,094237;
2023-04-30;15;192,4;898,77244;21,578013;6,2;2,122384;
2023-05-31;1;2;900,736216;20,326606;6,2;1,917765;
2023-06-30;2;15,2;902,371695;19,422558;6,1;2,036207;
2023-07-31;0;0;902,492555;20,268893;8,6;2,280014;
2023-08-31;4;41,6;900,738172;22,197581;9,7;2,280856;
2023-09-30;4;23,4;899,599925;24,383437;7,5;2,566313;
2023-10-31;2;null;null;null;null;null;

