Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;
2016-04-30;5;19,6;953,858908;26,652232;6,3;1,427886;
2016-05-31;3;12,4;955,625941;26,707527;5,2;1,340054;
2016-06-30;4;21,6;957,165417;25,589444;5;1,512778;
2016-07-31;0;0;956,691667;25,556452;5,7;1,65457;
2016-08-31;2;1;955,497984;27,888844;6,3;1,993011;
2016-09-30;6;86,6;954,691667;28,486667;8,3;2,004306;
2016-10-31;9;66,6;952,906323;27,550257;6,5;1,83639;
2016-11-30;15;123;952,264722;27,164444;6,1;1,664444;
2016-12-31;19;167,2;953,073118;25,364516;9;1,504435;
2017-01-31;19;142,4;953,526613;24,868817;6,8;1,373253;
2017-02-28;19;204,4;953,902827;23,935119;5,5;1,533929;
2017-03-31;22;185,8;953,748387;24,681586;7,7;1,327419;
2017-04-30;20;163;954,065278;25,637917;5,3;1,265417;
2017-05-31;3;15,2;954,934409;25,709005;5,1;1,246505;
2017-06-30;1;3,8;956,256528;24,375833;4,9;1,417639;
2017-07-31;0;0;958,922446;22,807258;5,1;1,652151;
2017-08-31;0;0;955,4011;26,670992;6,1;1,629118;
2017-09-30;null;null;null;null;5,8;null;
2017-10-31;null;null;null;null;5,7;null;
2017-11-30;1;null;null;null;6;null;
2017-12-31;21;335,2;952,968952;24,558065;7,4;1,55578;
2018-01-31;18;158;953,4625;24,602016;7,1;1,463441;
2018-02-28;23;341,6;953,432143;24,322917;5,8;1,447024;
2018-03-31;27;270;953,694758;24,679704;5,3;1,445991;
2018-04-30;19;157,2;954,876806;24,650139;6,8;1,320694;
2018-05-31;2;3,2;955,699194;24,908871;4,6;1,292473;
2018-06-30;0;0;957,006389;24,084306;4,2;1,393056;
2018-07-31;0;0;956,821236;23,996909;5,1;1,363844;
2018-08-31;2;1,4;956,208871;26,760618;6,4;1,802151;
2018-09-30;2;13;953,209583;28,608056;6,9;1,860417;
2018-10-31;16;138,2;952,883602;27,146505;10,1;1,635349;
2018-11-30;24;172,6;952,901111;25,089861;6,1;1,522639;
2018-12-31;18;175;954,488575;24,770296;6,2;1,589919;
2019-01-31;17;218,6;954,787634;24,973925;6,2;1,391935;
2019-02-28;21;103;954,122173;24,758929;7,3;1,336012;
2019-03-31;27;223,4;954,574193;24,593817;5,4;1,375806;
2019-04-30;18;253,4;954,445833;25,143611;5,8;1,236805;
2019-05-31;6;135,4;954,533468;25,5125;7,7;1,093548;
2019-06-30;0;0;957,120695;24,064306;5,6;1,395278;
2019-07-31;0;0;956,919355;23,931855;4,6;1,351344;
2019-08-31;0;0;957,36707;26,072177;6,2;1,815726;
2019-09-30;2;31,8;954,435;28,627917;6,3;1,940833;
2019-10-31;12;36,2;952,981317;27,569892;6,8;1,658064;
2019-11-30;25;212;952,1875;25,792083;9,1;1,399444;
2019-12-31;17;207,2;952,566129;26,05121;5,1;1,361156;
2020-01-31;25;340,2;953,981048;25,011022;8,1;1,721102;
2020-02-29;24;252,8;954,373563;24,933477;6,6;1,424569;
2020-03-31;25;187,8;954,349597;24,78293;5,4;1,340054;
2020-04-30;20;276,8;955,166667;25,133611;4,8;1,349861;
2020-05-31;5;43,2;956,257527;24,785887;4,3;1,304032;
2020-06-30;0;0;956,786944;23,905139;4,3;1,376806;
2020-07-31;0;0;956,554839;23,606989;4,9;1,460081;
2020-08-31;0;0;955,781183;25,581048;5,9;1,586559;
2020-09-30;2;null;954,821558;27,901268;5,5;2,052717;
2020-10-31;6;null;null;27,595388;5,7;null;
2020-11-30;6;null;null;null;7;null;
2020-12-31;null;null;null;null;5,5;null;
2021-01-31;null;null;null;null;4,4;null;
2021-02-28;null;null;null;null;4,9;null;
2021-03-31;null;null;null;null;4,9;null;
2021-04-30;null;null;null;null;4,2;null;
2021-05-31;null;null;null;null;4;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;5;null;null;28,964106;7,3;null;
2021-10-31;18;162,4;953,131277;26,483717;5,8;1,534721;
2021-11-30;26;276,4;952,804293;24,478983;6,2;1,46528;
2021-12-31;25;358,4;952,265246;24,230026;6;1,845789;
2022-01-31;22;428;953,792069;24,44214;7,2;1,637542;
2022-02-28;17;null;953,30243;24,734377;4,3;1,277919;
2022-03-31;21;126;953,220812;24,784176;5,8;1,297507;
2022-04-30;10;48,6;953,503442;25,671624;4,4;1,236057;
2022-05-31;3;null;null;25,422656;3,6;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
