Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;6;null;null;null;3,3;null;
2016-12-31;20;165,6;989,434078;26,01351;5,1;1,257535;
2017-01-31;16;55,8;989,994717;25,947382;4,3;1,252828;
2017-02-28;20;null;990,398048;25,258661;5;1,244214;
2017-03-31;17;126,8;990,151852;26,278709;6,3;1,141025;
2017-04-30;18;89,4;990,367331;26,413309;5,3;1,088098;
2017-05-31;3;9,2;990,860525;26,814919;3,9;,946768;
2017-06-30;null;0;992,270306;24,789224;4,6;1,226722;
2017-07-31;0;0;994,882258;23,328898;5,3;1,603091;
2017-08-31;null;0;990,900225;26,20491;4,7;1,252989;
2017-09-30;1;null;990,469361;27,913193;5;1,503462;
2017-10-31;1;82,6;988,374618;28,816501;5,3;1,472343;
2017-11-30;22;163,8;988,601841;26,345205;5,6;1,314877;
2017-12-31;27;446,6;989,355206;25,621857;5,2;1,234133;
2018-01-31;23;157,8;989,842824;25,675415;6,1;1,183871;
2018-02-28;25;426;989,863949;25,294015;4,7;1,156561;
2018-03-31;22;299,6;990,042452;26,054761;3,7;1,138616;
2018-04-30;16;190;991,101769;26,106117;4,7;1,107428;
2018-05-31;4;16;991,752895;26,176215;5;1,132459;
2018-06-30;null;0;992,941428;24,637694;3,9;1,008113;
2018-07-31;0;0;992,793414;24,145968;3,9;1,143011;
2018-08-31;0;0;991,958737;26,247043;5,1;1,201747;
2018-09-30;1;null;989,298788;27,061806;5;1,156612;
2018-10-31;null;null;null;null;3,9;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;9;null;null;null;4;null;
2019-03-31;25;343,2;991,031948;25,759829;5,1;1,102349;
2019-04-30;11;null;null;26,465278;3,8;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;0;993,154063;24,448544;4,4;1,282783;
2019-08-31;null;null;null;25,159772;5;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;8;null;null;26,179867;6,1;null;
2019-11-30;18;236,8;988,666389;26,082995;6;1,180308;
2019-12-31;17;247,8;989,018192;26,308176;7,3;1,203927;
2020-01-31;21;371;990,382492;26,00426;4,6;1,18809;
2020-02-29;20;355,8;990,806984;25,864599;4,3;1,096658;
2020-03-31;20;236;990,636347;25,841349;4,2;1,106287;
2020-04-30;14;313,6;991,355695;26,563472;3,8;1,099444;
2020-05-31;7;16,4;992,330242;26,38414;3,9;1,149848;
2020-06-30;5;1;992,711806;24,939028;5;1,174444;
2020-07-31;4;,8;992,431452;23,847043;4,4;1,234409;
2020-08-31;0;0;991,42957;25,520161;5,1;1,278495;
2020-09-30;2;25,4;989,997023;27,24058;4,6;1,256812;
2020-10-31;6;45,6;988,821359;27,793741;5,8;1,281118;
2020-11-30;10;116,4;989,213934;26,767739;4,1;1,206621;
2020-12-31;22;292,4;989,408204;26,077815;4,9;1,148349;
2021-01-31;14;null;989,46523;25,782074;4,4;1,091373;
2021-02-28;14;347,8;989,797322;25,143915;4,1;1,183243;
2021-03-31;19;159,6;990,213254;25,673428;4,5;1,067911;
2021-04-30;18;180,8;990,298333;25,886389;4,1;1,065556;
2021-05-31;10;15;991,703056;25,466585;4;,930055;
2021-06-30;1;,2;992,136528;24,737917;3,5;,975694;
2021-07-31;0;0;993,341532;23,809543;4,2;1,201075;
2021-08-31;1;,2;991,660349;25,249328;4,5;1,346012;
2021-09-30;4;12,2;989,999244;27,633107;5,7;1,178878;
2021-10-31;5;null;989,403712;26,905498;6;1,240192;
2021-11-30;16;null;989,290417;25,410543;3,9;1,197094;
2021-12-31;11;null;null;null;7,4;null;
2022-01-31;2;null;null;null;4,4;null;
2022-02-28;null;null;null;null;3,9;null;
2022-03-31;null;null;null;null;3;null;
2022-04-30;null;null;null;null;3,4;null;
2022-05-31;null;null;null;null;4;null;
2022-06-30;null;null;null;null;4,2;null;
2022-07-31;1;3,6;992,511518;24,015235;4,6;1,248259;
2022-08-31;0;0;991,359987;25,557574;5,3;1,29886;
2022-09-30;6;97,2;989,963352;26,960014;4,8;1,237395;
2022-10-31;8;106,8;988,998825;27,041053;6,9;1,159183;
2022-11-30;13;null;989,427;25,483164;4,4;1,350027;
2022-12-31;22;336,8;989,417982;25,221144;4,9;1,115899;
2023-01-31;18;161,2;990,66625;25,340109;6,2;1,124783;
2023-02-28;15;null;990,288438;26,484867;5,8;1,188844;
2023-03-31;19;291,2;990,733703;25,641817;6,3;1,200721;
2023-04-30;18;94,8;990,081359;26,629783;5,4;1,035411;
2023-05-31;5;13,4;991,400623;26,534064;3,8;1,014691;
2023-06-30;2;1,4;992,883764;25,526006;4,1;1,105603;
2023-07-31;0;0;993,060694;24,732632;4,6;1,184321;
2023-08-31;3;9,2;991,22043;26,408065;5,1;1,195833;
2023-09-30;2;20,2;989,784416;28,159676;4,9;1,206357;
2023-10-31;5;null;null;null;null;null;

