Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 220
Situacao: Pane
Data Inicial: 2015-05-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-05-31;7;null;null;24,903385;3,4;null;
2015-06-30;12;82,4;989,425139;25,16;5,3;,855;
2015-07-31;13;80,8;989,038441;25,389113;3,6;,84422;
2015-08-31;8;71,4;987,757661;26,352151;6,5;,904032;
2015-09-30;17;90,6;986,795;26,637639;5,1;,930833;
2015-10-31;12;130,6;986,788979;26,583199;7,6;1,042742;
2015-11-30;17;193,6;985,066111;26,581806;4;1,060139;
2015-12-31;23;348;986,846909;25,793011;8,7;,997984;
2016-01-31;22;286;985,590591;26,713172;5,6;,879167;
2016-02-29;24;246;986,355029;25,871264;4,9;,904598;
2016-03-31;28;286;987,461156;25,993548;4,7;,982258;
2016-04-30;19;176;987,045;25,991944;5,5;,924861;
2016-05-31;18;126,8;989,012769;25,51371;4;,917742;
2016-06-30;13;60,8;990,635972;24,508056;3,5;1,089583;
2016-07-31;6;32,4;989,220842;25,559402;3,5;,773247;
2016-08-31;8;129,8;988,500269;25,920564;6,5;1,020296;
2016-09-30;10;86,4;988,759167;25,702361;5,6;1,008472;
2016-10-31;19;199,2;985,958321;26,022605;5,4;1,027517;
2016-11-30;16;170;984,77125;26,328056;5,3;1,149861;
2016-12-31;21;245,4;985,741935;25,63414;5;1,100941;
2017-01-31;30;414,8;986,696774;24,832796;5;,963575;
2017-02-28;23;161,6;986,194643;25,294792;4,5;1,059375;
2017-03-31;21;307,6;986,508737;25,696102;4,9;,975807;
2017-04-30;17;null;null;25,585714;5,5;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;12;122;987,831753;25,780747;3,5;,786494;
2017-10-31;12;212,4;986,18172;25,940188;5,3;1,074059;
2017-11-30;19;116;984,664881;25,89454;6,1;,967639;
2017-12-31;23;208;985,347778;25,488889;3,8;1,03375;
2018-01-31;23;267,4;986,002688;25,192608;3,9;1,008468;
2018-02-28;17;null;985,632839;25,592949;4;,938086;
2018-03-31;24;235,4;986,185753;25,254973;4,6;,886694;
2018-04-30;23;247,2;987,61125;25,054306;5,5;,902917;
2018-05-31;18;168,4;988,507258;24,798521;3,7;,820161;
2018-06-30;3;null;null;23,448284;4;null;
2018-07-31;1;null;null;null;3,8;null;
2018-08-31;14;87,8;989,76773;24,58465;4,9;,959016;
2018-09-30;10;35,2;986,519583;25,961945;4,3;,896111;
2018-10-31;20;228,8;985,88293;25,967473;4,4;,971774;
2018-11-30;25;403;985,029861;25,665694;4,3;,887639;
2018-12-31;25;191;987,291532;24,952957;4,2;1,000941;
2019-01-31;28;358,6;987,439919;24,890188;4,5;,81129;
2019-02-28;26;386,8;986,860566;25,149554;4,1;,822768;
2019-03-31;28;415,6;987,036828;25,530376;4,7;,77957;
2019-04-30;18;228,4;987,012639;25,743611;4,1;,765694;
2019-05-31;10;94,6;987,644892;25,694489;3,5;,780242;
2019-06-30;8;null;null;null;3,3;null;
2019-07-31;3;null;null;null;5,2;null;
2019-08-31;7;null;989,946487;25,012006;5,4;,842602;
2019-09-30;15;216,4;987,694583;26,006528;5,4;,7725;
2019-10-31;22;193,8;986,765457;25,070833;4,9;,788172;
2019-11-30;22;317,4;985,055417;25,594722;6,1;,809028;
2019-12-31;24;325,6;985,787769;25,315726;5;,793683;
2020-01-31;16;207,8;986,422849;26,067742;4,3;,983065;
2020-02-29;18;87,8;986,654023;25,891092;3,7;,811494;
2020-03-31;23;336,2;986,47043;25,621909;4;,725538;
2020-04-30;18;116,8;988,179722;25,565139;4,1;,856806;
2020-05-31;4;null;null;null;3,9;null;
2020-06-30;null;null;null;null;4,1;null;
2020-07-31;null;null;null;null;3,9;null;
2020-08-31;null;null;null;null;4;null;
2020-09-30;null;null;null;null;5,7;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
