Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2008-07-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;6;null;null;25,489444;6,6;null;
2008-08-31;8;51,4;997,737903;26,566667;5,7;1,018414;
2008-09-30;9;105;998,732778;26,477778;8,3;1,277361;
2008-10-31;6;null;997,192422;27,378828;6,4;1,45369;
2008-11-30;4;null;null;null;5,2;null;
2008-12-31;1;null;null;null;6,8;null;
2009-01-31;3;null;null;null;5,5;null;
2009-02-28;7;null;null;null;6,8;null;
2009-03-31;10;null;996,912089;26,201707;4,9;1,296772;
2009-04-30;10;null;998,37728;25,810838;5,9;1,273808;
2009-05-31;16;null;998,868881;26,117093;5,5;1,031482;
2009-06-30;7;null;null;null;6,7;null;
2009-07-31;11;49,4;999,898475;25,232954;6,2;1,105809;
2009-08-31;3;null;998,516965;26,194143;6,4;1,140362;
2009-09-30;9;142;998,656374;26,872405;6,1;1,467393;
2009-10-31;5;null;996,193685;27,393244;6,4;1,40498;
2009-11-30;1;null;null;null;6,5;null;
2009-12-31;null;null;null;null;6,1;null;
2010-01-31;null;null;null;null;6,6;null;
2010-02-28;null;null;null;null;5,9;null;
2010-03-31;4;null;null;null;6,1;null;
2010-04-30;2;null;null;null;6;null;
2010-05-31;2;null;null;null;4,2;null;
2010-06-30;3;null;null;null;4,9;null;
2010-07-31;null;null;null;null;5,4;null;
2010-08-31;null;null;null;null;6,3;null;
2010-09-30;null;null;null;null;8,2;null;
2010-10-31;null;null;null;null;6,8;null;
2010-11-30;null;null;null;null;5;null;
2010-12-31;null;null;null;null;6,5;null;
2011-01-31;null;null;null;null;4,5;null;
2011-02-28;null;null;null;null;5,7;null;
2011-03-31;null;null;null;null;5,4;null;
2011-04-30;null;null;null;null;3,9;null;
2011-05-31;8;55,6;998,806317;25,342608;5,9;,923522;
2011-06-30;6;12,8;999,345139;25,554444;3,9;,853333;
2011-07-31;8;28,6;999,208871;25,304839;5,3;,91828;
2011-08-31;6;51;999,363306;25,719355;5,3;1,101882;
2011-09-30;9;51,4;999,115833;26,507917;5,6;1,059722;
2011-10-31;15;169,4;996,133737;26,118145;7,2;1,025403;
2011-11-30;14;145,8;995,773611;26,701667;5,3;1,099861;
2011-12-31;25;242,4;996,384946;25,801613;6,3;1,104973;
2012-01-31;29;322,2;997,250403;25,185081;5,1;1,225672;
2012-02-29;24;234;997,129167;25,09181;5,6;1,160201;
2012-03-31;22;250,6;998,246774;25,741532;6,5;1,169086;
2012-04-30;8;85,6;997,900278;26,190694;6,6;1,098195;
2012-05-31;null;null;999,081989;25,569086;4,1;,724597;
2012-06-30;null;null;1000,423611;25,025278;5,2;,841111;
2012-07-31;null;null;1000,55795;24,514137;4,5;,895833;
2012-08-31;null;0;1000,113038;25,865833;7;1,080895;
2012-09-30;7;70,4;999,229722;26,943472;5,7;1,158333;
2012-10-31;17;167,4;996,94086;26,805376;8,9;1,190054;
2012-11-30;18;281,8;996,032361;26,390556;7,2;1,204861;
2012-12-31;22;377,6;996,240054;25,789113;5,8;1,222715;
2013-01-31;27;404;997,724086;25,843955;4,8;1,213348;
2013-02-28;18;5,4;997,16393;25,927491;4,6;1,35504;
2013-03-31;19;null;997,810528;26,224713;6,4;1,271111;
2013-04-30;null;null;998,550844;26,269892;4,8;1,15987;
2013-05-31;null;null;999,292155;25,687675;4,2;1,059615;
2013-06-30;null;null;999,600417;25,735177;6,4;,834356;
2013-07-31;5;30;1001,265025;24,298074;4,4;,979926;
2013-08-31;8;61;999,991276;24,557722;5,1;1,236571;
2013-09-30;11;37,4;998,672905;26,595326;7;1,389173;
2013-10-31;23;253,8;997,670699;26,216801;5,7;1,196505;
2013-11-30;23;308,2;995,886131;25,700431;6,3;1,269008;
2013-12-31;25;293,4;996,638727;26,226068;6,5;1,364294;
2014-01-31;26;354,4;997,630698;25,619156;6,3;1,261249;
2014-02-28;25;null;997,283426;25,379481;5,8;1,241141;
2014-03-31;26;314,6;997,715255;25,733193;6;1,270219;
2014-04-30;22;null;998,734334;26,131879;4,8;1,075025;
2014-05-31;14;null;999,165431;24,795371;5,7;1,165396;
2014-06-30;12;null;1000,071882;24,780239;4,9;1,088938;
2014-07-31;8;36,8;1002,133615;23,881213;6,1;1,151709;
2014-08-31;3;null;1000,237006;25,337091;6,6;1,045071;
2014-09-30;2;null;998,381424;27,050701;6;1,164424;
2014-10-31;16;211;997,996354;26,486723;6,8;1,156395;
2014-11-30;18;332,8;996,757707;26,180365;6,4;1,240108;
2014-12-31;18;null;997,127672;25,82807;5;1,182153;
2015-01-31;21;332;998,938172;25,181057;6,9;1,087999;
2015-02-28;8;null;998,080223;null;5,4;1,073536;
2015-03-31;5;null;null;null;4,8;null;
2015-04-30;3;null;null;null;3,3;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;7;null;null;null;5,3;null;
2015-11-30;15;125,6;996,20375;27,554722;6,1;1,1175;
2015-12-31;22;233,6;997,967742;26,567339;7,2;1,040995;
2016-01-31;23;203;997,062231;27,074194;6,1;1,081317;
2016-02-29;24;255;997,650276;26,583658;6,7;,939122;
2016-03-31;26;419;998,874866;26,790054;6,1;,791801;
2016-04-30;14;null;null;26,262083;7,8;null;
2016-05-31;null;null;null;null;4,4;null;
2016-06-30;3;null;null;23,834106;3,9;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;9;null;null;null;null;null;
2016-10-31;14;94,8;997,06828;27,046774;7;1,079301;
2016-11-30;15;244,8;996,18798;26,875417;5,7;1,247361;
2016-12-31;22;298,8;997,021371;26,189247;7,1;1,124194;
2017-01-31;26;364,8;998,064919;25,385484;6,5;,985215;
2017-02-28;23;419,8;997,684375;25,660417;5,5;1,141071;
2017-03-31;25;413,2;997,85388;25,78172;4,2;1,048656;
2017-04-30;24;245,8;998,607035;25,857083;4,8;1,154722;
2017-05-31;20;225;998,915726;26,308199;4,3;,95457;
2017-06-30;6;164;1000,184028;24,986389;4,1;,927361;
2017-07-31;3;3,6;1001,990457;24,926075;4,9;,962231;
2017-08-31;6;37,4;998,710726;26,927016;5,3;1,043011;
2017-09-30;13;124,8;998,782367;27,034861;6,6;,984444;
2017-10-31;13;176,4;997,321909;26,630511;6;1,214919;
2017-11-30;21;273,4;995,917621;26,370278;5,3;1,125417;
2017-12-31;24;295,4;996,619735;25,89422;6,4;1,175672;
2018-01-31;23;364,6;997,358391;25,785215;6,7;1,181586;
2018-02-28;27;337,8;997,202847;25,914732;5,5;1,248661;
2018-03-31;19;292,4;997,288335;26,118414;5,6;1,152016;
2018-04-30;22;255,2;998,831999;25,779028;6;1,058056;
2018-05-31;18;252,8;999,739979;25,462903;4,5;1,094624;
2018-06-30;10;89,6;1001,853611;23,608472;4;1,130417;
2018-07-31;4;16,6;1000,713575;25,157124;5,6;,975;
2018-08-31;8;99,4;1001,127823;25,009005;5;1,188306;
2018-09-30;16;216,6;997,691427;26,543472;7,8;1,103472;
2018-10-31;22;170,8;996,886892;26,790591;4,6;1,156048;
2018-11-30;19;214,6;996,357917;26,691111;5;1,104583;
2018-12-31;26;395,4;998,61586;25,544355;4,9;1,130108;
2019-01-31;20;329,8;998,856183;25,652285;5,6;1,151344;
2019-02-28;24;280,4;998,240923;25,904762;5,8;1,029762;
2019-03-31;23;340,8;998,301462;26,484543;5,2;,997581;
2019-04-30;16;300,8;998,296103;26,51625;5,3;1,042639;
2019-05-31;8;123,8;999,030194;26,089785;5,3;,790054;
2019-06-30;8;42,8;1000,436186;26,304583;4,6;,689306;
2019-07-31;6;15,4;1000,961156;25,009946;4,5;1,034946;
2019-08-31;5;44,6;1001,244355;25,86922;7,7;1,11129;
2019-09-30;11;126,2;998,541111;27,642917;5,8;,986944;
2019-10-31;12;73,2;997,994355;26,23871;5,5;1,10457;
2019-11-30;7;null;null;null;5,2;null;
2019-12-31;null;null;null;null;6,1;null;
2020-01-31;null;null;null;null;6,4;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;4;null;null;null;5,1;null;
2022-10-31;16;132;997,123387;27,113575;7,5;1,363038;
2022-11-30;16;212,2;997,174028;26,390278;5,6;1,285417;
2022-12-31;19;292,2;996,499731;26,219086;5,3;1,294355;
2023-01-31;26;122,6;998,09879;25,661694;5;1,346102;
2023-02-28;24;350,8;998,12753;25,551637;6,7;1,185566;
2023-03-31;24;318,4;997,981048;25,870833;6,1;1,08078;
2023-04-30;22;166,6;997,789167;26,218611;4,5;1,009583;
2023-05-31;18;291,2;999,341532;26,183065;4,9;1,026344;
2023-06-30;9;48,2;1001,259547;24,918738;5,8;,968871;
2023-07-31;3;10,6;1000,314919;26,684543;3,8;,887634;
2023-08-31;11;45,4;998,725269;27,705511;6,9;,994892;
2023-09-30;13;110,4;997,579221;28,282295;5,8;1,07067;
2023-10-31;6;null;null;null;null;null;

