Nome: LABREA
Codigo Estacao: A111
Latitude: -7.26055555
Longitude: -64.7886111
Altitude: 61.91
Situacao: Operante
Data Inicial: 2008-07-26
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;1;null;null;null;null;null;
2008-08-31;8;16,6;1002,827231;27,290972;4,6;,835484;
2008-09-30;15;180,4;1003,910827;26,609239;5,8;,941679;
2008-10-31;15;224,6;1003,054301;26,581855;6;,919892;
2008-11-30;10;null;1001,544387;26,607926;3,6;,760242;
2008-12-31;4;null;1001,95762;null;4,3;,869599;
2009-01-31;15;null;1003,181993;25,961249;4,8;,898195;
2009-02-28;10;null;null;26,184024;4,4;null;
2009-03-31;11;null;1002,469312;26,004823;5,2;,924151;
2009-04-30;6;null;null;null;5;null;
2009-05-31;9;null;1003,943904;null;3,7;,785441;
2009-06-30;5;null;null;null;5,5;null;
2009-07-31;6;null;1004,61386;26,339852;3,8;,702622;
2009-08-31;4;null;1003,505393;26,956247;6,4;,760281;
2009-09-30;9;null;1003,831902;27,317118;5;1,020675;
2009-10-31;9;null;1001,58746;27,499657;5,9;1,025381;
2009-11-30;null;null;null;null;4,4;null;
2009-12-31;null;null;null;null;4,6;null;
2010-01-31;null;null;null;null;4,9;null;
2010-02-28;1;null;null;null;5,3;null;
2010-03-31;2;null;null;null;4,1;null;
2010-04-30;7;null;1003,057174;27,578468;5,1;,846432;
2010-05-31;5;null;1003,95486;26,068117;4,6;,836944;
2010-06-30;4;null;1005,12681;26,797263;3,7;,611295;
2010-07-31;5;14,8;1005,33078;25,245699;4,4;,892339;
2010-08-31;2;15;1004,361039;26,746987;5,4;,89471;
2010-09-30;7;68,8;1002,483611;27,834028;5,5;,997917;
2010-10-31;16;149,8;1002,296102;26,932661;7,6;1,130645;
2010-11-30;20;225,8;1001,165278;26,289861;5,6;,977917;
2010-12-31;22;233,6;1000,69207;26,299731;4,2;,946505;
2011-01-31;25;481,2;1001,549866;25,570565;4,7;,90578;
2011-02-28;21;370,2;1002,609673;25,486905;6,4;,910268;
2011-03-31;23;350,8;1002,197853;25,779581;5,4;1,044132;
2011-04-30;22;250,6;1003,070278;26,187222;5,2;,916111;
2011-05-31;18;184,2;1003,705108;25,89207;4,8;,94207;
2011-06-30;9;38,8;1004,342917;26,243194;4,2;,835417;
2011-07-31;4;19,2;1004,174328;26,596909;3,9;,854839;
2011-08-31;5;30,6;1004,356317;26,844624;5,4;,995027;
2011-09-30;19;219,8;1004,304028;26,796945;3,4;,566667;
2011-10-31;17;147,4;1001,496102;26,675403;4,5;,512231;
2011-11-30;17;122;1001,360417;26,403194;3,7;,507917;
2011-12-31;18;null;1001,242833;26,241167;4,6;,519167;
2012-01-31;10;null;null;null;5,1;null;
2012-02-29;11;null;null;null;4,1;null;
2012-03-31;null;null;null;null;2,9;null;
2012-04-30;null;null;null;null;4,8;null;
2012-05-31;null;null;null;null;4,1;null;
2012-06-30;null;null;null;null;4,1;null;
2012-07-31;4;3,4;1005,31707;25,605108;4,7;,960887;
2012-08-31;3;3,4;1004,946928;27,004445;4,9;1,018548;
2012-09-30;11;155,2;1004,501944;27,581389;7,3;1,002639;
2012-10-31;16;136,6;1002,250269;26,671102;4,4;,845161;
2012-11-30;21;209,8;1001,459861;26,932778;4,1;,632917;
2012-12-31;20;342,8;1001,693548;26,088038;4;,527688;
2013-01-31;26;633,8;1003,109946;26,16035;4,2;,513441;
2013-02-28;27;484;1002,691964;25,739583;3,8;,692262;
2013-03-31;25;266;1003,168722;26,296408;3,8;,474806;
2013-04-30;23;264,8;1003,731389;26,463472;3,7;,572361;
2013-05-31;20;200,2;1004,409812;26,072715;4,6;,516935;
2013-06-30;20;115,2;1004,722525;26,102449;3,7;,357121;
2013-07-31;13;123,2;1006,164113;25,296505;4,9;,629167;
2013-08-31;5;23,6;1004,731989;26,127016;5,2;,847581;
2013-09-30;16;153,8;1003,891944;26,623472;4,8;,701389;
2013-10-31;19;229,8;1002,935081;26,447849;4,9;,489113;
2013-11-30;22;246,4;1001,380556;26,175556;6,3;,558889;
2013-12-31;19;233,8;1002,126747;26,399328;5,9;,621371;
2014-01-31;24;301;1003,094624;25,90793;3,3;,648387;
2014-02-28;24;299;1002,641815;25,752381;3,9;,878423;
2014-03-31;23;564,2;1003,118414;26,166263;5;,907258;
2014-04-30;26;473,6;1003,879746;26,121341;3,4;,816359;
2014-05-31;25;137,2;1004,203629;25,875538;4,8;,837903;
2014-06-30;7;32,4;1004,713056;26,591389;4,4;,899028;
2014-07-31;null;null;1006,800538;25,410215;4,7;,909946;
2014-08-31;8;48,6;1005,083064;26,44328;5;,773387;
2014-09-30;9;86;1003,629186;27,442385;6,5;,785655;
2014-10-31;20;182,6;1003,347446;26,318357;4,7;,931522;
2014-11-30;18;213;1002,061224;26,351561;3,7;,844197;
2014-12-31;14;null;1002,61683;26,341023;4;,831653;
2015-01-31;26;359,8;1004,141817;25,665127;4,7;,837408;
2015-02-28;19;317,8;1003,437202;25,892262;4,6;,892411;
2015-03-31;26;323;1003,489665;25,959306;4,5;,89357;
2015-04-30;21;220,2;1003,908056;26,281528;4;,734306;
2015-05-31;23;195;1004,682661;26,054435;3,6;,703763;
2015-06-30;12;null;1005,701311;26,126812;4,4;,754722;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;4;null;null;null;null;null;
2015-11-30;14;263,8;1001,549861;27,626111;3,8;,854306;
2015-12-31;18;231,2;1003,169489;26,913172;4,5;,820027;
2016-01-31;22;334,4;1002,549059;27,174328;5,1;,870565;
2016-02-29;25;388,6;1002,926437;27,144253;4,8;,863793;
2016-03-31;24;390,2;1004,273522;26,571237;3,8;,814651;
2016-04-30;18;298,2;1003,613472;26,48625;5,4;,9325;
2016-05-31;16;149,8;1005,337634;26,497581;4,4;,886962;
2016-06-30;11;50;1006,855556;25,782083;3,9;,971389;
2016-07-31;6;12,4;1005,343145;26,785349;3,6;,608064;
2016-08-31;4;13,8;1004,689919;27,288038;6,8;,795565;
2016-09-30;11;52;1005,029577;26,707814;5,3;,733508;
2016-10-31;13;202,8;1002,308859;27,472692;4,3;,767029;
2016-11-30;16;139,4;1001,490972;26,913056;4,3;,872778;
2016-12-31;24;325,2;1002,559274;26,254032;3,7;,490726;
2017-01-31;25;502,6;1003,573925;25,545699;3,3;,359274;
2017-02-28;21;428,4;1003,241964;26,048512;3,6;,44628;
2017-03-31;25;351,8;1003,327016;26,143952;4,7;,557393;
2017-04-30;23;212,8;1003,896111;26,16625;5,2;,637639;
2017-05-31;19;277,2;1004,159005;26,686694;5,4;,441801;
2017-06-30;11;65;1005,097917;26,081944;4,3;,516528;
2017-07-31;0;0;1006,86129;25,988575;5,7;,789785;
2017-08-31;9;84,6;1004,014516;27,694086;4,3;,577016;
2017-09-30;10;74,6;1003,945556;27,537917;4,8;,615556;
2017-10-31;14;146,2;1002,684005;26,809005;6,5;,925;
2017-11-30;19;298,4;1001,474583;26,666389;4,2;,928194;
2017-12-31;13;null;null;26,486274;5,1;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;4,4;null;
2018-04-30;null;null;null;null;3;null;
2018-05-31;null;null;null;null;3,8;null;
2018-06-30;null;null;null;null;2,5;null;
2018-07-31;null;null;null;null;4,6;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;4,1;null;
2018-11-30;null;null;null;null;5,2;null;
2018-12-31;null;null;null;null;5,8;null;
2019-01-31;null;null;null;null;4,5;null;
2019-02-28;null;null;null;null;4,6;null;
2019-03-31;null;null;null;null;4,4;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;18;null;1003,490399;26,216667;5,5;,855072;
2019-11-30;16;193;1002,031866;26,243901;3,9;,785839;
2019-12-31;24;496,6;1002,65578;26,291935;5,5;,883333;
2020-01-31;19;211,4;1003,457527;26,889516;4,6;,978495;
2020-02-29;22;193,8;1003,844721;26,670003;4,6;,867298;
2020-03-31;18;316,2;1003,523062;26,600964;6;,813013;
2020-04-30;24;252,6;1004,815278;26,556667;4,6;,889583;
2020-05-31;23;198,8;1005,888441;25,819624;5,2;,884543;
2020-06-30;16;33,8;1005,248472;26,399583;3,3;,757222;
2020-07-31;10;27;1004,757392;26,485753;4,4;,816398;
2020-08-31;2;,8;1004,399328;26,793548;5,9;,925403;
2020-09-30;12;46,8;1003,583889;27,54625;5,8;,976111;
2020-10-31;12;23,8;1003,088651;27,067286;7,2;,969968;
2020-11-30;null;null;1002,50125;26,640556;3,9;,831111;
2020-12-31;25;227;1002,902151;25,975;3,7;,879167;
2021-01-31;null;null;1002,970988;25,843827;3,8;,863735;
2021-02-28;null;null;1003,051701;25,936808;5,8;,8092;
2021-03-31;null;null;1003,695395;25,547785;4;,856329;
2021-04-30;11;52,8;1003,759583;26,069167;3,5;,904722;
2021-05-31;null;null;1005,15;26,097312;5,1;,941935;
2021-06-30;null;null;1005,990417;25,222917;3,9;,908889;
2021-07-31;null;null;1006,563038;25,840726;5,7;,843817;
2021-08-31;null;null;1004,600269;27,35672;4,8;,869893;
2021-09-30;null;null;1004,420417;27,373056;6,5;,882778;
2021-10-31;null;null;1003,002957;27,181317;5,7;,928226;
2021-11-30;null;null;1002,465211;26,261069;4,2;,791322;
2021-12-31;null;null;1002,016281;26,414423;8,8;,865188;
2022-01-31;null;null;1003,175064;26,052934;3,7;,875041;
2022-02-28;null;null;1003,255726;25,652963;4,2;,908075;
2022-03-31;null;null;1003,048212;25,78082;7,5;,868034;
2022-04-30;null;null;1003,373188;26,446108;4,3;,79331;
2022-05-31;null;null;null;null;4,6;null;
2022-06-30;null;null;null;null;3,4;null;
2022-07-31;3;null;null;26,850647;3,3;null;
2022-08-31;15;85,6;1004,927688;26,149462;6,2;,930914;
2022-09-30;8;26,6;1003,36875;27,716111;7,6;1,018194;
2022-10-31;23;274,4;1002,748521;26,953898;5,6;,976075;
2022-11-30;10;82;1002,682695;26,755154;6,1;,983026;
2022-12-31;20;215,6;1002,269635;26,392619;6,5;1,018759;
2023-01-31;20;314,6;1004,025319;25,628033;4,3;,777102;
2023-02-28;25;310,4;1003,775288;25,90168;4,3;,791043;
2023-03-31;23;344,4;1003,709175;26,097572;3,9;,812757;
2023-04-30;20;169,2;1003,380996;26,62128;4;,721624;
2023-05-31;24;200,8;1004,604792;26,619353;4,8;,783081;
2023-06-30;12;71,2;1006,382083;25,606528;4,4;,854722;
2023-07-31;3;4,2;1005,519384;27,174947;3,2;,631767;
2023-08-31;3;33;1004,165726;28,091667;4,7;,798387;
2023-09-30;10;131,4;1003,046528;28,530695;8,3;,829306;
2023-10-31;3;null;null;null;null;null;

