Nome: PRESIDENTE FIGUEIREDO
Codigo Estacao: A126
Latitude: -2.05666666
Longitude: -60.02583332
Altitude: 60.99
Situacao: Pane
Data Inicial: 2008-04-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;7;null;null;null;null;null;
2008-05-31;29;437,2;1003,910186;25,370757;4,5;,60852;
2008-06-30;23;264,8;1004,703146;25,410483;3,3;,654801;
2008-07-31;20;161,6;1004,831183;25,789919;5;,693145;
2008-08-31;16;163,8;1002,819355;26,630376;3,8;,732258;
2008-09-30;18;225,6;1003,488194;26,327639;4,6;,707361;
2008-10-31;20;137,6;1002,703091;26,465323;6,2;,722581;
2008-11-30;18;290,2;1001,383508;25,955012;5,5;,556045;
2008-12-31;24;326,2;1001,870296;25,751882;5,7;,656317;
2009-01-31;29;466,6;1002,972183;25,54519;6,3;,587202;
2009-02-28;24;293,4;1002,469129;25,516802;4,8;,812703;
2009-03-31;28;476,2;1002,558065;25,514785;4,5;,685484;
2009-04-30;22;259;1003,550139;26,116806;3,8;,701806;
2009-05-31;26;445,2;1003,946371;25,792876;4,6;,634005;
2009-06-30;24;141;1004,711389;25,88875;3,4;,663472;
2009-07-31;22;156,8;1004,305108;26,608871;4,6;,759812;
2009-08-31;14;41,6;1003,182258;27,613038;5,1;,868817;
2009-09-30;11;103,6;1003,24067;27,833388;4,3;,869281;
2009-10-31;12;85,2;1001,289943;27,872414;4,4;,794971;
2009-11-30;6;62,2;1000,174444;28,310556;4,6;,944167;
2009-12-31;16;246,4;1001,865188;27,002285;4,5;,860215;
2010-01-31;21;189,8;1002,393377;26,649768;5,5;,865042;
2010-02-28;24;269,2;1001,655208;26,827679;4,8;,801042;
2010-03-31;23;235,4;1002,354167;27,301344;5,7;,873387;
2010-04-30;29;461,6;1003,139028;26,344444;4,7;,655417;
2010-05-31;30;301,4;1003,566532;26,596774;4,2;,62957;
2010-06-30;21;193,2;1004,994722;26,363611;3,5;,720694;
2010-07-31;26;168,8;1004,849597;25,699059;3,6;,708871;
2010-08-31;17;113,6;1004,244336;26,943182;4,4;,78064;
2010-09-30;12;62,4;1002,460972;27,735278;6,8;,838333;
2010-10-31;16;176;1002,082796;27,256586;4,1;,719892;
2010-11-30;13;182,8;1001,061389;26,496944;6,1;,721667;
2010-12-31;27;300;1000,81586;26,07836;3,6;,764785;
2011-01-31;22;null;1001,348611;25,851122;4,1;,924914;
2011-02-28;4;null;null;null;null;null;
2011-03-31;8;null;null;null;4,8;null;
2011-04-30;2;null;null;null;null;null;
2011-05-31;3;null;null;null;null;null;
2011-06-30;2;null;null;null;null;null;
2011-07-31;16;125,4;1004,111425;26,680376;5,5;,770565;
2011-08-31;15;121;1004,24422;26,760215;3,7;,724328;
2011-09-30;17;158,2;1004,071806;26,782083;5,8;,687361;
2011-10-31;15;186;1001,560753;26,716129;4,8;,705108;
2011-11-30;19;184,2;1001,458611;26,779722;3,4;,723333;
2011-12-31;19;199;1001,577151;26,644892;4,1;,76922;
2012-01-31;27;380,8;1002,911694;25,441801;5,3;,622446;
2012-02-29;25;350,4;1002,71796;25,245402;4,6;,721408;
2012-03-31;31;412;1003,545699;25,558065;4,8;,697177;
2012-04-30;28;289,6;1003,299444;25,827639;5,7;,564583;
2012-05-31;26;187,6;1003,877688;26,264919;5,2;,635618;
