Nome: BOA VISTA
Codigo Estacao: A135
Latitude: 2.81694443
Longitude: -60.69083333
Altitude: 82.35
Situacao: Pane
Data Inicial: 2010-08-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-08-31;2;null;null;null;null;null;
2010-09-30;11;124,8;1000,985694;28,170556;4,3;null;
2010-10-31;7;45,6;1000,396774;28,724597;4,4;null;
2010-11-30;15;154,4;999,354306;27,438333;4,2;null;
2010-12-31;15;99,6;999,201882;27,218683;5;null;
2011-01-31;8;31,4;1000,017876;27,281317;5,1;null;
2011-02-28;8;64,8;1000,74628;28,051935;4,9;null;
2011-03-31;10;167;1000,885791;26,955635;5,3;null;
2011-04-30;8;22,6;1001,196944;27,858472;5,9;null;
2011-05-31;28;622,4;1001,639113;25,866801;6,2;null;
2011-06-30;30;404;1002,566667;26,049028;4,9;null;
2011-07-31;25;351;1002,460484;26,182527;4,6;null;
2011-08-31;23;123,6;1002,500941;26,923118;7,3;null;
2011-09-30;14;73,4;1002,215833;27,732917;4,8;null;
2011-10-31;14;105,6;999,770296;27,772581;7;null;
2011-11-30;15;109,6;999,66875;27,742083;4,5;null;
2011-12-31;5;35;999,957124;28,037634;4,7;null;
2012-01-31;8;17;1001,091532;27,934543;5,7;null;
2012-02-29;11;16,2;1000,882328;27,609195;6,7;null;
2012-03-31;9;57;1001,575672;27,764516;5,5;null;
2012-04-30;21;216,8;1001,452778;26,793611;4,4;null;
2012-05-31;31;220,8;1002,226075;26,415054;4,4;null;
2012-06-30;27;35,8;1003,311528;26,501528;4,1;null;
2012-07-31;15;77,2;1003,25457;25,66129;5,1;null;
