Nome: FEIJO
Codigo Estacao: A138
Latitude: -8.14277777
Longitude: -70.3436111
Altitude: 157.17
Situacao: Pane
Data Inicial: 2009-09-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-09-30;2;null;null;null;null;null;
2009-10-31;13;183,4;990,729023;26,314512;7,7;1,56319;
2009-11-30;24;185,4;989,303611;26,033333;6,2;1,452785;
2009-12-31;24;339,6;991,054973;25,1875;7,5;1,489167;
2010-01-31;25;289,8;991,246334;25,525244;6,5;1,474293;
2010-02-28;20;223,6;null;25,956696;5,2;1,45506;
2010-03-31;24;188,8;null;25,973253;7;1,443022;
2010-04-30;18;122,2;null;26,151528;5,4;1,372361;
2010-05-31;21;59,8;null;24,599059;10;1,386021;
2010-06-30;18;46;null;24,748889;4,5;1,219813;
2010-07-31;12;31,2;null;22,996505;6,8;1,494489;
2010-08-31;6;13,6;null;24,450447;5,8;1,252893;
2010-09-30;12;104,6;null;25,981806;8,6;1,406667;
2010-10-31;11;120,8;null;26,163038;7,1;1,663038;
2010-11-30;20;188,8;null;25,287222;7;1,457361;
2010-12-31;17;199,6;null;25,421505;9,6;1,508468;
2011-01-31;27;180,8;null;25,102957;5;1,489651;
2011-02-28;28;55,8;null;24,70372;6;1,395536;
2011-03-31;29;60;null;24,782885;6;1,317994;
2011-04-30;null;null;null;25,180556;6,4;1,335;
2011-05-31;null;null;992,936632;24,545582;5,7;1,406195;
2011-06-30;null;null;993,835972;24,573056;5,4;1,278056;
2011-07-31;null;null;993,708736;24,198925;5;1,234882;
2011-08-31;null;null;993,857527;24,618548;9;1,413172;
2011-09-30;null;null;993,595;25,845694;8,2;1,444167;
2011-10-31;null;null;990,511425;25,522043;7;1,474866;
2011-11-30;null;null;990,163086;25,896733;7,9;1,459752;
2011-12-31;20;360,4;990,804301;25,224328;7,2;1,381317;
2012-01-31;null;null;991,548253;24,615995;5,7;1,454436;
2012-02-29;null;null;991,325;24,693966;6,9;1,449569;
2012-03-31;null;null;992,529167;25,089919;6;1,399807;
2012-04-30;23;99,2;992,239861;25,318611;5,9;1,355912;
2012-05-31;25;84,8;993,500672;24,766667;4,9;1,294758;
2012-06-30;23;42;994,823889;24,044306;5,8;1,31;
2012-07-31;18;25,4;994,812097;23,710887;6,7;1,222446;
2012-08-31;2;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;7;null;null;26,295833;6,4;null;
2012-11-30;19;307,4;990,407778;25,73375;6,4;1,406667;
2012-12-31;28;435,2;990,61129;24,812366;6,8;1,42836;
2013-01-31;25;490;992,116532;25,165188;6,8;1,384677;
2013-02-28;23;169,2;991,506399;25,303125;6,4;1,50744;
2013-03-31;29;364;992,122944;25,576006;6,8;1,493438;
2013-04-30;13;44,6;992,853889;25,511111;6,1;1,421389;
2013-05-31;20;146,6;993,558199;24,922984;8,1;null;
2013-06-30;21;120;993,97423;24,866793;5,6;null;
2013-07-31;20;74;995,618548;23,441398;6,5;null;
2013-08-31;7;12,6;994,394355;24,018817;8,4;1,483602;
2013-09-30;10;135;993,095;25,43;10,6;1,451806;
2013-10-31;17;180,2;991,954032;25,597446;9,6;1,358871;
2013-11-30;22;319,4;990,180278;25,271389;6,6;1,478889;
2013-12-31;23;225,4;991,012231;25,58629;8,2;1,438464;
2014-01-31;25;267,8;991,850403;25,183064;5,8;1,534097;
2014-02-28;22;214,2;991,46622;25,05253;5;1,382589;
2014-03-31;26;459,8;992,016532;25,05;7,1;1,420418;
2014-04-30;23;249,4;993,009028;25,31375;5,1;null;
2014-05-31;24;196,8;993,332796;24,67379;5,8;null;
2014-06-30;16;89,8;994,236111;24,520417;6,4;1,384167;
2014-07-31;13;21,8;996,419758;23,408871;5;1,30336;
2014-08-31;9;null;994,858634;24,52872;8,4;1,343843;
2014-09-30;null;null;null;null;6,5;null;
2014-10-31;null;null;null;null;3,4;null;
2014-11-30;7;null;null;null;5,9;null;
2014-12-31;24;311,4;991,391129;25,328629;5;1,194758;
2015-01-31;30;481,2;993,239288;24,567339;6,3;1,361027;
2015-02-28;22;372;992,199405;25,305357;8,9;1,500595;
2015-03-31;29;340,8;992,344167;25,201111;6;1,347554;
2015-04-30;24;334,4;993,000556;25,500278;7,4;1,376111;
2015-05-31;26;178,8;993,859005;25,026479;6,2;1,281305;
2015-06-30;21;72;995,064028;24,746945;5,8;1,150695;
2015-07-31;15;33,8;994,658737;24,945296;4,8;1,13913;
2015-08-31;12;101,8;993,216667;25,963844;7,2;1,192742;
2015-09-30;11;54,6;992,354861;26,321528;6,5;1,391667;
2015-10-31;14;118,8;992,30578;26,411425;8,6;1,563441;
2015-11-30;19;140,8;990,679028;26,326667;11,5;1,411389;
2015-12-31;20;298,8;992,48871;25,671505;8;1,395699;
2016-01-31;22;141,6;991,385618;26,368683;6;1,36312;
2016-02-29;20;72;992,014655;26,014799;7,7;1,411782;
2016-03-31;21;40,8;993,166398;26,198253;5,7;1,386425;
2016-04-30;15;37;992,760139;25,8925;7,3;1,398949;
2016-05-31;16;29;994,829371;25,00103;12,3;1,364895;
2016-06-30;4;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;4;null;null;null;null;null;
2016-10-31;19;179,8;991,419641;26,091865;6,2;1,421529;
2016-11-30;18;99,4;990,381806;25,782083;5,9;1,570972;
2016-12-31;29;446,8;991,326075;25,286021;6,3;1,484946;
2017-01-31;16;null;null;24,866406;5,5;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;15;225,4;993,264306;25,570556;6,6;1,227361;
2017-10-31;13;132,8;991,605914;25,870027;7,8;1,396909;
2017-11-30;18;264;990,235;25,706806;6,6;1,500132;
2017-12-31;24;349,2;990,802016;25,361022;6,6;1,50155;
2018-01-31;26;207;991,54207;25,177285;6,6;1,474059;
2018-02-28;19;184,2;991,428572;25,228869;4,8;1,379464;
2018-03-31;23;244,2;991,743548;25,290995;5,6;1,387582;
2018-04-30;22;180,2;993,09875;25,2525;5,9;1,363056;
2018-05-31;13;115,2;994,117339;24,637903;5,3;1,252428;
2018-06-30;7;33;995,980556;23,074167;5;1,277222;
2018-07-31;7;32;994,978898;24,356183;6;1,235081;
2018-08-31;12;107,2;995,429301;24,093952;5,9;1,432392;
2018-09-30;15;90,8;991,980278;25,60125;9;1,443472;
2018-10-31;21;211,2;991,300806;25,940995;7,1;1,353091;
2018-11-30;22;229,2;990,570139;25,694722;6,4;1,423195;
2018-12-31;25;190,2;992,792339;25,195161;6;1,430645;
2019-01-31;28;351,8;992,932796;25,434274;5,5;1,4137;
2019-02-28;25;394,4;992,345238;25,508036;5,7;1,409013;
2019-03-31;26;270,6;992,542876;25,597984;6,7;1,322733;
2019-04-30;20;208,6;992,554722;25,837083;7,1;1,258472;
2019-05-31;16;57,2;993,283871;25,083199;4,8;1,30121;
2019-06-30;16;95,4;994,72;25,156945;5,6;1,164028;
2019-07-31;13;145,2;995,256452;23,957393;6,2;1,291532;
2019-08-31;8;82,8;995,54664;24,42836;8,9;1,222984;
2019-09-30;12;66,8;null;26,277639;10,4;1,323611;
2019-10-31;21;165,6;992,351528;25,09879;7,2;1,381498;
2019-11-30;22;281,8;990,574167;25,670972;6,9;1,44936;
2019-12-31;20;364,4;991,286156;25,852419;6,4;1,351613;
2020-01-31;19;209,8;991,952285;26,329167;5,9;1,452957;
2020-02-29;21;299,8;992,26413;25,683764;8,3;1,367104;
2020-03-31;19;299,6;991,816092;25,960618;6,6;1,34979;
2020-04-30;20;294;993,728333;25,307083;4,8;1,305139;
2020-05-31;16;54,6;994,878898;24,587903;6,1;1,311022;
2020-06-30;10;67,6;994,077917;25,143472;5,4;1,131667;
2020-07-31;8;37;993,915995;24,709946;5,4;1,163172;
2020-08-31;5;85,2;993,624731;24,906183;7,6;1,301882;
2020-09-30;13;153,4;992,744861;25,985833;8,7;1,352222;
2020-10-31;15;132,8;991,963307;25,842473;9,5;1,435887;
2020-11-30;13;46,4;991,093194;26,188194;7,7;1,371806;
2020-12-31;20;302,2;991,454335;25,365953;7,4;1,440849;
2021-01-31;13;null;991,209652;25,465425;7;1,576648;
2021-02-28;9;null;null;null;4,8;null;
2021-03-31;2;null;null;null;5,3;null;
2021-04-30;null;null;null;null;4;null;
2021-05-31;null;null;null;null;3,6;null;
2021-06-30;null;null;null;null;5;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

