Nome: BALSAS
Codigo Estacao: A204
Latitude: -7.45555555
Longitude: -46.02749999
Altitude: 271.03
Situacao: Operante
Data Inicial: 2007-10-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;1;null;null;null;null;null;
2007-11-30;null;null;null;null;7,9;null;
2007-12-31;9;61;978,891071;26,344345;6,5;1,781845;
2008-01-31;19;192,8;979,385887;24,998387;7,7;1,481586;
2008-02-29;20;119;980,420546;25,196121;6,6;1,411063;
2008-03-31;23;243,6;980,256018;24,605864;7,8;1,369907;
2008-04-30;19;200,2;979,519722;25,587917;5,7;1,4775;
2008-05-31;8;35,2;981,065317;25,950082;7,3;1,944331;
2008-06-30;1;,2;982,480127;24,931081;8;2,262802;
2008-07-31;0;0;983,238844;25,214785;7,9;2,54328;
2008-08-31;0;0;980,9625;26,716532;7,3;2,449328;
2008-09-30;3;39,2;980,71625;28,246667;8,4;2,280556;
2008-10-31;6;13;979,772312;28,363844;7,4;2,167473;
2008-11-30;15;267,4;978,8175;26,497639;8,3;1,691944;
2008-12-31;19;141,2;979,203348;25,28376;7,9;1,447832;
2009-01-31;15;203,2;980,160081;25,549597;7,3;1,435618;
2009-02-28;18;188,2;979,75947;25,212257;10,5;1,356818;
2009-03-31;17;96,6;979,5875;25,777823;6;1,09328;
2009-04-30;24;349;981,048333;25,120556;6,4;1,320556;
2009-05-31;19;135;981,580108;25,138307;6,6;1,463307;
2009-06-30;3;10,6;982,606944;25,188056;7,5;1,635;
2009-07-31;0;0;982,629301;25,436559;7,6;1,916263;
2009-08-31;2;4,6;981,699597;26,610484;7,4;2,185081;
2009-09-30;2;4,8;981,030139;28,362778;7,9;2,04375;
2009-10-31;11;170;979,46408;26,77069;7;1,651006;
2009-11-30;7;6,6;978,710556;26,901667;8;1,540695;
2009-12-31;20;204;980,043145;25,298387;9,4;1,541263;
2010-01-31;16;196;980,225134;25,615;8;1,632392;
2010-02-28;12;155,2;979,513095;25,994048;10,7;1,620982;
2010-03-31;20;88,8;980,069355;26,358333;6,1;1,291667;
2010-04-30;11;131,4;980,183056;26,600972;7,3;1,334861;
2010-05-31;5;50,4;980,369893;27,070968;7;1,315995;
2010-06-30;2;15,8;982,752816;26,240126;9;1,810404;
2010-07-31;1;3,2;982,520296;25,916398;7,2;2,099866;
2010-08-31;null;null;982,140608;26,361625;7,9;2,365918;
2010-09-30;null;null;980,452408;29,187672;8,3;2,418152;
2010-10-31;null;null;null;null;6,9;null;
2010-11-30;null;null;null;null;6;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;10;null;null;null;5,1;null;
2011-03-31;20;157,2;979,664007;25,333663;5,9;,989657;
2011-04-30;18;74;980,144167;25,932361;7,2;1,130278;
2011-05-31;4;31,4;980,67043;26,340457;6,5;1,599462;
2011-06-30;0;0;981,905278;25,945695;7;1,715;
2011-07-31;2;2,2;982,158199;25,433333;7,8;1,988306;
2011-08-31;0;0;981,837903;27,25121;7,3;2,043952;
2011-09-30;0;0;981,486806;28,520695;7,9;2,283472;
2011-10-31;9;122,4;978,833737;27,786425;8,2;1,925269;
2011-11-30;21;148,8;979,434306;25,403472;7,3;1,426944;
2011-12-31;17;173,2;979,273118;25,702957;6,9;1,175538;
2012-01-31;26;223;980,120927;24,547049;8,8;1,136922;
2012-02-29;19;135,8;979,918247;24,642241;8,2;1,359914;
2012-03-31;15;124,4;980,392608;25,335081;7,5;1,103629;
2012-04-30;10;50;980,00375;26,228194;7;1,03875;
2012-05-31;6;28,8;981,124328;26,172984;9,6;1,293145;
2012-06-30;3;2,6;982,340139;26,125694;5,9;1,476805;
2012-07-31;0;0;982,171102;26,170833;7,2;2,046505;
2012-08-31;null;0;983,044163;26,783194;8,1;2,521697;
2012-09-30;1;6,4;981,78;28,788333;6,7;2,127083;
2012-10-31;6;46,6;979,110484;29,466667;7,4;1,973925;
2012-11-30;6;null;null;null;null;null;
2012-12-31;1;null;null;null;5;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;11;null;979,396635;26,114423;5,5;1,261859;
2013-03-31;23;137,2;980,337417;25,828879;7,9;1,105444;
2013-04-30;11;38,8;980,921806;26,312083;6,8;1,141111;
2013-05-31;7;73,4;981,435887;26,316801;7,9;1,045699;
2013-06-30;3;1,4;982,044811;25,935758;6,2;1,13;
2013-07-31;2;,6;982,782661;26,45914;6,3;1,654839;
2013-08-31;0;0;981,446102;27,286425;7,1;1,794489;
2013-09-30;3;18;980,649167;29,04625;9,1;1,751389;
2013-10-31;8;114,2;980,177823;27,668548;8,4;1,601882;
2013-11-30;5;null;null;null;null;null;
2013-12-31;15;188;979,607796;25,825941;null;null;
