Nome: GRAJAU
Codigo Estacao: A207
Latitude: -5.81611111
Longitude: -46.16222222
Altitude: 232.29
Situacao: Operante
Data Inicial: 2008-09-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;null;null;28,400625;5,2;null;
2008-10-31;7;14;983,991801;28,705914;7,1;1,728898;
2008-11-30;9;48;982,957899;27,794004;4,7;1,638696;
2008-12-31;18;91,4;983,279032;26,079839;5,1;1,449597;
2009-01-31;16;112;984,405055;25,791813;5;1,488429;
2009-02-28;19;215,2;983,983902;25,249608;6,2;1,4074;
2009-03-31;21;180,2;983,927554;25,525403;5,7;1,360349;
2009-04-30;26;372,4;985,325139;24,959444;4,8;1,298472;
2009-05-31;23;210,8;985,598253;25,134677;4,4;1,280242;
2009-06-30;3;12,2;986,485;25,742778;5,1;1,610556;
2009-07-31;0;0;986,624328;25,978091;5,3;1,734946;
2009-08-31;0;0;985,851882;26,338979;5,4;1,749866;
2009-09-30;0;0;985,584028;27,230972;5,2;1,709028;
2009-10-31;null;0;983,781897;27,242529;6,4;1,626006;
2009-11-30;0;0;982,980972;27,789306;4,6;1,769444;
2009-12-31;0;0;984,030914;26,499462;5,6;1,709005;
2010-01-31;0;0;984,360056;26,084995;4,7;1,559922;
2010-02-28;0;0;983,573809;26,463839;4,6;1,544494;
2010-03-31;0;0;984,2;26,906989;5;1,450269;
2010-04-30;0;0;984,228195;26,601389;4,6;1,420972;
2010-05-31;0;0;984,575538;26,913038;4,8;1,383333;
2010-06-30;0;0;986,644167;26,506528;5,9;1,674028;
2010-07-31;0;0;986,226075;27,125269;4,9;1,755242;
2010-08-31;null;0;986,015465;27,282995;5,1;1,719946;
2010-09-30;0;0;984,230556;29,350417;5,3;1,918889;
2010-10-31;0;0;983,80336;28,581855;5,8;1,72715;
2010-11-30;null;null;null;28,130263;4,2;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;983,878365;25,825344;4,6;1,334396;
2011-04-30;null;null;984,345695;25,874722;5,9;1,277083;
2011-05-31;1;10;984,656586;26,484812;5;1,561022;
2011-06-30;1;,2;985,90625;26,362778;5,1;1,60375;
