Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.9911111
Longitude: -47.35638888
Altitude: 93
Situacao: Pane
Data Inicial: 2007-10-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;null;null;null;null;null;null;
2007-11-30;0;0;999,188907;27,945048;6,3;2,130664;
2007-12-31;0;0;999,759005;26,5625;7,8;1,691129;
2008-01-31;14;220;1000,110753;25,603226;9,7;1,514919;
2008-02-29;22;299,2;1001,216178;25,604316;6,6;1,376523;
2008-03-31;27;508,6;1001,068498;25,253825;6;1,233729;
2008-04-30;27;292,4;1000,35125;25,435694;5,6;1,247222;
2008-05-31;22;158,8;1001,430247;25,797307;5,2;1,210042;
2008-06-30;8;42,6;1002,420006;25,718877;6,7;1,161757;
2008-07-31;7;7,2;1002,999194;25,781048;6,2;1,650941;
2008-08-31;4;9,4;1001,250697;26,716337;6;1,784079;
2008-09-30;4;17,4;1001,644861;27,409722;6,7;2,04;
2008-10-31;6;8,2;1000,654839;27,975134;8,3;2,174194;
2008-11-30;8;57,8;999,509722;27,876111;7;1,829722;
2008-12-31;10;177,8;999,544653;27,25554;5,2;1,462196;
2009-01-31;24;104;1000,86371;26,002285;8,1;1,306855;
2009-02-28;26;445,8;1000,422328;25,493097;8,2;1,329063;
2009-03-31;29;312,8;1000,531183;25,50914;6,4;1,143011;
2009-04-30;27;271,2;1001,875139;25,360833;5,6;,922917;
2009-05-31;30;158,2;1002,06707;25,41707;6;,616667;
2009-06-30;20;67;1002,686389;25,751667;5,1;,885139;
2009-07-31;14;56;1002,864651;25,828629;5,8;1,112231;
2009-08-31;10;15,6;1002,172043;26,043817;6;1,254973;
2009-09-30;4;3,4;1002,25875;27,028611;6,2;1,395;
2009-10-31;3;12,4;1000,265661;27,570259;5,4;1,391954;
2009-11-30;3;30;999,433194;27,978889;6,5;1,662222;
2009-12-31;9;127;1000,209677;27,461828;6,4;1,529301;
2010-01-31;21;164,2;1000,649059;26,36371;6,3;1,183602;
2010-02-28;19;194,4;999,801488;26,820685;6,2;1,283482;
2010-03-31;19;174;1000,525771;27,067666;6,7;,957954;
2010-04-30;24;354,8;1000,591528;26,4075;6,1;,720139;
2010-05-31;19;177,2;1000,989382;26,62621;6;,653091;
2010-06-30;11;78,8;1002,818194;26,031945;6;,960139;
2010-07-31;7;31,2;1002,422043;26,079436;8,7;1,240054;
2010-08-31;5;18;1002,319203;26,376864;5,5;1,301619;
2010-09-30;2;3,6;1000,779167;27,515833;6,7;1,653333;
2010-10-31;8;31,8;1000,434812;27,886022;6,7;1,407392;
2010-11-30;8;43;998,970694;27,656806;6,4;1,245278;
2010-12-31;18;211,2;998,601882;26,529973;5,9;,993414;
2011-01-31;21;295,4;999,591532;25,384812;6,7;,868548;
2011-02-28;26;112,4;1000,540729;25,140528;5,8;,836931;
2011-03-31;26;176,8;1000,378594;25,545884;6,2;,739996;
