Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;8;null;null;null;null;null;
2008-05-31;23;210,2;985,128886;25,63667;5,9;1,389101;
2008-06-30;2;5,6;986,126443;26,214656;5,5;1,501443;
2008-07-31;2;2,2;986,674194;26,580511;6,6;1,770296;
2008-08-31;2;8;984,724731;27,752419;6,1;1,738575;
2008-09-30;1;5;985,078611;28,140695;5,9;1,850139;
2008-10-31;7;30,4;984,19207;28,309005;8,6;1,80793;
2008-11-30;16;206,4;983,251389;27,071389;6,4;1,560556;
2008-12-31;22;338,2;983,423118;25,983602;5,3;1,334408;
2009-01-31;20;237,6;984,523095;25,826899;7,4;1,436454;
2009-02-28;23;254;984,075717;25,404857;5,9;1,434781;
2009-03-31;29;335,4;984,104435;25,5;5;1,365323;
2009-04-30;27;571,8;985,442361;25,2325;6,3;1,416944;
2009-05-31;27;272;985,693011;25,238844;4,5;1,232796;
2009-06-30;10;56,8;986,413056;25,743472;5,1;1,494722;
2009-07-31;4;5,4;986,456317;26,358333;5,5;1,631855;
2009-08-31;3;16,2;985,676075;26,975538;6,5;1,81922;
2009-09-30;6;22,4;985,684583;27,281528;6,4;1,839583;
2009-10-31;5;14,2;983,783443;27,677299;5,5;1,798677;
2009-11-30;7;30;983,027361;28,024167;5,7;1,89625;
2009-12-31;13;108,2;984,031586;26,710887;6,4;1,70457;
2010-01-31;15;320,8;984,367512;26,262917;7,1;1,598214;
2010-02-28;19;152,6;983,558929;26,634375;5,9;1,669196;
2010-03-31;17;137;984,256317;26,917204;6,7;1,261559;
2010-04-30;21;317,2;984,344306;26,356389;4,5;1,016111;
