Nome: SALINOPOLIS
Codigo Estacao: A215
Latitude: -0.61888888
Longitude: -47.35666666
Altitude: 23.18
Situacao: Operante
Data Inicial: 2008-06-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;11;null;null;null;4,5;null;
2008-07-31;19;136,8;1010,402554;26,763306;5,9;2,257112;
2008-08-31;3;21,6;1008,835618;27,711828;6,9;3,54543;
2008-09-30;1;6,6;1009,323889;28,160278;6,2;4,009028;
2008-10-31;0;0;1008,408065;28,360887;7,2;4,19879;
2008-11-30;1;,2;1007,186667;28,490417;6,3;3,929167;
2008-12-31;7;13,8;1006,96707;28,413441;6,3;3,564382;
2009-01-31;23;258,6;1008,199533;27,42268;6;3,061904;
2009-02-28;26;263,6;1007,77757;25,968412;6,3;2,167803;
2009-03-31;31;422,4;1007,870833;26,372043;6;2,281317;
2009-04-30;22;28;1009,228611;26,277083;5,1;2,048056;
2009-05-31;19;331;1009,407796;25,946237;4,7;1,470161;
2009-06-30;27;315,6;1010,076528;26,2;5,6;1,612222;
2009-07-31;18;113;1010,284812;27,339919;7,4;2,845968;
2009-08-31;4;31;1009,708333;27,800134;6,5;3,770565;
2009-09-30;1;,2;1010,015417;27,939028;6,9;4,359028;
2009-10-31;null;0;1008,006178;28,083621;6,7;3,976006;
2009-11-30;2;4,2;1007,242132;28,208539;6,9;4,419209;
2009-12-31;7;82;1007,774731;28,299194;6,5;4,018414;
2010-01-31;19;196,4;1007,987072;27,689993;5,8;3,250171;
2010-02-28;18;338,6;1007,146875;27,995536;6,4;3,446131;
2010-03-31;23;276,4;1007,91922;28,298656;5,8;3,033333;
2010-04-30;30;334,4;1007,901945;26,973056;6,1;1,617361;
2010-05-31;24;215,8;1008,305511;27,768952;5,7;1,95578;
2010-06-30;23;237,4;1010,118333;27,036944;4,8;1,569306;
2010-07-31;21;130;1009,78459;27,225333;6,1;2,248001;
2010-08-31;5;33,8;1009,855362;28,048865;6,7;3,335085;
2010-09-30;1;3,6;1008,547778;28,350694;7;4,200833;
2010-10-31;0;0;1008,142876;28,710349;6;3,579704;
2010-11-30;5;20;1006,553333;28,875139;6,2;3,738889;
2010-12-31;14;125,8;1005,962634;28,025941;7,5;2,908065;
2011-01-31;11;null;null;26,739217;5,9;null;
2011-02-28;4;null;null;null;5;null;
2011-03-31;25;526,4;1007,68093;26,4682;6,1;1,969436;
2011-04-30;28;795;1008,246667;26,098889;5,4;1,35125;
2011-05-31;27;347,6;1008,15336;26,855242;6,5;1,432527;
2011-06-30;18;198,4;1009,492917;26,717917;5,9;1,808194;
2011-07-31;17;210,2;1009,563978;26,866532;6,1;2,114785;
2011-08-31;6;18,8;1010,068011;27,872581;7;3,577285;
2011-09-30;0;0;1009,905278;28,164028;6,6;3,9575;
2011-10-31;6;162;1007,304301;28,006317;6,5;3,527688;
2011-11-30;1;,2;1007,194583;28,227361;6,7;3,814444;
2011-12-31;2;4,8;1007,474194;28,186022;6,7;4,280242;
2012-01-31;15;101,8;1007,88383;27,60208;6,9;3,498592;
2012-02-29;21;326,8;1007,745977;26,595833;7,1;2,712069;
2012-03-31;31;515,4;1008,511022;26,663306;6,1;2,581317;
2012-04-30;24;349;1008,109583;27,542639;5,8;2,891111;
2012-05-31;13;71,6;1009,095161;27,944758;6,4;3,347581;
2012-06-30;14;105,8;1010,441667;27,431528;6,2;3,091528;
2012-07-31;15;84,6;1009,983333;27,527823;6;3,434678;
2012-08-31;9;33,6;1010,688422;27,678056;6,8;3,933199;
2012-09-30;1;,4;1010,660139;28,009861;7,1;4,288333;
2012-10-31;4;1,6;1008,198656;28,037231;7,6;4,400806;
2012-11-30;1;62,6;1007,546667;28,147222;6,6;3,939167;
2012-12-31;9;68,4;1007,15215;28,163306;6,6;3,972177;
2013-01-31;17;38,4;1008,398925;27,97379;6,7;3,640995;
2013-02-28;10;13,6;1007,451637;27,544048;6,7;3,375893;
2013-03-31;18;44,4;1008,298222;27,712787;7;3,402889;
2013-04-30;18;126,6;1008,849167;27,179444;6,3;2,471806;
2013-05-31;24;318,4;1009,199328;26,934946;6,1;1,913575;
2013-06-30;null;null;1009,773586;27,761326;6,5;2,758321;
2013-07-31;28;112,2;1010,740995;26,747312;6,1;2,156048;
2013-08-31;12;30,6;1009,535081;27,779301;6,8;3,753226;
2013-09-30;2;,8;1009,361389;28,103194;7;4,171806;
2013-10-31;2;,4;1008,7875;28,221102;7,7;4,339785;
2013-11-30;4;2,6;1007,073543;28,113845;6,7;3,960743;
2013-12-31;null;null;null;null;5,9;null;
2014-01-31;null;null;null;null;5,3;null;
2014-02-28;7;null;null;null;null;null;
2014-03-31;28;648,2;1008,646909;26,522581;5,9;2,717473;
2014-04-30;28;543,2;1009,006528;26,532222;5,9;2,207639;
2014-05-31;24;518;1009,128898;26,711694;5,4;1,872715;
2014-06-30;21;140,2;1009,697917;27,429583;6,7;2,67;
2014-07-31;13;72,6;1011,700672;27,350941;6,1;3,173925;
2014-08-31;3;5,2;1010,667608;27,729839;7,2;3,355511;
2014-09-30;1;,2;1010,079028;27,882222;6,2;3,414306;
2014-10-31;2;6,2;1008,907258;28,162097;6,5;2,714113;
2014-11-30;2;,6;1008,062983;28,045235;6,4;2,297699;
