Nome: FAROL de SANTANA
Codigo Estacao: A217
Latitude: -2.27083332
Longitude: -43.62416666
Altitude: 9.87
Situacao: Pane
Data Inicial: 2008-11-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-11-30;null;null;null;null;null;null;
2008-12-31;1;19,8;1008,194861;28,283472;6,1;3,736528;
2009-01-31;18;238;1009,427507;27,562681;7,4;3,286916;
2009-02-28;22;316;1008,818835;26,892438;5,6;2,844643;
2009-03-31;24;579,6;1008,917204;27,01129;5,5;2,73809;
2009-04-30;29;639,2;1010,288056;26,367639;4,9;2,167639;
2009-05-31;27;565,6;1010,45672;26,297312;4,7;1,824866;
2009-06-30;23;213,4;1011,26375;27,14375;6,4;2,567778;
2009-07-31;11;61,2;1011,661828;27,505242;6,8;3,324731;
2009-08-31;4;10,6;1011,086559;27,812903;5,9;3,822446;
2009-09-30;0;0;1011,252301;27,734173;6,8;4,394209;
2009-10-31;null;0;1009,418966;27,734052;5,7;4,073276;
2009-11-30;1;,2;1008,574861;27,965556;6,8;4,408056;
2009-12-31;3;28,4;1009,042608;28,191801;6,3;3,972581;
2010-01-31;8;50,4;1009,261597;28,091528;6;3,398118;
2010-02-28;9;45;1008,293452;28,853274;7,4;3,891667;
2010-03-31;13;181;1009,101075;28,77164;5,5;3,269355;
2010-04-30;22;391,8;1008,886111;28,290695;6;2,677639;
2010-05-31;16;154,4;1009,39328;28,666801;5,9;2,795161;
2010-06-30;12;248,8;1011,320417;28,026389;5,9;2,461389;
2010-07-31;11;88,6;1011,107124;27,883199;6,2;2,891801;
2010-08-31;1;1;1011,249662;27,950592;6,4;3,750483;
2010-09-30;1;2,6;1009,930694;27,780278;7,2;4,231667;
2010-10-31;0;0;1009,449194;28,164516;6,2;3,71129;
2010-11-30;2;20,6;1007,782361;28,495;6,4;3,916389;
2010-12-31;7;38,8;1007,218414;28,106048;6;3,411559;
2011-01-31;21;277;1008,014651;27,223253;5,8;2,906989;
2011-02-28;20;363,4;1008,841518;27,210566;5,9;2,683333;
2011-03-31;24;408,4;1008,777753;27,347614;5;2,521647;
2011-04-30;24;457,8;1009,253472;26,750417;5,8;2,278333;
2011-05-31;28;266;1009,357527;27,488844;5,1;2,204704;
2011-06-30;15;201,6;1010,760694;27,762361;5,6;2,849861;
2011-07-31;12;52,4;1010,889516;27,673656;5,5;2,992876;
2011-08-31;2;1;1011,409946;27,833602;6,4;3,744892;
2011-09-30;0;0;1011,235833;27,628472;6,6;3,947778;
2011-10-31;4;null;1008,709921;27,7;6,6;3,848165;
2011-11-30;1;null;null;null;6;null;
2011-12-31;null;null;null;null;5,8;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;14;null;null;null;5,3;null;
2012-04-30;14;38,4;1009,297083;28,334861;5,3;3,223333;
2012-05-31;8;39;1010,355511;28,312903;6,3;3,490726;
2012-06-30;14;95,6;1011,659306;27,826528;5,7;3,323472;
2012-07-31;11;75;1011,266129;27,484005;6,1;3,49207;
2012-08-31;2;1,2;1012,023618;27,457222;6,3;3,690995;
2012-09-30;0;0;1011,916806;27,429722;6,5;4,124306;
