Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2008-11-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-11-30;null;null;null;null;null;null;
2008-12-31;4;22,8;1008,779979;28,473744;6,6;3,827577;
2009-01-31;18;247,8;1009,982574;27,914113;6,7;3,328179;
2009-02-28;22;531;1009,395217;27,019599;5,9;2,715901;
2009-03-31;25;499,8;1009,51828;27,087097;5,2;2,291532;
2009-04-30;29;595,8;1010,877778;26,409306;5;1,807778;
2009-05-31;29;527,2;1011,016935;26,492876;5,1;1,564651;
2009-06-30;20;233;1011,891667;27,150556;7,4;2,255694;
2009-07-31;9;34,2;1012,307527;27,544489;6,5;3,273253;
2009-08-31;1;4;1011,688441;27,967608;7,1;4,026344;
2009-09-30;1;1,2;1011,817361;27,957222;7,8;4,813611;
2009-10-31;5;2,4;1010,007759;27,891667;6,9;4,289224;
2009-11-30;1;13;1009,10875;28,091944;7,9;4,816528;
2009-12-31;4;5,4;1009,607258;28,386694;7;4,238038;
2010-01-31;12;120,6;1009,85818;28,253333;6,6;3,38654;
2010-02-28;14;57,6;1008,860714;29,027232;7,7;4,114732;
2010-03-31;19;335,2;1009,690188;28,713038;6;3,208737;
2010-04-30;21;305;1009,445;28,359583;5,9;2,608611;
2010-05-31;16;90,4;1009,973253;28,957258;6,8;2,851075;
2010-06-30;11;103,6;1011,924861;28,296944;5,8;2,515833;
2010-07-31;8;86,2;1011,696102;28,138038;6,6;3,049059;
2010-08-31;2;,6;1011,812874;28,016051;7,2;4,121848;
2010-09-30;0;0;1010,503472;27,775556;8,1;4,677222;
2010-10-31;1;1,2;1010,049059;28,242742;7,2;4,006317;
2010-11-30;5;11,4;1008,35;28,624028;7,3;4,330972;
2010-12-31;9;99,2;1007,809274;28,14207;7,6;3,501478;
2011-01-31;15;447,8;1008,658468;27,258333;5,9;2,917607;
2011-02-28;21;221,4;1009,443899;27,246726;5,9;2,675744;
2011-03-31;23;406,8;1009,416122;27,284314;5,5;2,433569;
2011-04-30;28;421,6;1009,858056;26,845417;5,5;2,094028;
2011-05-31;27;355,4;1009,982258;27,416532;5,1;1,990457;
2011-06-30;null;null;null;null;6,4;null;
2011-07-31;null;null;null;null;5,6;null;
2011-08-31;2;null;null;null;7,2;null;
2011-09-30;1;3,4;1011,844444;27,62375;7,3;4,319306;
2011-10-31;5;5;1009,241129;27,797446;8,1;4,232392;
2011-11-30;6;9,4;1009,172639;28,154028;7,1;4,294583;
2011-12-31;2;4,2;1009,355645;28,080242;7;4,471102;
2012-01-31;13;117,8;1009,730441;27,864621;6,6;3,940977;
2012-02-29;20;239,8;1009,542241;27,187644;8,4;3,232615;
2012-03-31;22;197,8;1010,199462;27,53871;6,8;3,134812;
2012-04-30;20;142,4;1009,930833;28,027083;6,2;3,248333;
2012-05-31;12;84,8;1010,983468;28,118952;6,7;3,748253;
2012-06-30;9;null;1012,518437;27,912681;6,3;3,504063;
2012-07-31;6;59,6;1011,850672;27,709409;6,7;3,929167;
2012-08-31;null;0;1012,632949;27,433333;7,2;4,153591;
2012-09-30;0;0;1012,522083;27,326528;8,7;4,7275;
2012-10-31;3;,8;1009,896909;27,503763;9;5,080511;
