Nome: BARRA DO CORDA
Codigo Estacao: A221
Latitude: -5.50666666
Longitude: -45.23694444
Altitude: 154.19
Situacao: Operante
Data Inicial: 2008-03-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;21;null;null;24,937698;5,5;null;
2008-04-30;24;225;992,371667;25,527361;5,9;1,134583;
2008-05-31;11;101,6;993,722715;25,833065;6,2;1,31586;
2008-06-30;0;0;994,921244;25,603358;5,5;1,553454;
2008-07-31;0;0;995,667339;25,794355;5,7;1,622715;
2008-08-31;2;5,8;993,570296;27,274731;7,2;1,592608;
2008-09-30;0;0;993,553333;28,904583;5,3;1,647222;
2008-10-31;4;15,4;992,450806;29,686425;5,3;1,719892;
2008-11-30;6;14,2;991,374722;28,924167;5,5;1,662639;
2008-12-31;16;119;991,699725;27,058731;4,7;1,412786;
2009-01-31;16;167,6;992,96828;26,013038;5,4;1,306989;
2009-02-28;18;246,6;992,529018;25,402232;8,5;1,266815;
2009-03-31;19;163,8;992,490591;25,750269;8;1,231434;
2009-04-30;26;484,6;993,885556;25,360833;6,4;1,143194;
2009-05-31;24;252,4;994,199597;25,213441;4,7;1,102554;
2009-06-30;7;7,6;995,149306;25,585139;5,6;1,431389;
2009-07-31;1;,6;995,333333;25,764247;5,8;1,526075;
2009-08-31;2;38,8;994,534543;26,387634;5,8;1,66129;
2009-09-30;1;2;994,162222;27,727083;6,1;1,619444;
2009-10-31;6;56,2;992,369624;27,799059;4,7;1,558333;
2009-11-30;6;31;991,524028;28,004306;4,5;1,605;
2009-12-31;10;195;992,573118;26,378629;5,3;1,30672;
2010-01-31;17;179,8;992,946582;25,933611;7,1;1,302823;
2010-02-28;18;130,6;992,109821;26,401339;7,6;1,292708;
2010-03-31;10;78,4;992,775941;26,913172;6,6;1,237231;
2010-04-30;22;249,2;992,766944;26,535;5,4;1,185833;
2010-05-31;7;14,2;993,143683;26,79422;4,8;1,123253;
2010-06-30;5;4,4;995,297222;26,279028;6,4;1,435278;
2010-07-31;2;29,2;994,924059;26,533333;5,4;1,552823;
2010-08-31;0;0;994,684005;27,251075;5,4;1,502688;
2010-09-30;1;,6;992,885556;29,249861;5,7;1,777778;
2010-10-31;6;57;992,360887;28,877151;7,5;1,724059;
2010-11-30;6;55,8;990,952083;28,409445;5,6;1,577083;
2010-12-31;14;124;990,651479;27,34207;7,5;1,400672;
2011-01-31;18;170,6;991,628898;25,719624;6;1,256183;
2011-02-28;19;null;992,609355;25,144799;8,1;1,255464;
2011-03-31;18;255,8;992,443963;25,646131;6;1,225529;
2011-04-30;4;null;null;null;6,4;null;
2011-05-31;2;null;null;null;6,4;null;
2011-06-30;2;null;994,561215;25,970105;5,7;1,420637;
2011-07-31;null;null;null;null;6,5;null;
2011-08-31;null;null;null;null;4,7;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;4,6;null;
2011-11-30;1;null;null;null;4,9;null;
2011-12-31;7;68,8;991,860887;27,236559;4;1,353091;
2012-01-31;12;113,8;992,653898;25,875134;8,6;1,343011;
2012-02-29;17;191;992,544971;25,166379;6,5;1,32658;
2012-03-31;19;189,8;993,159946;25,537903;6;1,301613;
2012-04-30;16;66;992,803889;26,470972;4,4;1,139306;
2012-05-31;13;24;993,890995;26,374597;6;1,239919;
2012-06-30;8;20,4;995,069722;26,55;4,6;1,253056;
2012-07-31;1;35,2;994,645699;27,185887;5,4;1,392204;
2012-08-31;null;0;995,289132;27,985417;5,9;1,786271;
2012-09-30;2;2,4;994,586528;29,683194;6,9;1,830833;
2012-10-31;4;44,2;991,933468;29,882124;6,7;1,741129;
2012-11-30;7;36,4;991,802778;28,356111;4,9;1,660139;
2012-12-31;14;112,4;991,773387;26,894758;9,8;1,330376;
2013-01-31;13;143,2;993,075403;26,881317;5,2;1,327823;
2013-02-28;16;110,2;992,128869;26,430804;6,9;1,264583;
2013-03-31;7;null;992,894966;26,941977;4,5;1,222058;
2013-04-30;11;35,4;993,559167;26,88375;4,9;1,107639;
2013-05-31;28;20,6;994,041935;26,536694;4,8;,986962;
2013-06-30;12;10,6;994,692614;26,279924;6,7;1,090202;
2013-07-31;4;11,4;995,413716;27,009736;8,7;1,421587;
2013-08-31;2;6,4;994,000403;28,559677;5,9;1,616935;
2013-09-30;1;,2;993,380694;30,026389;5,8;1,784722;
2013-10-31;7;62,4;992,881989;29,097715;8,1;1,722446;
2013-11-30;10;139;991,532778;27,259028;5,9;1,204306;
2013-12-31;5;133,6;992,30215;27,084274;6,2;1,148521;
2014-01-31;17;122,8;993,381855;25,713306;7,3;1,060484;
2014-02-28;20;192;992,531994;25,559375;5,1;,958184;
2014-03-31;21;254,4;993,308333;25,768414;4,5;,872581;
2014-04-30;23;165,8;993,746667;26,008056;4,9;,874028;
2014-05-31;16;155,6;993,956989;25,890323;5,6;,881048;
2014-06-30;4;1,8;994,716944;26,063611;4,8;1,169722;
2014-07-31;3;1,4;996,549597;26,265188;5,2;1,283737;
2014-08-31;1;5,2;995,17957;27,702419;5,1;1,532258;
2014-09-30;6;31,6;994,134583;28,634306;6,3;1,626667;
2014-10-31;6;35,2;993,039651;29,100806;6,1;1,59879;
2014-11-30;9;69,8;992,277917;28,126111;4,9;1,373056;
2014-12-31;13;70;992,851747;27,424866;7,6;1,136559;
2015-01-31;17;134;993,910081;26,191801;5,9;,988306;
2015-02-28;16;206,8;993,749554;25,796726;7,5;,857589;
2015-03-31;18;181;993,525672;25,668683;5,8;,821774;
2015-04-30;14;76;993,805833;26,168889;6,7;,786944;
2015-05-31;1;null;null;null;null;null;
2015-06-30;1;null;null;26,664951;5,1;null;
2015-07-31;2;4,2;995,331586;27,480376;5,2;1,401075;
2015-08-31;0;0;994,56922;28,587097;5;1,684274;
2015-09-30;1;,2;993,695555;29,696528;4,8;1,79;
2015-10-31;2;12,8;993,137149;30,395546;5,5;1,824255;
2015-11-30;1;,4;991,86875;30,18;5,2;1,805417;
2015-12-31;9;18,6;993,025269;29,992204;6,2;1,964919;
2016-01-31;23;217,2;993,695161;26,606048;5,7;1,214382;
2016-02-29;12;32,4;993,417591;27,444369;6;1,575999;
2016-03-31;7;null;null;26,831331;5,4;null;
2016-04-30;11;54,2;993,039331;27,161956;6;,818492;
2016-05-31;15;73,6;994,904391;26,787986;3,8;,784214;
2016-06-30;2;null;996,119765;27,022485;5,4;1,190382;
2016-07-31;2;3,4;995,468515;27,546323;5,5;1,41419;
2016-08-31;null;null;null;null;5,5;null;
2016-09-30;null;null;null;null;5,4;null;
2016-10-31;null;null;null;null;4,7;null;
2016-11-30;null;null;null;null;4,7;null;
2016-12-31;9;null;992,416499;27,554379;5,5;1,083733;
