Nome: SOURE
Codigo Estacao: A227
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.54
Situacao: Pane
Data Inicial: 2008-04-26
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;2;null;null;null;null;null;
2008-05-31;25;265,8;1009,799573;26,674194;6;1,57351;
2008-06-30;22;285,8;1010,85122;26,756926;6,2;1,631836;
2008-07-31;22;135,8;1011,368145;27,461962;6,2;2,289516;
2008-08-31;10;37,8;1009,738306;28,018011;6,8;2,812366;
2008-09-30;3;12,2;1010,227222;28,450833;5,4;3,231667;
2008-10-31;4;20;1009,311559;28,620968;5,4;3,318952;
2008-11-30;2;1,2;1008,117917;28,729028;5,1;3,088333;
2008-12-31;9;133,2;1007,94328;28,421237;5,8;2,672849;
2009-01-31;24;372,2;1009,208292;27,267461;6,8;2,251888;
2009-02-28;25;748;1008,826191;26,198025;5,4;1,92086;
2009-03-31;28;967,8;1008,890591;26,40672;6,3;1,781989;
2009-04-30;27;955,2;1010,219444;26,142917;5;1,59875;
2009-05-31;30;636,6;1010,426478;25,981317;5,5;1,316936;
2009-06-30;26;394,8;1011,078194;26,643889;5,8;1,84875;
2009-07-31;17;30;1011,222312;27,805242;5,1;2,689651;
2009-08-31;7;34,2;1010,572984;28,259946;5,7;3,176613;
2009-09-30;0;0;1010,884306;28,407222;5,9;3,590417;
2009-10-31;2;,8;1008,865948;28,475575;5,5;3,304167;
2009-11-30;2;1,4;1008,102361;28,592778;6,2;3,707778;
2009-12-31;6;29,6;1008,687903;28,603629;5,9;3,374866;
2010-01-31;21;265,4;1009,011943;27,577778;6,2;2,571966;
2010-02-28;15;452,4;1008,148214;28,009821;6,8;2,853423;
2010-03-31;20;237,6;1008,909543;28,299731;5,8;2,433199;
2010-04-30;27;480;1008,96125;27,396806;5,8;1,597083;
2010-05-31;27;252,4;1009,34207;27,972446;7,7;1,697312;
2010-06-30;18;231;1011,153056;27,716528;5,4;1,742222;
2010-07-31;23;117;1010,754301;27,901747;6,2;2,154973;
2010-08-31;19;210,4;1010,819463;28,005109;5,4;2,528207;
2010-09-30;3;49;1009,453889;28,496528;6,4;3,280556;
