Nome: BREVES
Codigo Estacao: A228
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 11
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;6;null;null;null;null;null;
2017-11-30;10;64,6;1008,351111;27,261111;3,3;1,1475;
2017-12-31;21;257;1008,914785;26,345565;5,7;1,014651;
2018-01-31;25;320,6;1009,526075;25,779167;4,8;,982392;
2018-02-28;25;269;1009,875149;25,485714;2,9;,930952;
2018-03-31;28;301;1009,746909;25,873522;5,6;,924059;
2018-04-30;29;306,4;1010,77625;25,737361;3,8;,878889;
2018-05-31;30;298;1011,209274;25,991129;3,2;,869086;
2018-06-30;18;229;1011,860695;26,778472;5,1;,873889;
2018-07-31;12;62,6;1011,776747;26,58965;3,1;,897984;
2018-08-31;15;84;1012,281586;26,48871;3,3;1,028898;
2018-09-30;22;78,2;1009,833889;26,649028;4,2;1,053195;
2018-10-31;14;41,4;1009,31586;27,287634;5,9;1,14207;
2018-11-30;17;155,6;1008,488333;27,165833;3,4;1,065833;
2018-12-31;28;406;1010,698521;25,546237;3,6;,904301;
2019-01-31;31;318,4;1010,962231;25,641667;4,1;,922043;
2019-02-28;25;304,8;1010,473661;25,627827;3,8;,917113;
2019-03-31;28;367;1011,046774;25,789919;3,7;,946909;
2019-04-30;29;438;1010,669722;26,009306;3,2;,898194;
2019-05-31;27;204,2;1010,183199;26,603495;3,2;,861425;
2019-06-30;20;201,8;1011,719445;27,100417;2,8;,875972;
2019-07-31;19;116,8;1011,838307;26,791667;3,4;,888575;
2019-08-31;10;80;1012,421909;27,020699;3,2;,95457;
2019-09-30;12;38,8;1010,830278;27,25375;3,4;1,114306;
2019-10-31;17;78,2;1009,409005;26,917473;3,8;1,047984;
2019-11-30;14;41,4;1008,297639;27,348889;3,6;1,063472;
2019-12-31;25;222,6;1008,716263;26,614516;4,3;,992608;
2020-01-31;31;340,6;1010,596237;25,902957;3,5;,900941;
2020-02-29;28;415;1010,744684;25,671839;3,4;,881466;
2020-03-31;28;286,6;1010,538307;26,126882;3,1;,922581;
2020-04-30;19;null;null;26,21557;3,9;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;6;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

