Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2008-06-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;null;null;null;null;null;
2008-07-31;12;75;1011,698925;27,643817;6,4;1,560753;
2008-08-31;9;39,6;1009,991532;28,022715;4,4;1,892473;
2008-09-30;15;133,2;1010,530694;27,884028;5,5;1,927778;
2008-10-31;10;39;1009,590323;28,361425;5,1;2,011425;
2008-11-30;9;72,2;1008,428889;28,28625;5,6;2,003194;
2008-12-31;17;160;1008,46371;27,540457;4,4;1,508871;
2009-01-31;25;291;1009,769945;26,785799;5,8;1,529915;
2009-02-28;26;334;1009,368737;26,300757;4,8;1,451275;
2009-03-31;28;593,6;1009,425941;26,245968;5,3;1,404167;
2009-04-30;24;399,4;1010,729028;26,328889;4,4;1,385556;
2009-05-31;24;232,6;1010,973656;26,257661;4,5;1,169624;
2009-06-30;1;,4;1011,557917;26,868611;6,3;1,296111;
2009-07-31;1;,6;1011,614978;27,648188;5,7;1,825485;
2009-08-31;0;0;1010,867876;28,28172;5,8;2,033737;
2009-09-30;0;0;1011,104861;28,534444;4,8;2,379028;
2009-10-31;null;null;1009,442708;28,855035;4,5;2,296181;
2009-11-30;null;null;null;null;4,5;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;0;0;1009,512222;27,313333;5,2;1,232083;
2010-05-31;0;0;1009,865054;27,762097;6,1;1,273521;
2010-06-30;0;0;1011,600278;27,830556;4,9;1,354445;
2010-07-31;0;0;1011,138172;27,926882;7,8;1,412634;
2010-08-31;0;0;1011,067204;28,108333;5,3;1,731989;
2010-09-30;0;0;1009,73;28,276389;4,7;1,886389;
2010-10-31;0;0;1009,322446;28,569893;4,5;1,906989;
2010-11-30;0;0;1007,916945;28,312361;5,1;1,893889;
2010-12-31;0;0;1007,530914;27,341667;4,8;1,531048;
2011-01-31;null;null;1008,602957;25,929436;5,5;1,341532;
2011-02-28;null;null;1009,50253;25,988542;7,4;1,370685;
2011-03-31;null;null;1009,327881;26,299177;5;1,362598;
2011-04-30;null;null;1009,859444;26,333472;4,6;1,167639;
2011-05-31;null;null;1009,73915;26,998717;6,4;1,243182;
2011-06-30;null;null;1010,896263;27,718434;6,1;1,623283;
2011-07-31;null;null;1010,990837;27,538569;4,3;1,549755;
2011-08-31;null;null;1011,273387;28,091263;4,3;1,922446;
2011-09-30;null;null;1011,051389;28,250278;5,1;2,025556;
2011-10-31;7;61,2;1008,488172;28,415188;5,4;2,052495;
2011-11-30;12;null;1008,759239;28,111232;4,5;1,931884;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;15;null;null;25,67657;5,5;null;
2012-03-31;29;285;1010,116129;26,552554;5,4;1,552957;
2012-04-30;26;383,6;1009,712313;26,973128;4,5;1,468569;
2012-05-31;26;179,4;1010,606259;27,485086;5,9;1,705265;
2012-06-30;17;97,2;1011,88817;27,447917;4,2;1,629179;
2012-07-31;16;86,6;1011,402823;27,55336;4,8;1,539919;
2012-08-31;7;55;1011,953161;27,597317;4,1;1,599709;
2012-09-30;7;16,2;1011,832639;28,040417;4,2;2,040278;
2012-10-31;3;50,2;1009,359677;28,386425;4,4;2,146102;
2012-11-30;2;3;1008,651667;28,832361;4,6;2,167639;
2012-12-31;20;314,6;1008,598387;27,762634;5,7;1,86922;
2013-01-31;26;284,2;1009,945699;27,048282;5,6;1,458795;
2013-02-28;23;378,6;1009,131095;26,684918;6,5;1,573551;
2013-03-31;28;374,2;1009,950917;27,013793;null;null;
2013-04-30;27;435,8;1010,444167;27,120417;null;null;
2013-05-31;25;368;1010,811705;27,296085;null;null;
2013-06-30;21;192,6;1011,300606;27,555341;null;null;
2013-07-31;20;152,4;1012,196055;27,034601;null;null;
2013-08-31;15;62,4;1010,83078;27,826613;null;null;
2013-09-30;7;51,2;1010,668835;28,15131;null;null;
2013-10-31;12;41,8;1009,986425;28,526344;null;null;
2013-11-30;11;172,4;1008,449444;27,912639;null;null;
2013-12-31;16;45,2;1009,157258;28,137366;4,5;2,03293;
2014-01-31;24;444,4;1010,223118;26,664651;5,5;1,683468;
2014-02-28;26;335,6;1009,443452;26,351786;5,3;1,537054;
2014-03-31;27;423,2;1010,230511;26,576479;4,7;1,599328;
2014-04-30;27;379,2;1010,603213;26,946039;6,4;1,52221;
2014-05-31;28;340,2;1010,686559;27,142876;5,1;1,474697;
2014-06-30;22;168,4;1011,208919;27,788665;5;1,719137;
2014-07-31;21;172,4;1013,095296;27,48293;4,8;null;
2014-08-31;9;58;1011,939399;27,922727;4,9;null;
2014-09-30;8;40,8;1011,280417;28,082778;4,5;null;
2014-10-31;null;null;null;28,693371;4,9;null;
2014-11-30;4;null;1009,250898;28,736167;4,8;null;
2014-12-31;10;90,2;1009,653091;28,317473;null;null;
2015-01-31;7;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;25;233,6;1011,119792;27,494494;5,6;1,602083;
2015-06-30;21;169,8;1012,215833;27,657778;5,5;1,765972;
2015-07-31;17;130,6;1011,961962;27,834677;5,8;1,902688;
