Nome: BURITICUPU
Codigo Estacao: A238
Latitude: -4.32055554
Longitude: -46.44944444
Altitude: 174.91
Situacao: Operante
Data Inicial: 2008-09-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;null;null;28,287939;7;null;
2008-10-31;2;1,2;989,957124;28,530108;8,1;2,963575;
2008-11-30;5;5,6;988,855417;28,067639;7,6;2,790441;
2008-12-31;12;217,4;988,952957;27,098253;8;2,271774;
2009-01-31;17;150,6;990,198656;26,048656;6,7;2,050806;
2009-02-28;24;383;989,710417;25,242735;8,8;1,989367;
2009-03-31;27;322,2;989,762366;25,238172;8,8;1,672715;
2009-04-30;29;427,6;991,137778;24,864861;6,9;1,681528;
2009-05-31;27;370,6;991,313038;25,14207;6,8;1,564651;
2009-06-30;9;21,6;992,107083;25,537778;6,4;1,886111;
2009-07-31;0;0;992,326747;25,698656;6,1;2,103226;
2009-08-31;0;0;991,594489;26,504032;7,4;2,55914;
2009-09-30;0;0;991,498194;27,561528;7,5;2,895278;
2009-10-31;null;0;989,611065;27,518103;7,5;2,568611;
2009-11-30;0;0;988,868194;27,746528;8,5;2,796667;
2009-12-31;0;0;989,679839;27,243683;12,1;2,739446;
2010-01-31;null;0;990,078687;26,22;9,5;2,296486;
2010-02-28;0;0;989,278274;26,667411;8;2,43244;
2010-03-31;0;0;989,914785;27,234812;6,8;2,200672;
2010-04-30;0;0;989,961806;26,359722;6,2;1,666806;
2010-05-31;0;0;990,376747;26,592204;6,2;1,572849;
2010-06-30;0;0;992,335417;25,772222;7,2;1,973889;
2010-07-31;0;0;991,97043;26,053763;7,9;2,266129;
2010-08-31;null;0;991,852047;26,75276;7,5;2,456353;
2010-09-30;0;0;990,196667;28,338472;8,3;2,898611;
2010-10-31;0;0;989,780376;28,173387;7,7;2,617204;
2010-11-30;0;0;988,4025;27,46125;7,6;2,252361;
2010-12-31;0;0;987,998387;26,613306;7,1;2,054435;
2011-01-31;null;null;988,910753;25,342204;8,7;1,906317;
2011-02-28;11;228,8;989,9217;24,889803;9,1;1,883327;
2011-03-31;22;269,4;989,938806;25,381101;7,7;1,727477;
2011-04-30;23;341,6;990,1275;25,308194;9,8;1,605555;
2011-05-31;20;207;990,171505;25,882258;6,7;1,77621;
2011-06-30;4;21,8;991,470139;25,659167;7,9;2,034722;
2011-07-31;6;42,8;991,642742;25,161559;7,6;2,056048;
2011-08-31;4;30,4;991,808737;26,297715;8,5;2,369086;
2011-09-30;0;0;991,483056;27,680833;7,8;2,740833;
2011-10-31;6;68,2;988,977823;27,184005;8,2;2,570027;
2011-11-30;8;72,8;989,098472;26,733056;7,2;2,225972;
2011-12-31;4;24,6;989,137634;27,375672;8,4;2,543145;
2012-01-31;18;183,6;989,84879;25,925134;10,2;2,387634;
2012-02-29;17;136,4;989,696983;25,226868;10,2;2,104885;
2012-03-31;24;236,6;990,366129;25,303091;9,4;1,910484;
2012-04-30;17;91;990,019306;26,085556;7,8;1,837917;
2012-05-31;10;14,8;991,022446;26,204167;9,6;1,93078;
2012-06-30;11;27,6;992,276111;25,862639;6,1;1,899444;
2012-07-31;3;5,6;991,834812;26,415726;5,9;2,191532;
2012-08-31;1;,2;992,465361;27,116945;10,9;2,50528;
2012-09-30;1;8,2;992,106528;28,12;7,9;2,99375;
2012-10-31;0;0;989,594086;28,383333;7,4;2,859005;
2012-11-30;7;41,4;989,190417;28,033611;7;2,589722;
2012-12-31;9;80,2;989,050941;27,145699;8,9;2,402285;
2013-01-31;15;111,6;990,28078;26,917473;7,1;2,327957;
2013-02-28;19;136,4;989,415903;26,112267;9,3;2,280687;
2013-03-31;20;184;990,2525;26,153592;9;2,017139;
2013-04-30;23;165,6;990,747917;26,305694;6,3;1,692083;
2013-05-31;17;81,2;991,30977;25,70273;6,2;1,665517;
2013-06-30;9;22;991,884444;25,91928;5,6;1,860556;
2013-07-31;5;16,6;992,684894;25,940661;6,8;2,063119;
2013-08-31;2;,6;991,340323;27,434812;5,6;2,424328;
2013-09-30;2;,8;990,988194;28,338611;8,7;3,009861;
2013-10-31;2;7,4;990,413038;28,174731;7,2;2,885887;
2013-11-30;14;133;988,937917;27,191667;6,5;2,412361;
2013-12-31;8;46,2;989,71586;26,845833;7,6;2,180511;
2014-01-31;15;142,6;990,686828;25,784812;8,3;2,276075;
2014-02-28;26;217,8;989,844643;25,33497;6,7;1,933036;
2014-03-31;23;186,2;990,623522;25,51129;7,1;1,886559;
2014-04-30;19;12,4;991,038472;25,525139;7,9;1,663611;
2014-05-31;7;3,6;991,16035;25,719624;6,1;1,649059;
2014-06-30;0;0;991,842361;25,802917;9,2;1,897083;
2014-07-31;0;0;993,70336;25,890726;5,8;2,180914;
2014-08-31;null;null;992,526479;26,703898;7,9;2,536425;
2014-09-30;null;null;991,715139;27,421389;7,5;2,891528;
2014-10-31;null;null;990,518414;28,311962;9,6;2,808333;
2014-11-30;null;null;989,715556;28,015139;6,7;2,745278;
2014-12-31;null;null;990,180108;27,619086;9,2;2,727285;
2015-01-31;5;1,6;991,243268;26,577577;9;2,464329;
2015-02-28;null;null;991,087798;25,668006;7,1;2,159375;
2015-03-31;null;null;990,866398;25,512634;8,1;1,897043;
2015-04-30;10;29,8;991,164861;25,866528;7;1,730208;
2015-05-31;14;122;991,564247;25,86586;6,3;1,702016;
2015-06-30;3;6,8;992,886667;25,981111;7,3;1,962917;
2015-07-31;5;22,4;992,635618;26,276075;7,4;2,236425;
2015-08-31;0;0;991,993952;27,09086;7,5;2,662366;
2015-09-30;0;0;991,386667;28,025972;7,4;3,031111;
