Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2009-06-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-06-30;null;null;null;null;null;null;
2009-07-31;5;43,6;999,213306;25,918145;4,4;1,045564;
2009-08-31;1;2,4;998,360081;26,416129;3,6;1,126075;
2009-09-30;4;12,4;998,372361;27,298056;4,8;1,372361;
2009-10-31;9;76,2;996,588218;26,875862;6,9;1,232902;
2009-11-30;8;87;995,799306;26,940139;3,5;1,124722;
2009-12-31;21;187,2;996,997581;25,979704;4,3;1,115054;
2010-01-31;14;253,6;997,281818;25,836376;3,4;1,138013;
2010-02-28;19;null;996,467628;26,151603;5,1;1,162019;
2010-03-31;7;null;null;null;4,1;null;
2010-04-30;16;null;997,316667;26,640833;3,8;1,103783;
2010-05-31;16;94,4;997,436156;26,891263;5,1;,991667;
2010-06-30;9;32,4;999,372917;26,370556;4,1;1,027778;
2010-07-31;1;,2;998,87836;26,200941;4,2;1,076882;
2010-08-31;3;14;998,668593;26,419487;4,1;1,191443;
2010-09-30;1;11,4;997,012222;27,977917;4,6;1,385833;
2010-10-31;11;null;997,230035;27,416667;4,6;1,39566;
2010-11-30;null;null;null;null;3,1;null;
2010-12-31;3;null;null;null;3,6;null;
2011-01-31;27;375,6;996,242742;25,15793;3,6;1,156586;
2011-02-28;24;257,6;997,16756;25,34256;5,3;1,209375;
2011-03-31;22;368,2;996,905146;25,583714;4,2;1,216317;
2011-04-30;29;322,6;997,459306;25,536389;3,9;1,068472;
2011-05-31;19;172,6;997,47164;26,107124;4,3;1,016801;
2011-06-30;null;null;998,613611;26,0725;3,9;1,036389;
2011-07-31;null;null;998,70578;25,59328;5,1;1,106855;
2011-08-31;null;null;998,687769;26,63629;4,5;1,156183;
2011-09-30;null;0;998,326111;27,6875;3,8;1,355833;
2011-10-31;12;44,2;996,031586;27,03629;3,9;1,307796;
2011-11-30;17;207,6;996,364028;26,081111;4,6;1,18625;
2011-12-31;13;65,4;996,352285;26,42043;4,1;1,154301;
2012-01-31;26;279,4;997,314651;25,09879;4,6;1,105914;
2012-02-29;19;276;997,114799;25,068535;5,9;1,121264;
2012-03-31;26;236;997,747715;25,689516;4,8;1,200672;
2012-04-30;15;137,6;997,303472;26,376667;4;1,059167;
2012-05-31;17;76,6;998,24879;26,161022;3,6;1,036559;
2012-06-30;9;38,6;999,526111;25,582361;4,5;,97625;
2012-07-31;2;20,8;999,022312;25,572715;3,7;1,024328;
2012-08-31;1;,2;999,48053;26,06875;4,6;1,198253;
2012-09-30;3;20,4;999,075278;27,459583;4,9;1,436528;
2012-10-31;6;17;996,742473;27,377285;4,4;1,426613;
2012-11-30;11;57,8;996,28625;27,025278;4,2;1,174028;
2012-12-31;16;139,8;996,352419;26,036021;3,7;1,127688;
2013-01-31;22;114,4;997,709005;25,692204;5,3;1,171505;
2013-02-28;20;97;996,799554;25,868304;4,4;1,143899;
2013-03-31;17;119;997,543806;26,351437;4,1;1,174444;
2013-04-30;21;112,8;998,09375;26,213889;3,3;1,083472;
2013-05-31;10;53,2;998,430914;26,378091;3,8;1,05121;
2013-06-30;null;null;998,958611;25,982992;3,7;1,016591;
2013-07-31;6;4;999,701613;26,108199;3,9;1,101478;
2013-08-31;3;2,8;998,305914;26,690054;4,1;1,23965;
2013-09-30;7;27,6;998,08;26,982361;4,5;1,392917;
2013-10-31;5;54;997,50672;26,841801;4,9;1,276344;
2013-11-30;7;21,6;996,134861;26,127917;3,7;1,178472;
2013-12-31;11;24,4;996,724462;26,344758;4,1;1,089113;
2014-01-31;null;null;997,876478;25,494489;3,8;1,173522;
2014-02-28;2;null;997,095238;25,399554;4,6;1,147619;
2014-03-31;null;null;997,821102;25,695161;5,2;1,215188;
2014-04-30;null;null;998,239444;26,001111;4,2;1,155;
2014-05-31;null;null;998,216936;26,446909;6,3;1,07836;
2014-06-30;null;0;998,839861;26,280694;3,8;1,026389;
2014-07-31;0;0;1000,593683;26,109812;3,8;1,073521;
2014-08-31;null;null;999,387903;26,49543;3,8;1,212769;
2014-09-30;null;null;998,619861;26,672361;5,3;1,448611;
2014-10-31;2;42,6;997,68172;26,727419;4,2;1,398656;
2014-11-30;12;103;996,812083;26,611528;6,5;1,305694;
2014-12-31;16;367,4;997,375134;26,008468;3,5;1,25672;
2015-01-31;11;null;998,502057;25,556306;6,1;1,331773;
2015-02-28;22;246,2;998,334077;25,328869;4,8;1,265923;
2015-03-31;24;414,6;998,09879;25,66707;5,6;1,227823;
2015-04-30;17;129,8;998,333194;26,301111;3,6;1,247222;
2015-05-31;18;58,8;998,659812;26,472312;3,7;1,135081;
2015-06-30;9;10,6;999,875139;26,318472;3,8;1,06;
2015-07-31;10;60;999,600806;26,242204;4,8;1,216667;
2015-08-31;5;16,8;998,820699;26,750941;4,2;1,342473;
2015-09-30;2;9,8;998,175833;27,715139;6,1;1,671945;
2015-10-31;5;10,8;997,604704;28,461828;7,2;1,704301;
2015-11-30;null;null;996,564306;27,570972;5,2;1,435972;
2015-12-31;null;null;997,852823;26,923521;5,4;1,303226;
2016-01-31;13;4,8;998,116129;26,142339;3,7;1,297984;
2016-02-29;12;147,4;997,704598;27,0125;4,8;1,323851;
2016-03-31;11;null;null;26,558088;6,4;null;
2016-04-30;5;null;null;27,185772;7,7;null;
2016-05-31;12;94;999,20336;26,73172;4,9;1,08293;
2016-06-30;4;24,6;1000,418744;26,332053;5,2;1,134541;
2016-07-31;10;14,8;999,616593;26,319895;4,2;1,141451;
2016-08-31;2;null;999,212824;26,987884;4,5;1,454309;
2016-09-30;1;null;999,046467;null;6,3;1,584378;
2016-10-31;1;null;null;null;4,2;null;
2016-11-30;2;null;null;null;4,7;null;
2016-12-31;16;135,6;996,982796;26,056183;4,6;1,223387;
2017-01-31;20;267,2;997,806855;25,662634;6,5;1,300807;
2017-02-28;23;487,2;997,87753;25,293452;5,2;1,254762;
2017-03-31;22;359,2;997,885081;25,804032;5,4;1,276075;
2017-04-30;18;265,6;997,844167;26,356389;5,3;1,178889;
2017-05-31;10;114;998,320968;26,802016;4,5;1,157393;
2017-06-30;2;8,2;998,973889;26,341111;4,3;1,117778;
2017-07-31;3;12,8;1000,902688;25,919892;4,6;1,239382;
2017-08-31;null;null;null;27,398529;5,9;null;
2017-09-30;4;6,6;998,182222;28,011528;5;1,454167;
2017-10-31;6;41,4;996,736425;28,141936;5,1;1,658065;
2017-11-30;14;382,2;996,235417;26,52875;5,9;1,258333;
2017-12-31;19;220,8;996,823387;25,97957;5,3;1,204301;
2018-01-31;15;185;997,389651;25,771237;5;1,284946;
2018-02-28;25;427,6;997,669196;25,208482;7,2;1,288839;
2018-03-31;16;null;997,693841;26,02822;5,4;1,265761;
2018-04-30;null;null;null;null;null;null;
