Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2008-09-06
Data Final: 2018-06-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;5;null;null;27,068182;6,9;null;
2008-10-31;9;33,6;1008,501747;27,44086;6,6;2,597043;
2008-11-30;3;9;1007,263883;27,427186;7;2,525507;
2008-12-31;17;160,2;1007,248118;26,249194;7,2;1,98871;
2009-01-31;28;362;1008,660233;25,308193;6,9;1,987044;
2009-02-28;26;602,2;1008,1824;24,842776;8;1,927057;
2009-03-31;27;330,4;1008,111425;25,521909;7,1;1,87104;
2009-04-30;20;142,6;1009,366389;25,814583;7,2;2,188128;
2009-05-31;29;508,6;1009,608333;25,363844;7,4;1,908853;
2009-06-30;28;298,2;1010,322083;25,162361;6,5;1,51776;
2009-07-31;16;68,4;1010,338575;25,926478;6,5;1,716065;
2009-08-31;10;63,4;1009,712097;26,568817;6,7;2,029032;
2009-09-30;6;7,6;1010,099028;26,910556;6,8;2,541667;
2009-10-31;3;32,2;1007,945402;27,349856;8,7;2,529885;
2009-11-30;2;2,6;1007,330278;27,351806;9;2,657083;
2009-12-31;29;462,2;1008,264113;25,506989;7,6;2,02164;
2010-01-31;30;496,4;1008,512366;25,416129;7,7;2,075281;
2010-02-28;25;479,4;1007,698809;26,091964;7,4;2,347917;
2010-03-31;29;374,2;1008,293011;26,477688;8,3;2,163979;
2010-04-30;26;394,8;1008,266806;25,962222;6;1,554167;
2010-05-31;26;293,8;1008,642473;26,132661;6,1;1,514569;
2010-06-30;23;175,8;1010,399028;25,907778;6,7;1,570966;
2010-07-31;26;179,2;1010,002688;25,680511;6,4;1,570833;
2010-08-31;15;111,4;1009,961232;26,402114;6,8;1,865507;
2010-09-30;11;33,6;1008,612639;27,248056;6,9;2,23125;
2010-10-31;5;52;1008,062097;27,388306;7,1;2,341398;
2010-11-30;11;67,6;1006,724861;26,757222;6,6;2,09413;
2010-12-31;23;221,8;1006,324462;25,575269;7,4;1,685081;
2011-01-31;29;313,4;1007,429032;24,719355;6,9;1,852285;
2011-02-28;27;692,2;1008,298958;24,750446;8,2;1,78006;
2011-03-31;26;359,4;1007,985201;25,014668;7,9;1,785393;
2011-04-30;25;546,8;1008,592083;25,146945;7;1,760888;
2011-05-31;31;463,8;1008,447849;25,457124;6,1;1,429839;
2011-06-30;25;77,8;1009,62625;25,685;6,5;1,62625;
2011-07-31;20;23,2;1009,715726;25,523253;7,4;1,636828;
2011-08-31;16;5;1010,087903;26,316129;7,6;1,967473;
2011-09-30;9;24,2;1009,921806;26,929306;7,7;2,218611;
2011-10-31;12;197,2;1007,223971;26,954938;6,3;2,079362;
2011-11-30;8;63,4;1007,267917;26,690833;6,6;2,142083;
2011-12-31;15;71,2;1007,688172;26,315591;8,3;2,256183;
2012-01-31;31;544,2;1008,39422;24,741667;6,7;1,842742;
2012-02-29;24;600,2;1008,233621;24,715517;9,9;1,855603;
2012-03-31;30;303,4;1008,915387;25,188973;7,3;1,982644;
2012-04-30;30;209;1008,548056;25,375139;7,2;1,747361;
2012-05-31;27;318;1009,330376;25,687769;8;1,742876;
2012-06-30;23;177,2;1010,570694;25,6875;6,8;1,723472;
2012-07-31;22;123,8;1010,102823;25,975403;5,5;1,775806;
2012-08-31;16;124,4;1010,728053;26,261667;5,8;1,939324;
2012-09-30;11;8,6;1010,668056;26,768194;7,1;2,263611;
2012-10-31;6;3,4;1008,219355;27,054839;9,6;2,317204;
2012-11-30;7;22,2;1007,493611;27,296528;6,3;2,301111;
2012-12-31;20;171,6;1007,334543;26,506989;6,8;2,126075;
2013-01-31;27;413,6;1009,024462;25,594489;6,9;2,227419;
2013-02-28;24;163;1008,00372;25,273958;9;1,940923;
2013-03-31;23;78,6;1008,778139;25,660058;6,7;2,0855;
2013-04-30;26;116,8;1009,170278;25,852083;6,5;1,875833;
2013-05-31;20;39;1009,58629;25,479704;5,8;1,519489;
2013-06-30;27;45;1009,983093;25,672702;6,3;1,647904;
2013-07-31;25;50;1010,884677;25,533871;7,2;1,622043;
2013-08-31;22;12;1009,602957;26,382527;7,2;1,963978;
2013-09-30;7;4;1009,416667;27,196528;7;2,413472;
