Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Operante
Data Inicial: 2011-04-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;236,6;1001,679301;25,595968;9,1;1,690726;
2011-06-30;null;134,6;1002,998611;25,22875;6,1;1,748134;
2011-07-31;null;122,8;1003,037769;25,317876;6,1;1,840457;
2011-08-31;null;101;1003,418011;25,774059;7;2,165054;
2011-09-30;null;54,6;1003,162361;26,107639;6,1;2,438056;
2011-10-31;null;130,2;1000,555645;26,298656;6,9;2,401882;
2011-11-30;null;1,6;1000,468333;26,698194;5,7;2,475278;
2011-12-31;null;23,2;1000,632393;27,024328;6,6;2,798253;
2012-01-31;null;102;1001,202285;26,281183;6,8;2,445833;
2012-02-29;null;338;1001,171408;25,009195;6,9;1,915374;
2012-03-31;null;256,8;1001,959812;24,915457;6,5;1,801075;
2012-04-30;null;224,4;1001,584306;25,443611;6,6;1,776528;
2012-05-31;null;191,2;1002,578495;25,369624;7,6;1,891263;
2012-06-30;null;152,2;1003,876528;25,169444;6,7;1,876528;
2012-07-31;null;156,6;1003,41707;25,28871;5,7;1,999328;
2012-08-31;null;62,2;1004,053648;25,515556;6;2,272811;
2012-09-30;null;36,6;1003,898472;25,966667;5,9;2,512639;
2012-10-31;null;16,2;1001,372446;26,527957;6,2;2,721371;
2012-11-30;null;38,6;1000,729167;27,095278;6,7;2,642083;
2012-12-31;null;101,2;1000,450403;26,813844;9,1;2,400672;
2013-01-31;null;118,8;1001,754436;26,12957;6,4;2,089516;
2013-02-28;null;270,4;1000,883185;25,731845;7,2;1,958333;
2013-03-31;null;431,6;1001,748556;25,592385;7;1,794389;
2013-04-30;null;496,6;1002,334444;25,548611;6,3;1,63;
2013-05-31;null;284;1002,70578;25,491263;5,6;1,601747;
2013-06-30;null;139;1003,260922;25,704369;8;1,755947;
2013-07-31;null;255,4;1004,2;25,181048;6,5;1,778495;
2013-08-31;null;182,6;1002,908737;25,753091;6;2,107527;
2013-09-30;null;110,2;1002,689444;25,885417;6,1;2,432083;
2013-10-31;null;33;1002,026882;26,328091;6;2,531855;
2013-11-30;null;120,2;1000,357778;26,146528;7,1;2,297778;
2013-12-31;null;54;1000,986944;26,629167;6,3;2,443333;
2014-01-31;null;null;null;null;5,2;null;
2014-02-28;null;null;null;null;6;null;
2014-03-31;null;386,2;1002,068683;25,169086;7;1,848253;
2014-04-30;null;116,8;1002,482778;25,215417;7,6;1,640972;
2014-05-31;null;null;1002,610618;25,46371;6,2;1,568823;
2014-06-30;null;null;1003,217361;25,707083;8,4;1,769306;
2014-07-31;null;null;1005,134677;25,404032;6;1,902285;
2014-08-31;null;13,6;1004,065322;25,577501;5,7;2,068683;
2014-09-30;null;40,2;1003,31625;25,935833;5,8;2,332639;
2014-10-31;null;46,2;1002,143145;26,510618;8,1;2,410349;
2014-11-30;null;20,6;1001,229583;27,048889;6,1;2,525036;
2014-12-31;null;78,2;1001,577016;26,775538;6,3;2,491936;
2015-01-31;null;180,2;1002,603436;26,017724;5,2;2,007743;
2015-02-28;null;20;1002,389198;25,556101;6,2;1,840923;
2015-03-31;null;null;1002,292473;25,246909;6,2;1,696505;
2015-04-30;null;122,6;1002,645972;25,234306;5,8;1,643611;
2015-05-31;null;null;1002,897984;25,80578;6,2;1,698522;
2015-06-30;null;265,6;1004,282222;25,45;6,4;1,762778;
2015-07-31;null;64;1004,056183;25,519624;7,1;1,999059;
2015-08-31;null;1;1003,506586;26,059946;5,5;2,212231;
2015-09-30;null;4,4;1003,034028;26,697917;6,3;2,553889;
2015-10-31;null;16,6;1002,485215;27,26371;6;2,686022;
2015-11-30;null;,8;1001,110972;27,728056;5,9;2,734722;
2015-12-31;null;35;1002,214278;27,753161;8,1;2,701806;
2016-01-31;null;null;null;null;4,5;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;302,8;1002,92379;25,952016;6,4;1,703226;
2016-04-30;null;176,6;1001,771111;26,475;5,8;1,746389;
2016-05-31;null;129,8;1003,52379;26,443817;5,4;1,739697;
2016-06-30;null;null;1004,729306;25,754306;6,7;1,777361;
2016-07-31;null;null;1004,141936;25,690995;6,8;1,807258;
2016-08-31;null;4,8;1003,82379;26,256855;5,4;2,227419;
2016-09-30;null;60;1003,42875;26,582778;7,7;2,278333;
2016-10-31;null;25,4;1001,361197;27,005552;5,8;2,370378;
2016-11-30;null;15,6;1000,470278;27,537222;5,7;2,520694;
2016-12-31;null;158,6;1001,064382;26,259812;6,4;1,991667;
2017-01-31;null;155,8;1001,909274;25,234946;5,5;1,692742;
2017-02-28;null;295,6;1001,917113;25,250893;5,2;1,618006;
