Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2013-12-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-12-31;9;null;null;27,136944;5,9;null;
2014-01-31;18;195,8;1009,454973;26,164651;5,3;2,049328;
2014-02-28;25;466,2;1008,687798;25,536012;5;1,747166;
2014-03-31;22;329,8;1009,485081;25,749597;6,5;1,75793;
2014-04-30;24;341,4;1009,792361;26,258056;6,1;1,785972;
2014-05-31;26;372,8;1009,926479;26,179435;4,1;1,563552;
2014-06-30;24;394,8;1010,396806;26,800139;5,2;1,762959;
2014-07-31;19;151,2;1012,225538;27,163441;6;1,991877;
2014-08-31;9;15,2;1011,101747;27,950672;7,4;2,377419;
2014-09-30;4;41,2;1010,464167;28,124028;5,9;2,753333;
2014-10-31;3;38,8;1009,33078;28,436425;6;2,779436;
2014-11-30;3;54,2;1008,439583;28,287778;5,5;2,682639;
2014-12-31;5;21;1008,885618;27,922581;6,4;2,593145;
2015-01-31;19;138,6;1009,928577;27,129453;5,7;2,299696;
2015-02-28;12;null;1009,771589;26,15089;6,1;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;8;42;1010,48006;28,189286;5,9;2,435714;
2015-09-30;0;0;1010,178472;28,521528;5,1;2,739722;
2015-10-31;1;2;1009,700538;28,662634;5,8;2,938172;
2015-11-30;0;0;1008,417222;28,762361;5,6;2,939444;
2015-12-31;8;17,6;1009,710753;28,270833;6,4;2,803226;
2016-01-31;18;111,2;1009,875269;27,035618;6,4;2,102688;
2016-02-29;28;346,8;1009,531897;26,701006;5,4;2,083621;
2016-03-31;23;null;1010,218486;26,685256;5,8;1,711355;
2016-04-30;5;null;null;null;5,3;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;9;null;null;27,114683;5,4;null;
