Nome: SANTA MARIA DAS BARREIRAS
Codigo Estacao: A256
Latitude: -8.72972221
Longitude: -49.85638888
Altitude: 165
Situacao: Operante
Data Inicial: 2020-12-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-12-31;null;null;null;null;null;null;
2021-01-31;10;null;null;null;null;null;
2021-02-28;23;306,4;988,993304;25,292262;7,2;1,644643;
2021-03-31;24;341,2;989,341263;25,694624;8,6;1,625;
2021-04-30;22;294;989,315139;26,058472;5,9;1,558056;
2021-05-31;5;65,4;990,610215;26,863306;6,2;1,611559;
2021-06-30;0;0;990,988195;27,070833;6,7;1,900417;
2021-07-31;0;0;992,029704;26,789247;8,1;2,284409;
2021-08-31;0;0;990,470161;28,472984;7,9;2,42043;
2021-09-30;8;88,8;989,593535;28,333477;7,7;1,890661;
2021-10-31;18;130;988,852151;26,754973;11,5;1,744489;
2021-11-30;25;306;988,46;25,774583;10,9;1,728472;
2021-12-31;13;null;null;26,091944;7,3;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;14;151,4;988,910554;26,941368;6;1,667525;
2022-05-31;null;null;990,818;26,907884;6,4;1,887513;
2022-06-30;null;null;990,481202;26,971984;6,6;1,959289;
2022-07-31;null;null;991,061828;27,353898;8,1;2,380645;
2022-08-31;null;null;990,187769;28,636156;7,9;2,535887;
2022-09-30;null;null;989,012639;29,422083;11,6;2,226389;
2022-10-31;null;null;null;null;8,5;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;4,1;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;8;47,6;990,335957;27,271914;8,1;1,670934;
2023-06-30;1;1,2;991,634306;27,423611;5,8;2,031111;
2023-07-31;0;0;991,790726;27,431317;7,4;2,14207;
2023-08-31;4;72,8;990,176478;28,920699;8,2;2,157392;
2023-09-30;6;47,6;989,054722;29,146528;10,2;1,964378;
2023-10-31;8;null;null;null;null;null;

