Nome: MACEIO
Codigo Estacao: A303
Latitude: -9.55111111
Longitude: -35.77027777
Altitude: 84.12
Situacao: Operante
Data Inicial: 2003-02-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;2;null;null;null;null;null;
2003-03-31;16;131,4;1002,509274;26,59422;7,3;2,344624;
2003-04-30;18;134;1003,149305;26,260695;6,5;2,183194;
2003-05-31;22;196,4;1004,135075;25,316725;5,9;2,10717;
2003-06-30;24;263;1005,474167;23,813056;5,8;1,904583;
2003-07-31;30;243,6;1007,522715;23,510753;6,9;2,296505;
2003-08-31;28;168,6;1007,349059;23,470296;6;2,192473;
2003-09-30;22;148,8;1006,454583;24,138611;7;2,645417;
2003-10-31;19;86,2;1004,590323;24,943414;6,9;2,798253;
2003-11-30;15;73,6;1002,862639;25,765972;6,9;2,997917;
2003-12-31;13;21,2;1003,090323;26,266398;7,6;3,240726;
2004-01-31;22;262,8;1001,667871;25,863499;7,2;2,650625;
2004-02-29;17;147,8;1002,841604;25,970833;6,4;2,434314;
2004-03-31;20;166,6;1002,487097;26,127016;6,3;2,450807;
2004-04-30;26;145,8;1003,100242;25,686878;6,5;2,139571;
2004-05-31;26;191;1004,48871;25,081048;5,5;2,04207;
2004-06-30;28;776;1007,272138;23,760984;6,2;2,234795;
2004-07-31;28;332,6;1006,507527;23,300777;6,3;2,378366;
2004-08-31;25;224;1007,808374;23,632077;6;2,220097;
2004-09-30;22;226;1006,540205;24,599034;6,1;2,572452;
2004-10-31;16;38,2;1004,301186;25,987377;7,4;2,964756;
2004-11-30;13;20,4;1003,202761;27,347671;7,9;3,281334;
2004-12-31;5;15;1002,739505;28,123613;7,8;3,345374;
2005-01-31;6;16,8;1001,727164;28,804824;8,4;3,378228;
2005-02-28;17;null;1001,63188;28,682175;7,5;3,138433;
2005-03-31;12;79,6;1002,385653;28,848246;7,4;2,872765;
2005-04-30;25;145;1003,001733;27,44593;6,2;2,343931;
2005-05-31;24;null;1004,031092;25,359635;6,5;2,259414;
2005-06-30;27;329,6;1005,495439;24,516958;6,3;2,333579;
2005-07-31;25;178,2;1007,714473;23,844559;6,4;2,253921;
2005-08-31;29;211,2;1007,346309;23,791062;6,2;2,517131;
2005-09-30;13;null;1006,32899;24,340214;6,8;2,615059;
2005-10-31;11;31,8;1005,041707;25,113286;7,5;3,121105;
2005-11-30;7;14;1002,775556;25,992917;8,2;3,584306;
2005-12-31;15;92,8;1001,855511;25,94664;7,8;3,164651;
2006-01-31;14;null;1002,671239;25,79377;6,3;2,571171;
2006-02-28;null;null;null;null;7,8;null;
2006-03-31;5;null;null;null;7,5;null;
2006-04-30;15;null;1001,418318;26,352265;6,8;2,133264;
2006-05-31;10;null;null;null;5,3;null;
2006-06-30;3;null;null;null;null;null;
2006-07-31;null;null;null;null;null;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;18;135,2;1006,411933;24,080397;6,8;2,637219;
2006-10-31;14;70,2;1003,875777;25,127764;8;3,052209;
2006-11-30;12;58;1002,38221;25,724583;8,4;3,472892;
2006-12-31;6;null;null;26,210878;7,2;null;
2007-01-31;null;null;null;null;null;null;
2007-02-28;null;null;null;null;null;null;
2007-03-31;null;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;
2007-09-30;null;null;null;null;null;null;
2007-10-31;null;null;null;null;null;null;
2007-11-30;null;null;null;null;null;null;
2007-12-31;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;4;null;null;null;null;null;
2008-10-31;18;63,8;1005,960887;25,043548;6,6;3,141129;
2008-11-30;7;14,2;1003,39843;25,935543;7,6;3,628569;
2008-12-31;8;22,2;1002,52379;26,457796;8,7;3,493414;
2009-01-31;7;30,8;1003,259105;26,735759;8,2;3,339148;
2009-02-28;17;173,8;1002,556399;26,294792;6,8;2,709822;
2009-03-31;10;173,4;1001,897312;26,842339;6,9;2,80793;
2009-04-30;12;186,4;1002,983056;26,627083;6,8;2,343889;
2009-05-31;29;650,6;1003,80578;25,114247;6,2;2,029839;
2009-06-30;28;322,8;1006,048194;24,237361;7,2;2,104583;
2009-07-31;29;226,4;1007,000134;23,807392;6,2;2,158871;
2009-08-31;28;289,4;1006,920699;23,661694;7;2,375134;
2009-09-30;18;90;1006,8775;24,476528;6,4;2,72625;
2009-10-31;8;15,4;1003,576868;25,774713;8,4;3,580029;
2009-11-30;14;18;1003,595278;26,046945;7,6;3,426528;
2009-12-31;10;31,2;1003,504301;26,709274;8,2;3,319624;
2010-01-31;18;186,8;1003,577053;26,145809;6,6;2,575452;
2010-02-28;19;145,4;1003,143304;26,789137;6;2,527083;
2010-03-31;7;131,4;1002,721909;27,033199;7,5;2,57836;
2010-04-30;21;139,8;1003,005139;26,66625;8,2;2,239722;
2010-05-31;24;132,4;1003,896505;25,848925;5;1,915054;
2010-06-30;27;527,6;1006,531389;24,784444;7,8;2,536389;
2010-07-31;29;218,4;1007,194086;23,908602;6,8;2,544624;
2010-08-31;25;147,2;1008,18372;23,303164;7,4;2,654118;
2010-09-30;24;118;1006,825972;23,785278;7;2,917778;
2010-10-31;9;84;1004,248118;25,33293;7,5;2,99328;
2010-11-30;12;12,6;1002,835139;25,802083;6,9;3,366667;
2010-12-31;9;31,2;1001,310484;26,430376;7,2;3,422715;
2011-01-31;21;129,2;1001,867608;26,109677;6,6;2,729301;
2011-02-28;20;137,6;1002,521131;26,260566;6,8;2,550446;
2011-03-31;9;27,2;1001,81354;27,007943;6,8;2,588571;
2011-04-30;24;523,2;1002,669444;25,98125;6,1;2,381806;
2011-05-31;31;359,4;1004,076613;25,065323;6,5;2,341936;
2011-06-30;25;200,6;1006,021806;24,172639;6,2;2,217917;
2011-07-31;30;348,2;1006,836022;23,311694;6,8;2,53414;
2011-08-31;25;220,4;1007,545161;23,371102;6,8;2,308333;
2011-09-30;23;113,8;1008,071111;23,839306;6,4;2,69;
2011-10-31;19;53,4;1003,794892;25,061425;6,8;2,942608;
2011-11-30;15;117,6;1003,633889;25,421944;6,9;3,187083;
2011-12-31;9;16,2;1003,380511;26,225134;7,7;3,551301;
2012-01-31;19;176;1003,803898;25,871102;7,8;3,030914;
2012-02-29;16;68,8;1003,453736;26,069684;6,3;2,769828;
