Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2003-02-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;4;null;null;null;null;null;
2003-03-31;24;300,8;1005,690995;26,856855;8,7;3,925403;
2003-04-30;20;128,4;1006,247361;26,908333;8,5;4,043889;
2003-05-31;4;null;null;null;8,2;null;
2003-06-30;null;null;null;null;9,6;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;15;38,6;1008,927959;25,723001;10;5,633243;
2003-10-31;7;20,8;1007,268653;26,5647;9,6;6,056665;
2003-11-30;9;15,8;1006,092361;27,185139;8,7;5,711111;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;20;null;1005,972311;26,894078;8,8;4,22272;
2004-03-31;18;230;1005,480944;27,278012;9;4,571538;
2004-04-30;17;158,6;1005,968462;26,849531;8,8;4,373475;
2004-05-31;19;141;1007,400561;26,232258;9,4;4,040585;
2004-06-30;13;null;null;null;8,1;null;
2004-07-31;22;366;1008,892876;24,482796;9,2;4,243145;
2004-08-31;17;83,6;1010,156048;24,921505;9,9;5,106586;
2004-09-30;10;38,8;1008,750694;25,653055;10,7;6,056528;
2004-10-31;7;14;1007,403898;26,505914;9,5;5,877688;
2004-11-30;6;null;1006,634916;26,868329;10,4;5,861752;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;3;null;null;null;null;null;
2005-05-31;25;511,6;1006,524668;26,373432;8;3,899986;
2005-06-30;27;682,4;1008,069064;25,038116;9,8;3,899481;
2005-07-31;21;103,4;1010,008199;24,916398;9,6;4,799328;
