Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.81583333
Longitude: -38.53777777
Altitude: 29.55
Situacao: Operante
Data Inicial: 2003-02-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;10;null;null;null;null;null;
2003-03-31;30;546,6;1008,259058;26,015001;5,8;1,842491;
2003-04-30;23;509,4;1008,723194;26,216528;5,3;1,873889;
2003-05-31;10;null;null;null;6,4;null;
2003-06-30;null;null;null;null;5,5;null;
2003-07-31;null;null;null;null;6,7;null;
2003-08-31;3;null;null;null;6,8;null;
2003-09-30;3;9,4;1010,485972;27,138472;6,9;3,857222;
2003-10-31;6;4,2;1008,873118;27,565457;7,7;4,170699;
2003-11-30;12;19,4;1007,875399;27,765948;7,3;3,701914;
2003-12-31;10;null;null;27,877778;6,9;null;
2004-01-31;21;478;1007,490597;26,701262;5,9;2,313248;
2004-02-29;26;355,4;1008,079904;26,267891;6,4;2,057809;
2004-03-31;22;524,6;1007,445027;26,845833;6,1;2,345161;
2004-04-30;23;107,4;1007,974282;27,049354;5,7;2,336697;
2004-05-31;5;null;null;26,948333;6,2;null;
2004-06-30;null;null;null;null;6,6;null;
2004-07-31;null;null;null;null;6,1;null;
2004-08-31;2;null;null;null;6,4;null;
2004-09-30;10;24,2;1010,228194;26,949499;7,2;3,803708;
2004-10-31;5;2,8;1009,039999;27,273547;6,9;3,89074;
2004-11-30;4;1,6;1008,252967;27,53387;7,7;3,729737;
2004-12-31;6;26;1008,127453;27,668937;6,3;3,346199;
2005-01-31;11;10;1007,43765;28,051252;6,5;2,993227;
2005-02-28;15;99,6;1007,058987;28,318278;6,3;2,978927;
2005-03-31;19;184,2;1008,234981;27,640188;6,3;2,363739;
2005-04-30;19;193;1007,967216;27,597186;6,9;2,483472;
2005-05-31;13;null;null;26,899769;6;null;
2005-06-30;21;154,6;1010,054861;25,926806;7;2,47625;
2005-07-31;10;49,2;1011,610291;26,129897;6,1;2,804167;
2005-08-31;7;14,8;1011,129167;26,655645;7,3;3,701882;
2005-09-30;3;null;1010,615261;26,995401;7,3;3,745189;
2005-10-31;2;,8;1009,516128;27,372331;7,5;4,028292;
2005-11-30;3;,8;1007,733333;27,882639;7,7;3,836528;
2005-12-31;null;null;null;null;null;null;
2006-01-31;null;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;null;null;null;null;null;null;
2006-04-30;null;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;null;null;null;null;null;null;
2006-07-31;8;34,4;1011,232562;26,037037;6,5;2,684568;
2006-08-31;8;18,2;1010,83387;26,560205;6,8;3,301171;
2006-09-30;7;12,2;1010,736073;27,211465;7,3;3,678497;
2006-10-31;7;6,2;1008,901882;27,514919;7;3,676478;
2006-11-30;9;8;1007,926211;27,669484;7,7;3,539822;
2006-12-31;6;4,4;1008,868159;27,954413;6,3;3,301489;
2007-01-31;9;34,8;1008,424866;28,133737;6,9;3,168548;
2007-02-28;24;268,6;1008,525595;26,95;5,8;2,180208;
2007-03-31;29;268,4;1007,781159;26,865977;5,6;2,234794;
2007-04-30;25;291,6;1008,357083;26,948472;5,8;2,108889;
2007-05-31;17;142;1008,782069;26,991814;5,9;2,327918;
2007-06-30;12;56,6;1010,628007;26,349517;6,6;2,722138;
2007-07-31;7;46,4;1011,024515;26,478115;6,7;3,138823;
2007-08-31;3;1,2;1010,69342;26,54155;7;3,766439;
2007-09-30;4;3,2;1010,95125;26,820278;7;3,813333;
2007-10-31;4;1,4;1009,052419;27,120968;7,5;3,943145;
2007-11-30;5;null;null;27,576958;7,1;null;
2007-12-31;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
