Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2004-11-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;25,461334;8,8;null;
2005-01-31;6;28,2;935,009368;26,302273;8,5;3,238441;
2005-02-28;6;78;935,141175;25,893323;8;3,326048;
2005-03-31;9;212;935,972043;25,864651;8;2,793817;
2005-04-30;5;22,6;936,648412;24,148696;7;2,774432;
2005-05-31;21;100,2;937,41856;22,42784;6,9;3,049503;
2005-06-30;23;169,8;938,740139;21,073889;8,3;3,226945;
2005-07-31;20;59,6;940,47583;20,247452;7,3;3,496307;
2005-08-31;18;98,4;939,951613;20,217339;7,3;3,372849;
2005-09-30;8;10,4;938,918611;22,413194;9,2;3,716805;
2005-10-31;null;0;937,449162;24,20329;8;4,100022;
2005-11-30;1;null;935,039061;25,571265;9,3;3,865043;
2005-12-31;5;115;935,005107;24,484005;8,2;3,4375;
2006-01-31;2;,6;935,47957;25,106586;7,9;3,850806;
2006-02-28;4;null;935,20856;25,984141;6,6;2,83445;
2006-03-31;11;77;935,711351;25,461507;6,7;2,585845;
2006-04-30;10;null;935,313301;24,138272;7,7;2,409484;
2006-05-31;9;null;null;22,391067;7,7;null;
2006-06-30;25;134,4;939,233762;20,857397;7,9;3,739251;
2006-07-31;22;67,8;940,074655;20,359338;7,6;3,573095;
2006-08-31;16;47,2;939,496357;20,856558;7,6;3,374075;
2006-09-30;6;25,4;938,828434;23,071111;8,6;3,759028;
2006-10-31;4;2,8;936,554839;24,848925;8,3;3,745833;
2006-11-30;8;17,8;935,356409;25,350771;8,5;3,540145;
2006-12-31;null;0;936,320232;26,230014;8,5;3,730448;
2007-01-31;2;,6;936,113575;26,248253;9,4;3,68629;
2007-02-28;11;135,4;936,129264;25,191958;9,3;2,926805;
2007-03-31;20;264,4;936,379301;23,00914;6,2;2,935431;
2007-04-30;11;65,2;936,684457;23,759795;7,2;2,872874;
2007-05-31;19;77,4;937,576455;22,236606;6,7;2,991791;
2007-06-30;23;133,6;939,482053;20,98151;8,1;3,418261;
2007-07-31;20;67,6;939,665106;20,52237;8;3,375421;
2007-08-31;22;110,8;939,632463;20,348299;8,1;4,156124;
2007-09-30;13;42;939,842464;21,160477;7,4;3,938037;
2007-10-31;3;4,6;937,238114;23,635536;9;3,885151;
2007-11-30;3;10;935,406944;25,196667;7,9;3,800139;
2007-12-31;4;20;935,340591;25,227554;10,6;3,503763;
2008-01-31;2;4,4;935,046505;25,588575;9,5;3,423118;
2008-02-29;10;91,4;935,974856;25,34023;8,9;3,054167;
2008-03-31;17;239,8;935,39131;24,067257;8,8;2,25194;
2008-04-30;17;90,2;935,265417;23,245972;5,5;2,170139;
2008-05-31;24;167,2;937,178436;21,775999;6,6;3,054722;
2008-06-30;22;65;938,685833;20,490556;8,2;3,551389;
2008-07-31;23;124,2;939,993145;19,733333;7,4;3,689785;
2008-08-31;19;54,6;938,560887;20,565323;7;3,246237;
2008-09-30;9;15,6;938,8475;22,211111;6,5;3,311667;
2008-10-31;7;6,6;937,760618;23,824597;8,7;4,145565;
2008-11-30;0;0;935,439402;25,551673;9;3,759342;
2008-12-31;4;22,6;934,965188;25,822312;9,5;3,345161;
2009-01-31;5;48,4;935,784625;25,722008;8,9;3,278085;
2009-02-28;10;95;935,375446;24,494345;8,5;2,908036;
2009-03-31;6;102,2;935,067204;24,965591;9;2,5;
2009-04-30;12;133;936,28875;24,099722;7,2;2,226806;
2009-05-31;30;299,4;937,015323;22,429839;7;2,588844;
2009-06-30;21;88,4;938,762361;21,244306;6,6;2,978472;
2009-07-31;23;91,8;939,410753;20,876613;6,3;2,942876;
2009-08-31;10;null;null;null;5,9;null;
2009-09-30;null;null;null;23,717053;8,6;null;
2009-10-31;3;17,6;935,960632;24,974425;11;3,362644;
2009-11-30;2;5,4;935,740278;25,151667;9,4;3,960139;
2009-12-31;7;39,8;936,026882;25,244758;8,8;3,338307;
2010-01-31;9;147,2;936,382246;23,893023;9,6;2,774988;
2010-02-28;10;91;936,006548;24,90878;10,9;3,113244;
2010-03-31;8;69,2;935,862366;25,594489;7,8;2,625134;
2010-04-30;15;152,4;936,296528;24,212361;6,4;2,99125;
2010-05-31;9;36,8;936,814286;23,646131;6;2,777232;
2010-06-30;1;null;null;null;6,3;null;
2010-07-31;15;null;939,730362;20,198238;7,2;3,670686;
2010-08-31;16;38,2;940,102222;20,189934;8,3;3,762736;
2010-09-30;11;43,4;938,637639;21,6725;8,5;3,783611;
2010-10-31;5;null;936,768649;24,229167;8,5;3,372295;
2010-11-30;null;null;null;null;8,5;null;
2010-12-31;1;null;null;null;8;null;
2011-01-31;4;null;null;null;7,9;null;
2011-02-28;8;null;null;24,427131;7,3;null;
2011-03-31;12;48,4;935,084736;25,02771;7;2,362083;
2011-04-30;21;87,8;935,802639;23,852917;7,8;3,027222;
2011-05-31;27;176,4;937,010753;21,78172;7,4;3,389651;
2011-06-30;22;61,4;938,585417;20,964583;7,3;3,188194;
2011-07-31;7;1,4;939,024462;19,837097;7;3,410349;
2011-08-31;4;1,6;939,513306;20,78629;null;null;
2011-09-30;8;6,2;939,778889;21,509583;null;null;
2011-10-31;4;5,2;935,944624;23,949059;null;null;
2011-11-30;7;5,2;935,831528;24,334861;null;null;
2011-12-31;0;0;935,6125;25,711425;null;null;
2012-01-31;13;10,6;936,08629;24,77379;null;null;
2012-02-29;5;1,6;935,835345;24,444971;null;null;
2012-03-31;7;2,8;936,306586;25,150134;null;null;
2012-04-30;7;2,2;936,384861;24,750972;null;null;
2012-05-31;7;46,2;937,941455;23,809583;7,2;null;
2012-06-30;7;31;939,319722;22,470139;7,3;3,5275;
2012-07-31;21;71,2;939,648656;20,773387;8;3,636156;
2012-08-31;17;47,8;940,753879;20,786667;8,2;4,253476;
2012-09-30;5;7,4;940,027361;22,6475;8,5;4,076389;
2012-10-31;2;9;937,376882;23,976344;8,6;4,230108;
2012-11-30;2;11,4;935,400972;25,831806;8,9;3,762639;
2012-12-31;1;1;935,387366;25,837903;9;3,757258;
2013-01-31;4;4,6;936,250941;26,140054;9,8;3,59664;
2013-02-28;2;1,8;935,80625;26,106696;7,7;4,26503;
2013-03-31;1;18;936,1955;26,396983;9;3,770583;
2013-04-30;12;106,8;936,694444;25,393056;8,2;3,415139;
2013-05-31;8;null;null;22,853118;6,6;null;
2013-06-30;10;null;938,778888;22,077569;6,8;2,954054;
2013-07-31;11;null;939,852103;20,576778;8,9;3,291102;
2013-08-31;10;null;939,420699;21,076959;6,8;3,465229;
2013-09-30;5;null;939,077925;22,190295;8,7;3,910861;
2013-10-31;null;null;null;null;10,6;null;
2013-11-30;2;null;935,902074;null;9;3,913365;
2013-12-31;null;null;935,849243;null;7,6;3,246926;
2014-01-31;null;null;936,813767;null;8,9;3,697007;
2014-02-28;null;null;935,893936;null;8,2;3,200709;
2014-03-31;10;null;936,458533;25,0065;8;3,081097;
2014-04-30;13;91,2;936,824046;24,445012;6,9;2,786341;
2014-05-31;20;143,6;937,541935;22,09543;6,7;2,932392;
2014-06-30;19;70,6;939,005278;21,584306;7;3,311111;
2014-07-31;21;65,6;941,025941;20,955376;6,9;3,358199;
2014-08-31;13;68,4;940,415591;20,699462;7,9;3,556586;
2014-09-30;8;49,4;939,226389;22,517222;7,8;3,878194;
2014-10-31;13;118,6;938,367339;22,617876;8,8;4,128898;
2014-11-30;3;9,2;936,435145;24,463647;8,3;3,419245;
2014-12-31;3;8,4;936,830435;24,822744;9,1;3,462892;
2015-01-31;1;1,2;937,460192;25,378939;7,1;3,847908;
2015-02-28;5;72,4;936,818304;24,892113;7,3;3,364435;
2015-03-31;9;36,4;936,419489;25,203898;9,9;3,182392;
2015-04-30;5;7,8;936,665694;25,765929;7,6;2,899195;
2015-05-31;5;22;938,089651;24,631452;8,3;3,355376;
2015-06-30;22;77;940,049306;22,02375;7,5;3,405833;
2015-07-31;25;107,4;940,382796;20,958737;6,7;3,456586;
2015-08-31;12;35,8;940,184274;21,268548;7,6;3,832796;
2015-09-30;2;16;938,96;23,479444;7,9;3,505417;
2015-10-31;0;0;938,293952;24,682124;8,5;3,95457;
2015-11-30;0;0;936,17375;26,200417;9;3,772639;
2015-12-31;8;55,2;937,658064;25,527823;11,2;3,664247;
2016-01-31;23;27,8;936,95914;24,381586;8,5;2,232392;
2016-02-29;null;null;937,45819;24,074138;7,4;3,019828;
2016-03-31;null;null;937,568011;25,43078;9,1;3,222177;
2016-04-30;null;null;937,227778;24,670278;6,5;3,419861;
2016-05-31;11;84;939,131989;22,811559;6,3;2,903629;
2016-06-30;7;20,8;940,462361;21,878889;11,2;3,080417;
2016-07-31;11;15,4;940,351882;21,451613;7,6;3,624059;
2016-08-31;7;8,6;940,031452;22,351613;8,1;3,651344;
2016-09-30;1;,4;939,231528;24,016389;7,6;4,042778;
2016-10-31;1;,4;937,183199;25,072984;9,7;4,426344;
2016-11-30;0;0;936,201389;25,778333;9,9;4,258472;
2016-12-31;1;4,6;936,047581;26,081855;9,6;3,905242;
2017-01-31;0;0;936,44664;25,843952;8,2;3,854973;
2017-02-28;3;2,2;936,07872;26,049702;7,8;3,598065;
2017-03-31;3;17;936,110349;26,245833;7,9;3,352823;
2017-04-30;12;53;936,888889;24,88875;7,6;3,602917;
2017-05-31;17;122,8;938,084543;23,366398;7,5;3,360349;
2017-06-30;null;null;939,434306;21,200833;7,6;3,493472;
2017-07-31;27;119;941,592204;19,07379;9;4,559409;
2017-08-31;29;42,2;940,100269;20,516667;8,8;3,384005;
2017-09-30;25;71,2;940,343472;20,926111;7,9;3,961111;
2017-10-31;4;,8;937,904704;23,463979;7,3;3,710887;
2017-11-30;1;,2;935,896806;25,323333;9;3,501667;
2017-12-31;4;1;935,849597;25,880242;9,9;3,548118;
2018-01-31;null;null;936,313844;24,910887;8,8;3,249462;
2018-02-28;null;null;935,709673;24,883482;6,9;2,855952;
2018-03-31;12;45,4;936,235081;24,255108;10;2,533871;
2018-04-30;14;78,4;937,414306;23,051111;6,9;2,923472;
2018-05-31;20;88,6;938,530242;21,933602;6,6;3,11129;
2018-06-30;11;16;940,098472;21,424028;7,6;3,355278;
2018-07-31;12;32;940,30672;21,217742;8,1;3,627016;
2018-08-31;7;7,2;940,330242;22,440995;7,4;3,598118;
2018-09-30;2;22,2;938,212917;23,434861;7,9;3,947361;
2018-10-31;2;,4;936,808737;25,450672;7,9;3,51828;
2018-11-30;2;2;936,213056;25,455694;8,3;4,090972;
2018-12-31;null;null;937,046371;25,228091;8,3;3,226613;
2019-01-31;null;null;937,707661;25,036962;13,4;3,734409;
2019-02-28;null;null;936,482143;25,748512;6,6;2,888839;
2019-03-31;4;49;936,92379;25,127285;7,7;2,84207;
2019-04-30;10;20,4;936,978056;24,646111;6,9;2,501528;
2019-05-31;9;25,6;937,473118;24,058064;6,3;2,885887;
2019-06-30;17;60,2;939,969305;22,125556;7,4;3,539583;
2019-07-31;22;139,4;940,036156;20,85793;6,7;3,224731;
2019-08-31;17;108,2;941,414382;20,623387;7,4;3,594624;
2019-09-30;7;32,8;939,331528;22,932778;7,8;3,543472;
2019-10-31;1;4,4;937,324462;24,630645;7,9;3,88172;
2019-11-30;2;8,2;935,647917;25,899861;8,9;3,502083;
2019-12-31;1;,6;935,939785;26,175134;7,8;3,592473;
2020-01-31;5;58,8;936,400538;26,313978;7,2;2,915457;
2020-02-29;12;67,4;936,678448;25,736494;7,8;2,569253;
2020-03-31;22;500,8;936,575859;24,287991;6,4;1,906773;
2020-04-30;11;8,4;937,49;23,861667;6,1;2,072083;
2020-05-31;null;null;938,749059;22,458468;6,7;2,426613;
2020-06-30;null;null;939,342222;21,161667;6,9;2,858472;
2020-07-31;null;null;939,511022;20,364113;6,9;2,941667;
2020-08-31;null;null;939,684812;20,974059;7,4;3,435081;
2020-09-30;null;null;939,082639;22,40625;7,7;3,527639;
2020-10-31;null;null;null;24,88631;8,6;null;
2020-11-30;null;null;null;null;7,6;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;6,9;null;
2021-04-30;null;null;null;null;8,3;null;
2021-05-31;null;null;null;null;5,4;null;
2021-06-30;null;null;null;null;6,3;null;
2021-07-31;null;null;null;null;5,6;null;
2021-08-31;null;null;null;null;6,2;null;
2021-09-30;null;null;null;null;6,4;null;
2021-10-31;null;null;null;null;7,7;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;4,6;null;
2022-03-31;null;null;null;null;6,1;null;
2022-04-30;null;null;null;null;4,7;null;
2022-05-31;null;null;null;null;6,5;null;
2022-06-30;null;null;null;null;6,3;null;
2022-07-31;null;null;null;null;6,2;null;
2022-08-31;7;null;null;null;7,4;null;
2022-09-30;4;19,8;938,922083;22,020417;7;3,207083;
2022-10-31;3;9,4;937,492608;23,900403;7,1;3,549059;
2022-11-30;12;246,8;936,078194;24,048889;7,9;2,676944;
2022-12-31;4;5,2;936,006183;24,04422;8;2,674597;
2023-01-31;3;16,8;936,545833;24,89543;7,3;2,980511;
2023-02-28;10;52,8;936,615774;24,82872;8,3;3,181994;
2023-03-31;10;115;936,707124;24,404839;6,9;2,723521;
2023-04-30;13;55,4;936,318611;23,937917;7,8;2,372222;
2023-05-31;13;84,2;938,138306;23,281183;6,2;2,652016;
2023-06-30;23;148,2;939,913194;21,45625;6,5;3,166111;
2023-07-31;16;68;940,732661;20,978091;7,6;3,203091;
2023-08-31;14;29,2;939,464516;22,330242;6,5;3,191129;
2023-09-30;12;25;938,954861;23,279167;7,8;3,486389;
2023-10-31;null;null;null;null;null;null;

