Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Operante
Data Inicial: 2004-11-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-11-30;7;null;null;null;null;null;
2004-12-31;null;null;995,164694;null;6,4;1,043882;
2005-01-31;7;null;995,073085;27,139896;5,1;,968925;
2005-02-28;6;null;995,269673;null;5,9;,87439;
2005-03-31;3;null;996,706045;null;3,9;,845014;
2005-04-30;5;null;996,628009;null;6,1;1,195305;
2005-05-31;3;null;997,609626;26,753646;5,7;1,578916;
2005-06-30;null;null;998,358436;27,420922;6,1;1,850988;
2005-07-31;null;null;null;null;6,3;null;
2005-08-31;null;null;null;30,149475;6,2;null;
2005-09-30;null;null;996,981456;31,100182;5,7;2,06527;
2005-10-31;1;6,2;995,289211;31,982689;5,9;1,706033;
2005-11-30;3;null;null;null;null;null;
2005-12-31;13;117,8;994,490457;27,90457;4,8;1,20793;
2006-01-31;12;45,8;994,736388;28,005022;5,2;1,109274;
2006-02-28;18;null;996,008101;26,074381;5,2;,862806;
2006-03-31;21;327,4;996,398307;26,409776;3,4;,876075;
2006-04-30;22;null;995,97209;26,182713;null;null;
2006-05-31;4;null;null;26,256872;null;null;
2006-06-30;1;,6;999,404251;26,1;null;null;
2006-07-31;1;,4;999,777437;27,02019;null;null;
2006-08-31;null;0;998,393199;28,72125;6,3;2,214881;
2006-09-30;5;34,8;997,508839;30,065076;5,8;1,917171;
2006-10-31;9;141,2;995,468174;29,45367;4,4;1,31565;
2006-11-30;6;56,2;994,896461;28,082384;4,8;1,074601;
2006-12-31;11;26,6;996,102832;27,75388;3,7;,931416;
2007-01-31;2;,6;995,737477;28,102963;4,5;,889884;
2007-02-28;4;2;997,036995;25,997625;4,1;,884614;
2007-03-31;2;,4;996,391276;26,452639;7,2;1,065176;
2007-04-30;4;,8;996,725429;26,795272;4,7;,872615;
2007-05-31;null;0;997,104669;27,733122;6,1;1,386375;
2007-06-30;1;1,4;998,859432;27,878617;6,9;2,093279;
2007-07-31;0;0;998,605963;28,993377;6,1;2,083847;
2007-08-31;null;0;998,49124;29,484116;6,3;2,877733;
2007-09-30;1;,2;998,074541;30,827385;6,4;2,768194;
2007-10-31;2;11,2;995,07365;31,890176;6,2;1,986331;
2007-11-30;7;73,4;993,937083;31,069722;6;1,486111;
2007-12-31;9;40,6;994,759946;28,916398;5,7;1,141532;
2008-01-31;17;153,6;995,278091;26,900941;4,7;,973387;
2008-02-29;17;193;996,49569;26,378448;5,7;,788506;
2008-03-31;25;223,6;996,483871;25,554032;6,9;,800672;
2008-04-30;20;211,6;995,78006;26,15119;4,7;,885268;
2008-05-31;null;null;null;null;null;null;
2008-06-30;1;null;998,657853;26,255128;5,6;1,739744;
2008-07-31;0;0;999,666935;27,001613;6,4;2,139516;
2008-08-31;0;0;997,339382;28,927419;6,2;1,928629;
2008-09-30;1;4,8;996,918056;30,981667;5,8;1,871667;
2008-10-31;2;1;995,671505;31,913038;6,4;2,062366;
2008-11-30;8;86,8;994,283611;29,629306;4,2;1,039722;
2008-12-31;21;100,6;994,784741;27,147917;4,3;,828908;
2009-01-31;4;null;996,160805;26,77629;6,1;,864305;
2009-02-28;0;0;995,739286;26,119048;4;,877976;
2009-03-31;7;null;null;null;4,5;null;
2009-04-30;26;259,2;997,056111;26,038611;4,7;,833333;
2009-05-31;22;278;997,556855;25,801613;4,9;1,004032;
2009-06-30;6;8,4;998,793472;25,822083;5,4;1,34375;
2009-07-31;2;4;998,945161;26,614382;6,1;1,478898;
2009-08-31;1;2;998,091667;28,246102;5,8;1,811559;
2009-09-30;1;,2;997,11375;30,654306;4,8;1,482222;
2009-10-31;8;67,2;995,254454;29,336063;4;1,205029;
2009-11-30;9;81,4;994,5425;28,828889;8;1,008472;
2009-12-31;17;167,8;995,822715;26,786021;6,4;,959946;
2010-01-31;16;78;996,233333;26,676667;6,7;,947657;
2010-02-28;16;139,6;995,279613;27,712054;6,5;1,030655;
2010-03-31;19;197;995,996371;27,270565;5,9;,875941;
2010-04-30;6;8,6;996,134444;27,354306;4,8;1,105;
2010-05-31;0;0;996,300269;28,307124;4,3;1,11707;
2010-06-30;0;0;998,945278;28,045694;5,6;2,064722;
2010-07-31;0;0;998,761559;28,99664;6;2,486694;
2010-08-31;0;0;998,583094;29,646523;5,7;2,61056;
2010-09-30;0;0;996,754444;31,061806;6,6;2,727917;
2010-10-31;2;,8;995,346505;30,524059;5,9;1,403226;
2010-11-30;0;0;994,087083;29,110278;5,1;1,097778;
2010-12-31;0;0;993,932124;27,50457;4,2;,972984;
2011-01-31;null;null;994,856586;26,42043;4,9;,853763;
2011-02-28;15;193,8;995,894442;25,477129;5,4;,838076;
2011-03-31;23;109,6;995,642676;26,366066;4,4;,823935;
2011-04-30;20;15,8;996,195417;26,446944;6,1;,958472;
2011-05-31;null;null;996,915995;26,711559;5,7;1,452285;
2011-06-30;1;,2;998,134861;27,392778;5,7;1,587222;
2011-07-31;1;,4;998,428763;27,087366;5,8;1,818548;
2011-08-31;0;0;998,205914;28,949194;5,3;1,824597;
2011-09-30;1;,2;997,933194;30,559306;6,7;2,356528;
2011-10-31;0;0;994,782527;29,525269;5,4;1,320565;
2011-11-30;1;1,6;995,224861;27,589583;4,4;1,115417;
2011-12-31;8;37,4;994,924462;28,281452;4,1;1,029839;
2012-01-31;22;115,6;995,787769;26,762097;4,8;,956183;
2012-02-29;16;137;995,732184;26,492529;5,4;1,060632;
2012-03-31;17;202,6;996,231779;26,728051;4,1;,876473;
2012-04-30;13;43;995,909167;27,341667;5,3;,801944;
2012-05-31;6;5,8;996,943414;28,520565;5,4;1,284946;
2012-06-30;12;4,8;998,292361;28,98125;5,7;1,527639;
2012-07-31;null;0;998,403107;29,769934;5,9;2,326263;
2012-08-31;0;0;999,539204;29,630622;6,4;2,687092;
2012-09-30;0;0;998,237192;31,234698;5,4;2,139958;
2012-10-31;1;,8;995,074866;32,516532;5,9;1,989113;
2012-11-30;8;34,6;994,890833;29,429444;4,2;1,184167;
2012-12-31;8;82,8;995,055645;27,798656;5,5;,772446;
2013-01-31;24;234,2;996,61371;26,627957;5,2;,747312;
2013-02-28;null;null;995,509673;26,917262;4,1;,66875;
2013-03-31;7;null;996,322778;26,952155;7,8;,726028;
2013-04-30;11;66,6;997,170972;26,894167;4,3;,817361;
2013-05-31;9;23,4;997,63293;27,372177;4,9;1,037769;
2013-06-30;6;5,8;998,222551;27,884129;5;1,222424;
2013-07-31;0;0;999,121371;28,426075;5,4;1,588978;
2013-08-31;0;0;997,826479;30,115323;5,3;2,17043;
2013-09-30;1;1,4;997,001945;31,518056;5,5;2,108194;
2013-10-31;4;17,4;996,103495;31,16371;6;1,674597;
2013-11-30;null;null;994,679722;29,458472;5,1;1,174861;
2013-12-31;null;null;995,734274;27,742339;6,3;,825941;
2014-01-31;null;null;996,696774;26,822581;4,5;,810887;
2014-02-28;null;null;996,005655;26,395387;4,2;,736458;
2014-03-31;null;null;996,840323;26,214113;4,4;,642473;
2014-04-30;null;null;997,265459;26,719209;4;,766401;
2014-05-31;8;75,8;997,527016;27,333065;5,8;,991532;
2014-06-30;1;2,2;998,340417;28,435556;5,5;1,636945;
2014-07-31;0;0;1000,311156;28,897715;5,5;2,067742;
2014-08-31;null;0;999,108297;30,066629;5,9;2,274162;
2014-09-30;4;13,8;997,492917;30,898611;5,8;1,766944;
2014-10-31;8;62,2;996,515323;30,970565;5,3;1,757796;
2014-11-30;12;216,4;995,575556;29,09125;4,5;1,000417;
2014-12-31;10;144,6;996,353495;28,193011;5,6;1,01129;
2015-01-31;20;92,2;997,228629;27,321371;4,7;,89207;
2015-02-28;19;207,6;997,151339;26,588839;5,6;,838988;
2015-03-31;10;null;null;null;4,3;null;
2015-04-30;null;null;null;null;4,4;null;
2015-05-31;null;null;null;null;5;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;2;1,2;999,218683;29,572177;5,9;2,150941;
2015-08-31;1;,2;998,556586;30,140995;5,9;2,237769;
2015-09-30;0;0;996,90125;31,578333;5,3;1,488056;
2015-10-31;3;4;996,286425;32,680242;5,8;1,800672;
2015-11-30;4;36,2;994,911806;31,429583;5,1;1,244444;
2015-12-31;6;12,6;996,128091;31,75672;7,5;1,278495;
2016-01-31;null;null;997,28078;27,303898;5,5;,912634;
2016-02-29;null;null;997,080316;28,25;5;1,062931;
2016-03-31;null;null;997,429973;27,928898;4,7;,824462;
2016-04-30;null;null;996,470833;28,785695;5,2;,957778;
2016-05-31;null;null;998,265323;29,138844;4,8;1,054436;
2016-06-30;1;4,6;999,846389;28,916389;6,4;1,622917;
2016-07-31;0;0;999,34664;29,603091;5,5;2,089247;
2016-08-31;0;0;998,591532;30,511559;5,7;1,941667;
2016-09-30;4;50,8;997,627222;31,494583;5,4;1,730972;
2016-10-31;3;10,6;995,380108;31,701344;5,3;1,560887;
2016-11-30;7;32,6;994,574167;31,540417;6,1;1,527917;
2016-12-31;12;143,4;995,563979;28,95121;5,4;1,108065;
2017-01-31;21;57,4;996,329301;27,508468;4,5;,817876;
2017-02-28;null;null;996,589881;26,420536;4,7;,815179;
2017-03-31;null;null;996,795565;26,452957;4,6;,563844;
2017-04-30;null;null;996,899583;27,148611;4,1;,800972;
2017-05-31;2;54;997,567339;28,294086;5,2;1,038172;
2017-06-30;3;25,4;998,683472;28,413333;5,5;1,869306;
2017-07-31;0;0;1001,237634;28,503226;6,4;2,793011;
2017-08-31;0;0;998,346102;30,553763;6,6;2,147984;
2017-09-30;0;0;998,538194;31,123472;6,7;3,296111;
2017-10-31;2;154;995,467473;32,805914;6,5;2,302419;
2017-11-30;11;90,6;994,976111;29,045278;5,2;,984306;
2017-12-31;15;153,8;995,56129;27,602823;6,2;,852285;
2018-01-31;18;113,2;996,400269;26,409274;5,2;,777285;
2018-02-28;23;427,4;996,555357;26,035417;5,4;,740476;
2018-03-31;3;null;996,687366;26,561022;4,3;,764113;
2018-04-30;null;null;null;null;5,4;null;
2018-05-31;null;null;null;null;5,5;null;
2018-06-30;null;null;null;null;5,8;null;
2018-07-31;null;null;null;null;5;null;
2018-08-31;1;,4;999,084543;29,895296;5,6;1,891667;
2018-09-30;1;33,2;996,168611;31,249861;6,1;1,692222;
2018-10-31;7;63,4;995,603898;30,998387;5,1;1,306317;
2018-11-30;12;72;995,06375;29,633056;4,3;1,148611;
2018-12-31;11;168,2;997,516935;26,916129;5,1;,944892;
2019-01-31;16;86,6;997,6625;27,193145;6,5;,801344;
2019-02-28;21;250,6;997,086458;26,606399;6,5;,719345;
2019-03-31;20;198,2;997,631048;26,655914;6,8;,784946;
