Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2004-11-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;27,009028;4,9;null;
2005-06-30;null;null;1003,640109;26,793613;5,1;1,515134;
2005-07-31;null;null;null;null;5,7;null;
2005-08-31;null;null;null;null;5,5;null;
2005-09-30;null;null;1002,683622;29,121855;5,3;1,739669;
2005-10-31;null;null;1001,198863;30,34879;6,1;2,018463;
2005-11-30;null;null;null;null;null;null;
2005-12-31;0;0;999,980645;28,280108;5,3;1,599107;
2006-01-31;0;0;1000,459409;27,332124;5,5;1,399543;
2006-02-28;null;null;1001,58131;26,468131;8,6;1,505223;
2006-03-31;null;0;1002,029167;26,767672;6,5;1,392529;
2006-04-30;null;null;1001,555529;26,349374;7;null;
2006-05-31;null;null;null;27,026365;null;null;
2006-06-30;0;0;1004,432814;27,6143;null;null;
2006-07-31;0;0;1004,915995;27,748387;null;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;
2006-10-31;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;
2006-12-31;null;null;null;null;null;null;
2007-01-31;null;null;null;null;null;null;
2007-02-28;null;null;null;null;null;null;
2007-03-31;null;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;
2007-09-30;null;null;1002,848798;30,194332;null;null;
2007-10-31;1;null;null;30,625558;null;null;
2007-11-30;4;null;999,468275;30,166938;5,1;1,584541;
2007-12-31;3;null;null;28,339474;4,6;null;
2008-01-31;12;null;null;26,472917;5,8;null;
2008-02-29;18;null;1002,104464;26,182716;6,9;1,035357;
2008-03-31;25;312,6;1002,043093;26,080038;5,5;,95017;
2008-04-30;26;500,4;1001,297222;26,684167;5,8;,9725;
2008-05-31;13;164,2;1002,625754;27,905955;7,7;1,047411;
2008-06-30;7;7,6;1003,834366;27,303671;4,7;1,213714;
2008-07-31;1;1,8;1004,656586;27,271102;5,4;1,398253;
2008-08-31;2;3,4;1002,603629;27,568952;6,8;1,351075;
2008-09-30;3;13,6;1002,47375;28,062917;4,7;1,360555;
2008-10-31;2;9,6;1001,259087;29,020115;5,3;1,561032;
2008-11-30;5;null;999,952833;29,860833;5;1,535333;
2008-12-31;10;null;null;27,409211;6,4;null;
2009-01-31;9;null;null;26,515258;6,5;null;
2009-02-28;25;196,8;1001,342708;26,219494;6,8;,981101;
2009-03-31;26;356,4;1001,433602;26,07379;5,1;,943548;
