Nome: BARBALHA
Codigo Estacao: A315
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Operante
Data Inicial: 2007-05-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;3;2;968,171658;24,84584;5,7;2,277455;
2007-07-31;0;0;968,184629;25,253263;6,1;2,287243;
2007-08-31;1;,2;968,23705;25,14886;7,3;3,093379;
2007-09-30;1;,6;968,1475;26,379028;6,6;2,981806;
2007-10-31;1;,4;965,318017;28,093864;6;2,415995;
2007-11-30;3;24,8;963,800833;28,408889;5,8;2,039028;
2007-12-31;6;98,8;963,959677;27,776882;5,4;1,77164;
2008-01-31;20;218,4;963,979167;26,485349;4,5;1,339382;
2008-02-29;15;273;965,339305;26,387144;5,1;1,236607;
2008-03-31;27;542,4;964,78629;26,294086;5,3;1,171102;
2008-04-30;15;126;964,4;26,403472;4,8;1,208889;
2008-05-31;10;98,4;966,195909;25,829763;4,7;1,737576;
2008-06-30;1;1,6;967,76843;25,197609;4,9;2,165694;
2008-07-31;4;10,4;969,005108;24,940591;6,3;2,44543;
2008-08-31;4;8,2;967,181317;26,016532;5,5;2,376075;
2008-09-30;1;2,4;967,072361;27,385833;5,1;2,28875;
2008-10-31;0;0;965,963441;28,166801;5,7;2,320027;
2008-11-30;1;,4;963,935314;28,413207;6,7;1,79102;
2008-12-31;8;120,2;963,850269;27,384274;4,8;1,500941;
2009-01-31;12;59;964,888505;26,511507;4,7;1,431276;
2009-02-28;19;92,6;964,530506;25,108333;6,2;1,322768;
2009-03-31;17;138,2;964,346505;25,378495;4,6;1,241263;
2009-04-30;27;376,4;965,640417;24,315833;4,6;1,158056;
2009-05-31;18;258,2;966,146774;24,325134;4,7;1,471909;
2009-06-30;3;1,2;967,827917;24,002361;4,9;1,847222;
2009-07-31;4;48,2;968,285618;24,126479;6;2,04207;
