Nome: MACAU
Codigo Estacao: A317
Latitude: -5.15111111
Longitude: -36.57305554
Altitude: 17.37
Situacao: Operante
Data Inicial: 2007-01-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;1;null;1010,57484;28,113462;10,8;5,405769;
2007-02-28;14;153,2;1010,753345;27,968905;10,6;4,247606;
2007-03-31;13;69,6;1010,060338;28,06558;8,8;4,166129;
2007-04-30;15;61,8;1010,670972;28,03125;10,3;4,141528;
2007-05-31;5;66,8;1011,275347;27,847228;10,3;4,304319;
2007-06-30;13;28,8;1013,282615;26,980888;10,7;4,939366;
2007-07-31;6;4,4;1013,56661;26,913016;11,1;5,143152;
2007-08-31;2;2,2;1013,397429;26,876712;11,5;6,009403;
2007-09-30;0;0;1013,554722;27,358194;12,2;6,471111;
2007-10-31;0;0;1011,422692;27,318233;10,9;6,21728;
2007-11-30;1;1;1010,121099;27,361304;12,4;5,94503;
2007-12-31;3;2,8;1010,024194;27,761559;10,8;5,539382;
2008-01-31;3;8,8;1009,620027;27,947177;11,6;5,266532;
2008-02-29;1;5,6;1010,567816;28,360345;11,1;4,868391;
2008-03-31;20;230,2;1010,014113;27,379032;10,5;3,347581;
2008-04-30;19;301,8;1009,628472;27,065556;7,8;3,548195;
2008-05-31;14;77,8;1011,161454;26,979272;10,1;2,957907;
2008-06-30;10;54,8;1012,650362;26,091842;7,7;2,905972;
2008-07-31;7;36,6;1013,848522;26,181855;9,2;3,997581;
2008-08-31;7;35;1012,42836;26,44207;10,3;4,613978;
2008-09-30;1;2;1012,763195;27,243611;9,5;5,484861;
2008-10-31;1;1,6;1011,824731;27,658064;11,3;5,67379;
2008-11-30;2;2,8;1010,260127;27,504771;10,7;5,719112;
2008-12-31;1;,8;1009,82621;27,643817;10,7;5,288172;
2009-01-31;7;65,6;1010,690471;27,596253;10,9;4,697165;
2009-02-28;9;117;1009,965923;27,42753;10;4,299702;
2009-03-31;21;173,6;1009,83293;27,288844;8;3,535753;
2009-04-30;24;245;1010,965278;26,980694;7,6;2,915833;
2009-05-31;25;227,2;1011,246774;26,978226;8,3;2,859414;
2009-06-30;16;96,4;1012,870833;26,351528;6,6;2,483056;
2009-07-31;10;27,8;1013,631183;25,966801;7,4;2,598387;
2009-08-31;7;18,4;1013,361694;26,109812;9;4,340591;
2009-09-30;1;,4;1013,521806;26,731528;10,7;5,802222;
2009-10-31;1;1,2;1011,2125;26,630747;10,7;5,665948;
2009-11-30;1;,2;1010,550278;27,150972;11;6,03375;
2009-12-31;null;null;1010,674815;27,56304;11,1;5,494949;
2010-01-31;null;null;1010,657876;null;9,1;5,004666;
2010-02-28;1;null;1009,883883;null;10,7;5,294697;
2010-03-31;4;11,4;1010,284274;28,759005;12,1;4,480511;
2010-04-30;10;141,2;1009,954861;28,696944;10;4,111389;
2010-05-31;2;1,8;1010,731317;28,614516;10,6;4,547984;
2010-06-30;5;13,8;1012,945417;27,845278;9,9;4,580695;
2010-07-31;5;17,6;1013,052554;27,354839;11,5;5,242473;
2010-08-31;1;,4;1013,531848;27,100356;12,2;5,954451;
2010-09-30;0;0;1012,240139;27,294583;11,4;6,508194;
2010-10-31;1;4,6;1011,161962;27,429435;10,8;5,454435;
2010-11-30;0;0;1009,639381;27,717803;10,4;6,019003;
2010-12-31;6;13,2;1008,696544;27,71681;10,7;5,195795;
2011-01-31;12;49,2;1009,147715;27,249328;9,2;4,288575;
2011-02-28;9;70,8;1009,814881;27,649851;13,6;4,269792;
2011-03-31;11;57,6;1009,780814;27,641742;8,7;3,722916;
2011-04-30;26;117,4;1010,073333;27,053472;12,9;3,346667;
2011-05-31;17;186,6;1010,820579;26,886825;8,5;3,736391;
2011-06-30;2;null;null;null;8,6;null;
2011-07-31;null;null;null;null;8,9;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;9;null;
2011-10-31;2;null;null;null;null;null;
2011-11-30;2;2;1008,537917;27,51;9,7;5,157361;
2011-12-31;2;1,2;1008,62836;27,647715;9,9;5,224597;
2012-01-31;5;12,2;1008,870833;27,727016;9,5;4,869489;
2012-02-29;null;null;null;null;9;null;
2012-03-31;4;null;null;27,82193;8,7;null;
2012-04-30;5;3,8;1008,650972;28,184306;9,1;4,394444;
2012-05-31;4;6,8;1010,109677;27,804301;9,1;4,573521;
2012-06-30;5;9,6;1011,529444;27,307917;10,2;4,253333;
2012-07-31;4;6,4;1011,623253;27,267204;7,9;4,762366;
2012-08-31;null;0;1012,447389;27,625139;9,1;5,175614;
2012-09-30;2;,4;1012,307361;27,43625;9,4;5,333333;
2012-10-31;0;0;1009,718145;27,87957;9,8;5,630376;
2012-11-30;0;0;1008,7975;27,421111;9,8;5,258889;
2012-12-31;0;0;1008,209677;28,04879;9,5;5,294355;
2013-01-31;1;,8;1009,056989;28,423925;9,7;5,155108;
2013-02-28;4;7,6;1008,034375;29,074256;9,8;5,173363;
2013-03-31;3;36;1008,673833;28,954885;9,9;4,789028;
2013-04-30;11;32,2;1009,182222;28,477361;9,7;4,069444;
2013-05-31;6;22,4;1009,876882;28,145161;8,5;3,896102;
2013-06-30;10;92,8;1010,929078;26,998586;8,7;3,513005;
2013-07-31;10;41;1011,985484;26,453091;8,7;3,802151;
2013-08-31;3;3,6;1011,142204;27,491667;8,4;4,795161;
2013-09-30;1;,6;1011,265556;27,683056;9,4;5,315278;
2013-10-31;0;0;1010,293952;27,924462;9,6;5,492473;
2013-11-30;4;2,8;1008,479306;27,917917;9,9;5,394444;
2013-12-31;2;1,6;1008,972043;27,878763;9,9;5,156452;
2014-01-31;5;5,4;1009,241129;28,170027;10,3;5,00672;
2014-02-28;9;35;1008,299851;27,982143;9,2;4,524107;
2014-03-31;9;28,8;1009,04543;28,235887;9,1;4,240726;
2014-04-30;10;37,4;1009,267361;28,104167;8,6;3,667778;
2014-05-31;14;121,6;1009,585215;27,340188;6,8;3,195296;
2014-06-30;9;28,6;1011,011667;27,213194;7,5;3,896944;
2014-07-31;7;19;1013,230645;26,895968;8,7;4,374866;
2014-08-31;0;0;1012,311156;27,631855;9;5,193011;
2014-09-30;2;2,4;1011,745278;27,533472;9,6;5,249861;
2014-10-31;1;null;null;28,518421;9,3;null;
2014-11-30;1;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
