Nome: PATOS
Codigo Estacao: A321
Latitude: -7.07972221
Longitude: -37.27277777
Altitude: 263.66
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;1;null;null;null;null;null;
2007-08-31;2;1,2;984,821838;26,449211;9,2;4,303851;
2007-09-30;3;1,8;984,897977;27,291467;8,1;4,444493;
2007-10-31;0;0;982,304652;28,624451;8,9;4,703506;
2007-11-30;null;null;980,623439;29,387625;9;4,419398;
2007-12-31;3;51,4;980,794624;29,037231;8,7;3,874194;
2008-01-31;7;21,2;980,41707;29,069892;8,7;3,517204;
2008-02-29;7;137,2;981,584282;28,173363;8,1;2,605747;
2008-03-31;29;537,8;981,156089;26,163575;10,1;1,642257;
2008-04-30;15;120,4;980,911111;26,171667;6,8;1,921667;
2008-05-31;13;168,2;982,582001;25,732994;8;2,008327;
2008-06-30;6;20,6;984,150737;25,148152;6,2;2,343955;
2008-07-31;7;20,4;985,422446;25,230376;7,4;3,198118;
2008-08-31;1;1,6;983,750941;26,458199;7,8;3,473656;
2008-09-30;1;5;983,980417;27,66875;8,2;3,949028;
2008-10-31;0;0;982,872446;28,748118;9,6;4,644892;
2008-11-30;1;3,8;980,938472;29,47;10,4;4,456111;
2008-12-31;2;83,2;980,513979;29,177688;8,4;3,524194;
2009-01-31;9;95,8;981,433988;28,74685;9,3;3,139504;
2009-02-28;12;177,4;981,045685;26,994643;7,4;2,35878;
2009-03-31;15;304,4;980,899328;27,076075;8,3;1,977151;
2009-04-30;25;620;982,103194;26,339583;7,3;1,691111;
2009-05-31;19;272,8;982,564113;25,943414;7,4;1,686156;
2009-06-30;8;34,6;984,296667;25,196944;5,9;2,133333;
2009-07-31;7;14,2;984,889919;25,714247;7,1;2,613575;
2009-08-31;5;30,6;984,652957;25,96707;8;3,254704;
2009-09-30;0;0;984,364861;27,738333;7,9;3,994722;
2009-10-31;2;15,2;981,627011;28,906034;8,3;3,496983;
2009-11-30;2;10,6;981,192083;29,116667;8,7;4,356667;
2009-12-31;6;15;981,471371;29,156048;8,3;3,674462;
2010-01-31;11;86,4;981,870373;27,717778;9,4;2,604128;
2010-02-28;5;44,4;981,231101;28,752976;9,5;3,037054;
2010-03-31;2;null;null;null;9,7;null;
2010-04-30;3;null;null;null;9,5;null;
2010-05-31;null;null;null;null;6,7;null;
2010-06-30;7;null;984,567754;26,325181;7,4;2,940942;
2010-07-31;4;1,2;984,832527;26,290726;8,3;3,406452;
2010-08-31;1;,4;985,130499;26,688809;8,1;3,961851;
2010-09-30;0;0;983,720694;27,520556;9,2;4,584583;
2010-10-31;6;44,4;981,986962;28,790995;9,3;3,695968;
2010-11-30;1;1,2;980,556111;29,204722;8,1;3,801528;
2010-12-31;10;88,2;979,721237;27,856048;10,3;2,803629;
2011-01-31;11;269,6;980,205242;27,32621;8,8;2,419355;
2011-02-28;9;null;null;26,978289;9,4;null;
2011-03-31;12;116,8;981,019048;26,57872;8,1;1,685417;
2011-04-30;15;121,4;981,293333;26,562778;6,7;1,664167;
2011-05-31;12;141;982,380861;25,601052;6,5;1,908357;
2011-06-30;3;8;983,955139;25,875833;6,3;2,419722;
2011-07-31;8;31,6;984,489113;25,140457;6,9;2,769221;
2011-08-31;3;3,6;984,859543;26,39422;8,6;3,523387;
2011-09-30;0;0;984,800833;27,43625;7,9;4,192361;
2011-10-31;3;19,2;981,262769;28,500403;8,5;4,160484;
2011-11-30;2;26,8;981,241111;28,732361;8,2;4,187917;
2011-12-31;0;0;981,184005;29,426882;8,8;4,175403;
2012-01-31;7;21,2;981,588751;28,745594;9,6;3,955259;
2012-02-29;7;103,2;981,216954;28,090086;7,6;3,602874;
2012-03-31;5;17,2;981,640136;28,898136;7,4;3,302373;
2012-04-30;4;3,2;981,477778;29,511528;7,7;3,129722;
2012-05-31;3;4,8;983,050672;28,829436;8,4;3,586156;
2012-06-30;7;18,4;984,60375;27,281389;8,4;3,292778;
2012-07-31;2;1,8;984,867473;26,585484;7,2;3,645565;
2012-08-31;null;0;985,822369;26,924306;8,3;4,364535;
2012-09-30;0;0;985,19875;27,849583;8,7;4,65;
2012-10-31;0;0;982,526747;28,636828;9,3;4,704301;
2012-11-30;0;0;981,119167;29,423056;9,3;4,278194;
2012-12-31;3;4,8;980,775403;29,755645;9,2;4,136022;
2013-01-31;3;108;981,722849;29,429032;8,8;3,694624;
2013-02-28;2;2,4;980,919048;29,90253;9,3;4,181845;
2013-03-31;6;30;981,344938;29,82516;9;3,3125;
2013-04-30;null;null;null;null;5,6;null;
2013-05-31;2;null;null;28,297396;7,4;null;
2013-06-30;7;87,8;983,984798;27,229343;7,8;2,820897;
2013-07-31;6;11,6;985,116205;26,441526;6,9;2,956452;
2013-08-31;1;,2;984,313441;27,391801;7,6;3,756183;
2013-09-30;0;0;984,117083;28,019167;9,5;4,549028;
2013-10-31;0;0;982,975403;28,864382;10,4;4,769758;
2013-11-30;3;26,2;981,231667;28,456944;9,9;4,49125;
2013-12-31;7;121;981,526882;28,553629;9;3,806317;
2014-01-31;4;16,8;981,979435;28,834677;8;3,545833;
2014-02-28;7;55,8;981,152827;28,262649;8,7;3,262054;
2014-03-31;17;428,4;981,99543;27,172849;9;2,189651;
2014-04-30;11;123;982,377361;26,786667;7,8;1,756389;
2014-05-31;7;108,6;982,819892;26,488575;7,3;2,10672;
