Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Operante
Data Inicial: 2007-07-07
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;8;null;null;null;5,4;null;
2007-08-31;null;null;null;null;4,4;null;
2007-09-30;14;null;924,715625;18,897222;5,9;2,846354;
2007-10-31;11;8,6;922,728237;20,297435;8;3,395068;
2007-11-30;2;null;920,706389;22,192768;8,1;4,539221;
2007-12-31;4;9;920,806054;22,311816;8,7;4,046383;
2008-01-31;4;3,2;920,564247;22,634409;8,2;3,506452;
2008-02-29;8;26,8;921,244971;23,197321;7,7;3,718965;
2008-03-31;17;226;920,516339;22,564434;7,5;2,794448;
2008-04-30;19;73,2;920,352917;21,982778;6;2,522917;
2008-05-31;27;184,2;922,182258;20,476747;6,3;2,152151;
2008-06-30;28;101;923,69429;18,996872;5,2;2,381824;
2008-07-31;29;138,6;924,96707;18,160081;6,3;2,706452;
2008-08-31;27;91,6;923,6125;18,672581;5,6;2,49879;
2008-09-30;14;29,4;924,0543;19,742476;9;2,937669;
2008-10-31;15;24,2;923,245027;20,613441;7,4;3,399059;
2008-11-30;0;0;920,981389;22,531389;8,7;4,693194;
2008-12-31;2;42,6;920,395564;23,042339;9,3;4,045161;
2009-01-31;3;15,4;921,197499;23,130511;9;3,738312;
2009-02-28;10;46,8;920,673214;22,469792;7,1;3,188393;
2009-03-31;7;16;920,287769;23,230376;7,9;3,432796;
2009-04-30;16;143,4;921,368333;22,757083;7;2,571944;
2009-05-31;27;145;922,00914;21,197043;5,8;2,136828;
2009-06-30;27;121,4;923,735556;19,941528;6,3;2,128056;
2009-07-31;27;104,6;924,399193;19,424462;6,1;2,207392;
2009-08-31;26;134,6;924,185484;19,280914;6,5;2,410753;
2009-09-30;8;13,8;924,19375;20,765694;7,7;3,296944;
2009-10-31;2;27,4;921,331322;22,276006;9,9;4,115374;
2009-11-30;3;15,8;921,265139;22,317778;8,1;4,168472;
2009-12-31;7;45,4;921,428495;22,791936;7,6;3,644624;
2010-01-31;17;102;921,641839;22,091806;6,5;2,843798;
2010-02-28;11;46,2;921,395238;22,779018;7,6;2,773661;
2010-03-31;7;105,2;921,157375;23,628343;7,5;2,918957;
2010-04-30;15;183,6;921,504861;22,484306;7,1;2,214306;
2010-05-31;16;38,8;922,183333;21,848253;5,6;1,688575;
2010-06-30;26;374,4;924,336944;20,022222;6,2;2,106945;
2010-07-31;29;118,8;924,514785;19,064247;7;2,403898;
2010-08-31;27;87;925,157398;18,337091;6,8;2,281989;
2010-09-30;18;95,8;923,871389;19,163194;8,1;2,936528;
2010-10-31;8;73,6;921,952016;21,548521;8,4;3,247849;
2010-11-30;4;1,4;920,588889;22,32375;7,7;3,843056;
2010-12-31;5;10;919,379973;22,865995;7,8;3,83293;
2011-01-31;10;56,2;919,935215;22,275134;6,7;2,930511;
2011-02-28;6;62,2;920,64309;22,591375;6,2;3,101786;
2011-03-31;3;129,2;920,26816;23,326042;6,5;3,250971;
2011-04-30;22;98,4;921,140139;22,009444;6,6;2,253472;
2011-05-31;21;null;921,979932;20,585325;6,8;2,05312;
2011-06-30;17;null;923,654658;19,776666;5,9;2,031325;
2011-07-31;13;null;924,194075;null;5,7;2,2669;
2011-08-31;8;null;924,522577;19,082769;5,7;2,461524;
2011-09-30;12;null;925,07077;19,156179;5,9;2,519514;
2011-10-31;12;14,2;921,388575;20,985349;6,9;3,260484;
2011-11-30;9;27;921,285;21,667361;8;3,956667;
2011-12-31;0;0;921,167608;22,70578;8,7;4,138575;
2012-01-31;7;18,8;921,541398;22,18871;7,8;3,49543;
2012-02-29;8;26,4;921,303448;22,006178;6,4;3,078017;
2012-03-31;5;4;921,846388;22,369261;6,5;3,195734;
2012-04-30;6;32,6;921,888194;21,946806;6,1;2,545417;
2012-05-31;14;59;923,272984;21,389919;5;2,491532;
2012-06-30;21;65,2;924,531135;19,948074;6,8;2,206775;
2012-07-31;30;98,6;924,72836;18,780914;5,4;2,163172;
2012-08-31;24;100,2;925,866724;18,394167;7,3;2,535983;
2012-09-30;11;15,8;925,330278;19,496389;6,9;3,005972;
2012-10-31;10;12,2;922,854032;20,690323;7,7;3,519624;
2012-11-30;1;1;920,772639;23,024167;10;4,799444;
2012-12-31;4;5,4;920,895833;23,027151;7,9;3,832661;
2013-01-31;9;14,2;921,673656;23,425403;8,4;4,101344;
2013-02-28;3;4,2;921,416518;23,172619;7,5;3,630357;
2013-03-31;3;11,8;921,708833;23,543822;6,9;3,431333;
2013-04-30;11;97;921,984583;23,046528;6,3;2,786944;
2013-05-31;19;63,8;923,009543;21,225403;5,6;2,097178;
2013-06-30;25;105,6;923,808119;20,025328;6,1;1,274672;
2013-07-31;27;155,2;924,800941;19,064516;5,7;1,155107;
2013-08-31;25;81,8;924,400806;19,013979;3,7;,155914;
2013-09-30;22;24,2;924,283472;19,938611;6,9;,804583;
2013-10-31;14;56,6;923,132392;21,103226;9,1;,825;
2013-11-30;6;25,6;921,237639;21,570556;6,6;,890833;
2013-12-31;7;null;920,983444;22,581234;6,7;,014646;
2014-01-31;5;12,4;922,049597;22,234274;0;0;
2014-02-28;12;19,8;921,063272;22,290123;0;0;
2014-03-31;1;null;null;null;null;null;
2014-04-30;17;134;921,931389;22,550417;6,1;2,715;
2014-05-31;24;143,6;922,556855;20,664113;6,1;2,147849;
2014-06-30;26;96,4;924,013889;19,723457;5,4;2,249691;
2014-07-31;7;null;null;null;null;null;
2014-08-31;26;109,8;925,435081;18,673387;4,9;1,920161;
2014-09-30;12;63,2;924,451528;19,839583;7;2,827917;
2014-10-31;18;134,4;923,600269;20,238978;7,1;2,912769;
2014-11-30;10;16,6;921,665278;21,759028;8,1;3,251806;
2014-12-31;6;17,6;922,155914;21,957796;7;3,298656;
2015-01-31;4;4,6;922,896435;22,463102;6,3;3,154459;
2015-02-28;7;66;922,129762;22,604316;7;2,6625;
2015-03-31;10;17;921,800269;22,940054;6;2,249866;
2015-04-30;4;6,2;921,87875;23,632778;6,3;2,225278;
2015-05-31;18;42;923,216111;22,122222;6,2;1,330139;
2015-06-30;1;null;null;null;null;null;
2015-07-31;16;null;null;18,652451;5,8;null;
2015-08-31;18;73,6;925,249866;19,116264;5,8;1,205914;
2015-09-30;7;11,2;924,227083;20,536805;6,3;1,881806;
2015-10-31;7;10,6;923,695968;21,451882;7,1;2,271371;
2015-11-30;3;1,8;921,509722;23,360694;9,1;3,618194;
2015-12-31;12;50,8;922,962366;22,927957;9,3;2,125806;
2016-01-31;17;81,4;921,960349;23,08078;9,3;2,573118;
2016-02-29;14;48,8;922,664655;22,500287;7,1;,910201;
2016-03-31;11;33,8;922,884677;23,044489;7,6;,613844;
2016-04-30;18;57,6;922,514167;22,144722;7,3;,635417;
2016-05-31;20;73,6;924,152688;21,108065;5;,274597;
2016-06-30;21;52,6;925,401945;20,475694;7,9;,602639;
2016-07-31;27;64,2;925,358468;19,200403;5,8;,528629;
2016-08-31;16;38,6;925,17957;19,545027;6,3;,643952;
2016-09-30;13;15;924,615;20,748611;6,7;1,096389;
2016-10-31;9;10,2;922,593946;22,041322;9,9;2,120395;
2016-11-30;3;2,4;921,657917;22,898472;7,6;2,343333;
2016-12-31;4;2,8;921,435887;23,224731;8,4;1,723387;
2017-01-31;7;5;921,847312;23,038038;6;,564516;
2017-02-28;4;1,8;921,431845;23,346577;6;,429762;
2017-03-31;3;2,4;921,37164;23,726882;6;,346909;
2017-04-30;13;46,6;922,095556;22,670694;7,6;,212778;
2017-05-31;20;282,2;923,10672;21,423253;3,3;,073521;
2017-06-30;30;171,2;924,320694;19,737083;2,4;,10625;
2017-07-31;30;247,6;926,368011;17,865995;5,5;,308333;
2017-08-31;24;121,2;924,99086;18,881317;2,6;,054167;
2017-09-30;25;124,8;925,334028;18,829722;5,4;,201806;
2017-10-31;13;16,6;923,161828;20,486559;4,9;,231048;
2017-11-30;1;3,6;921,263611;22,220833;4,4;,126528;
2017-12-31;null;null;null;null;2,9;null;
2018-01-31;null;null;null;null;,6;null;
2018-02-28;null;null;null;null;1,2;null;
2018-03-31;3;null;null;null;3,4;null;
2018-04-30;22;125;922,383055;21,227917;5,7;1,909306;
2018-05-31;24;133,4;923,444355;20,479301;5,6;2,099328;
2018-06-30;26;57,4;925,040556;19,355694;5,6;2,225417;
2018-07-31;20;60,8;925,307124;18,629839;4,8;1,993414;
2018-08-31;18;37,8;925,475134;19,492339;5,9;2,457258;
2018-09-30;14;32,8;923,525278;20,22;8;2,912361;
2018-10-31;3;5,4;922,153091;22,466801;7,5;3,568952;
2018-11-30;4;6,2;921,659722;22,612083;7;3,544305;
2018-12-31;7;40,4;922,273253;22,871237;7,1;3,217742;
2019-01-31;12;34,2;923,01707;22,154435;7,1;2,301075;
2019-02-28;8;10,8;921,640625;23,784822;6,4;2,808333;
2019-03-31;15;80,8;921,98172;23,503495;7,3;2,74086;
2019-04-30;12;38;922,033333;22,877917;6,1;2,212361;
2019-05-31;19;47,6;922,577151;22,017339;5,4;1,94086;
2019-06-30;29;119,4;924,974444;20,0525;5,8;1,981111;
2019-07-31;25;158,8;924,869758;19,249866;5,4;2,009543;
2019-08-31;29;136,4;926,327957;18,796371;5,6;2,292339;
2019-09-30;18;30,8;924,527361;20,083611;7,2;2,66875;
2019-10-31;8;7;922,709274;21,512366;6,9;3,199597;
2019-11-30;1;,4;921,064444;22,96625;6,7;3,490278;
2019-12-31;2;6,6;921,333602;23,303629;7,4;3,45793;
2020-01-31;5;30,8;921,660215;23,707393;7,1;3,031452;
2020-02-29;11;60;921,856609;23,718965;8,5;2,672701;
2020-03-31;19;270;921,456452;23,374059;6,3;2,059678;
2020-04-30;17;130;922,420972;22,63375;4,4;1,710556;
2020-05-31;28;123,2;923,593548;21,503898;6,2;1,678091;
2020-06-30;27;178,6;924,195417;20,035278;6,6;1,94625;
2020-07-31;29;113,2;924,317742;18,97957;5,3;1,985753;
2020-08-31;27;81,6;924,659677;18,942608;5,5;2,162769;
2020-09-30;15;48,2;924,219722;19,655695;6,2;2,393611;
2020-10-31;8;6,4;922,393683;22,077688;9,2;3,348387;
2020-11-30;13;59,2;921,7;22,302917;6,2;3,169167;
2020-12-31;8;11;921,765591;22,405914;7,7;3,457393;
2021-01-31;13;30,4;921,334946;22,295968;6,2;2,982258;
2021-02-28;1;2,2;920,922173;23,339583;7,5;3,30253;
2021-03-31;15;107,6;921,311559;22,366801;5,9;2,635484;
2021-04-30;13;213,2;921,7525;22,004167;6,2;2,288472;
2021-05-31;28;157,8;923,313844;20,44328;5,3;1,627957;
2021-06-30;24;81,6;924,069306;19,393611;5,6;1,585556;
2021-07-31;27;105,8;925,365235;19,202299;4,4;1,695262;
2021-08-31;20;null;null;18,24519;4,3;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;25;316,6;923,411607;19,523512;5,5;1,273065;
2022-07-31;30;309,8;924,465457;18,812366;4,2;1,597581;
2022-08-31;25;122,2;924,710618;18,59328;5;1,807392;
2022-09-30;14;34,6;923,974167;19,796806;5,5;2,119583;
2022-10-31;11;38,2;922,748656;21,233871;5;2,46586;
2022-11-30;9;123,6;921,214825;22,036063;5,3;2,522753;
2022-12-31;5;null;null;null;5,9;null;
2023-01-31;5;18,4;921,747452;22,611344;5,1;2,772761;
2023-02-28;8;42,6;921,857887;22,489435;4,9;2,36622;
2023-03-31;14;66,8;921,83965;22,560753;6,3;1,970564;
2023-04-30;14;42;921,326667;22,407759;4;1,588948;
2023-05-31;20;128,8;923,079169;21,593583;5,5;1,876926;
2023-06-30;30;82;924,743611;19,921806;5,1;1,907083;
2023-07-31;31;19,2;925,572581;19,400269;5,1;2,061425;
2023-08-31;22;4,4;924,445833;20,005376;7,3;2,602016;
2023-09-30;2;,4;924,099861;20,269861;7,1;2,896528;
2023-10-31;2;null;null;null;null;null;

