Nome: ESPERANTINA
Codigo Estacao: A338
Latitude: -3.89944444
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2007-12-02
Data Final: 2018-11-19
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-12-31;8;71,8;998,7875;28,309077;8,8;1,963542;
2008-01-31;21;270,6;999,300403;26,661828;7,6;1,536962;
2008-02-29;18;262,6;1000,52523;26,430804;8,4;1,310259;
2008-03-31;29;544,2;1000,457135;25,214218;5,9;,891503;
2008-04-30;25;297,6;999,705972;25,584306;5,3;1,077083;
2008-05-31;17;156,2;1000,964025;26,089212;6,1;1,03331;
2008-06-30;12;44,4;1002,042885;26,036717;3,9;1,10538;
2008-07-31;6;15,4;1002,810484;26,325941;4,9;1,288172;
2008-08-31;5;17,2;1000,983871;27,23293;4,3;1,618683;
2008-09-30;3;12,8;1001,015694;28,235139;5,4;1,950833;
2008-10-31;3;3,4;999,889919;29,258737;5,9;2,287634;
2008-11-30;2;7;998,619583;29,476944;5,9;2,353889;
2008-12-31;7;41,2;998,746371;28,977016;7,6;2,016398;
2009-01-31;20;59,2;1000,196365;27,317152;5,3;1,778407;
2009-02-28;21;375,6;999,79494;26,108482;6,3;1,378125;
2009-03-31;27;291,8;999,958468;25,825672;5,9;1,23629;
2009-04-30;25;317,4;1001,316944;25,620417;6,1;1,090833;
2009-05-31;28;634,8;1001,490188;25,525672;4,8;,960887;
2009-06-30;19;136;1002,429305;25,897222;4,1;1,055833;
2009-07-31;8;null;null;25,941009;4,6;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;3;null;999,370139;28,537326;4,8;2,249826;
2009-11-30;6;81,6;998,875833;28,670694;5;2,060278;
2009-12-31;8;32,2;999,64785;28,423925;5,1;1,788441;
2010-01-31;16;172,2;1000,145613;27,112647;4,9;1,357906;
2010-02-28;11;140;999,163542;27,793601;4,8;1,372321;
2010-03-31;18;229,8;1000,004167;27,380914;6,1;1,330511;
2010-04-30;23;288,8;999,971944;27,049583;6,3;1,05625;
2010-05-31;15;79,6;1000,441532;27,31922;4,6;1,100672;
2010-06-30;5;80,8;1002,476667;26,710139;5,6;1,134028;
2010-07-31;3;14,4;1002,081183;27,197177;3,9;1,390591;
2010-08-31;1;,6;1001,961575;27,909964;4,5;1,600931;
2010-09-30;1;7,6;1000,298195;28,716806;5,7;1,742657;
2010-10-31;1;null;null;29,326875;5,8;null;
2010-11-30;1;null;null;null;null;null;
2010-12-31;11;168,8;998,02043;27,46922;5;1,41586;
2011-01-31;19;380;999,037231;25,863306;5;1,168683;
2011-02-28;13;null;null;25,983333;5,6;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;14;null;null;25,326652;5,4;null;
2011-05-31;20;303,8;1000,540323;26,20578;4,1;,83414;
2011-06-30;9;99,6;1001,880972;26,018611;4;,915556;
2011-07-31;8;58,8;1002,001479;26,004435;5,3;1,018952;
