Nome: APODI
Codigo Estacao: A340
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.41
Situacao: Operante
Data Inicial: 2007-11-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;null;null;null;null;null;
2007-12-31;1;1,2;995,475298;28,890774;9,1;3,983631;
2008-01-31;9;106,8;995,243548;28,403091;8,8;3,372043;
2008-02-29;7;25,8;996,351638;28,269048;9,5;2,992385;
2008-03-31;22;265;995,915784;26,483649;7,5;1,991719;
2008-04-30;20;341,6;995,597083;25,903889;10;1,723194;
2008-05-31;16;122,4;997,164528;25,828372;7,1;1,871798;
2008-06-30;9;76;998,638134;25,181347;6,2;2,312736;
2008-07-31;7;28;999,729032;25,665457;6,7;2,646909;
2008-08-31;5;14,8;998,068817;26,925;7,9;3,158737;
2008-09-30;1;2,2;998,296667;27,983195;8;3,561389;
2008-10-31;0;0;997,264113;28,822849;8,9;3,926344;
2008-11-30;0;0;995,712778;28,789861;8,4;3,845556;
2008-12-31;0;0;995,349059;28,878495;8,4;3,672312;
2009-01-31;5;83;996,293817;28,455376;8,7;3,308737;
2009-02-28;16;176,6;995,848363;26,713393;9,5;2,328423;
2009-03-31;15;117,2;995,760887;26,421371;7,9;1,987097;
2009-04-30;24;433,8;996,925972;25,944306;7;1,544583;
2009-05-31;21;182,4;997,249866;25,771505;6,3;1,514785;
2009-06-30;14;96,8;998,822917;25,425833;6,7;2,01125;
2009-07-31;9;23,8;999,469437;25,278921;6,4;2,263727;
2009-08-31;5;111;999,0875;25,761559;6,4;2,655645;
2009-09-30;1;,8;999,054306;26,85625;6,8;2,93375;
2009-10-31;null;0;996,695977;27,566236;7,6;3,435632;
2009-11-30;0;0;996,027639;28,385139;7,4;3,753472;
2009-12-31;3;18,6;996,252151;28,564785;8,6;3,412366;
2010-01-31;11;165,4;996,54664;27,528333;7;2,45722;
2010-02-28;6;53,4;995,763244;28,206399;7,9;2,725595;
2010-03-31;9;48,8;996,065188;28,870027;10,3;2,618817;
2010-04-30;21;234,4;996,085;27,344167;14,5;1,887222;
2010-05-31;4;21,4;996,662903;27,833602;6,8;2,040726;
2010-06-30;4;28,2;998,985556;27,458472;8,5;2,794583;
2010-07-31;4;4;998,940726;27,858333;9,3;3,448118;
2010-08-31;1;,2;999,238575;28,180511;7,8;3,967876;
2010-09-30;null;null;null;null;8,5;null;
2010-10-31;3;null;null;null;7,8;null;
2010-11-30;0;0;995,25125;29,059861;8,6;3,766528;
2010-12-31;5;57;994,497312;27,911828;8,4;2,89086;
2011-01-31;15;141,6;995,008468;27,097715;8,8;2,136425;
2011-02-28;12;293;995,825744;26,43869;7,7;1,895089;
2011-03-31;14;121,2;995,782773;26,285489;6,8;1,493945;
2011-04-30;22;241,2;996,111667;25,823333;8,1;1,475695;
2011-05-31;17;215;996,913447;25,713745;7,2;1,743689;
2011-06-30;9;30,6;998,443056;25,897222;6,2;1,862361;
2011-07-31;11;128,2;998,870161;25,635349;7,3;2,627151;
2011-08-31;4;22;999,304167;26,229167;7,3;2,729301;
2011-09-30;0;0;999,044861;27,900556;8,2;3,642639;
2011-10-31;2;49;996,018548;27,945027;7,6;3,21707;
2011-11-30;4;4;995,98875;28,253472;7,8;3,244444;
2011-12-31;1;,2;996,200403;28,37164;8,2;3,588306;
2012-01-31;8;137,8;996,377858;28,012512;8,1;3,23241;
2012-02-29;8;141;996,01954;26,996839;7,4;2,386925;
2012-03-31;8;43,2;996,678091;27,258871;9,3;2,395027;
2012-04-30;3;12,8;996,382639;28,324583;7,4;2,550139;
2012-05-31;0;0;997,655154;28,456153;7,2;2,919536;
2012-06-30;8;4,2;999,064541;27,861908;7,5;2,943358;
2012-07-31;2;9,4;999,155645;27,77164;7,8;3,56035;
2012-08-31;0;0;999,99262;28,091459;8,5;4,152652;
2012-09-30;0;0;999,647222;28,178056;7,7;3,792639;
2012-10-31;0;0;997,054517;28,651601;8,5;3,969016;
2012-11-30;1;,2;996,143194;28,521111;9;4,047083;
2012-12-31;0;0;995,631855;29,125134;8,8;3,934946;
2013-01-31;3;14,4;996,629973;29,262366;10,3;3,702016;
2013-02-28;5;16,4;995,87872;29,576786;9;3,73631;
2013-03-31;9;39;996,420378;29,576923;8,8;3,512066;
2013-04-30;null;null;null;null;7,2;null;
2013-05-31;7;null;null;26,793873;5,6;null;
2013-06-30;8;103,2;999,166402;26,253472;6,3;2,156768;
2013-07-31;7;13,6;1000,045944;26,329663;6,9;2,502828;
2013-08-31;2;1,6;998,666936;27,815323;7,3;3,238306;
2013-09-30;0;0;998,574444;28,478194;7,5;3,896667;
2013-10-31;1;1;997,637769;28,735484;8,4;4,127554;
2013-11-30;3;27,6;995,930139;28,441944;9,2;3,728056;
2013-12-31;3;11,8;996,553629;28,459946;8,3;3,892876;
2014-01-31;8;14,2;996,740995;28,752688;9,3;3,528226;
2014-02-28;9;78,6;996,009226;28,354316;9,3;3,073958;
2014-03-31;14;93;996,938172;28,108737;9,6;2,715188;
2014-04-30;8;160,6;997,390894;27,53314;7,1;1,932597;
2014-05-31;17;139,4;998,263978;26,481452;6,7;1,76129;
2014-06-30;6;33,8;998,796389;27,162639;8,3;2,424722;
2014-07-31;null;null;1000,807527;27,295027;7,4;2,574597;
2014-08-31;null;null;999,819624;28,086962;7,5;3,472715;
2014-09-30;3;4,8;999,037361;28,280694;8,7;3,795417;
2014-10-31;0;0;997,853898;28,99664;8,4;4,142339;
2014-11-30;2;3,8;996,845139;28,338889;8,8;3,639444;
2014-12-31;0;0;997,05457;28,886559;9,3;4,155108;
2015-01-31;0;0;997,596727;29,01534;8,6;3,708117;
2015-02-28;null;null;null;null;8,5;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;3;null;998,005401;28,700926;6,6;2,794599;
2015-06-30;6;15,6;999,631111;27,811944;7,3;2,901667;
2015-07-31;null;null;999,868952;27,665323;8,2;3,483871;
2015-08-31;null;0;999,446774;28,144758;8,5;3,779301;
2015-09-30;0;0;998,799861;28,350972;8,4;3,795;
2015-10-31;0;0;998,284543;28,674597;9,1;3,919624;
2015-11-30;null;null;null;28,913194;9,2;null;
2015-12-31;4;15,2;997,766821;29,265895;9,2;3,678395;
2016-01-31;18;284,4;997,827688;27,264113;9;2,321102;
2016-02-29;9;43,2;997,311782;27,625144;6,6;2,002155;
2016-03-31;8;70,4;997,447622;28,989837;8,9;2,358807;
2016-04-30;9;38,4;997,304722;28,383889;7,7;2,394167;
2016-05-31;7;28;998,734409;28,777822;7;2,426075;
2016-06-30;1;,2;1000,029082;28,353269;7,7;2,67507;
2016-07-31;null;null;null;null;8,2;null;
2016-08-31;1;2;999,509545;28,341432;7,8;3,306316;
2016-09-30;0;0;998,929444;28,768611;8,8;3,647361;
2016-10-31;null;null;996,950321;29,273077;8,7;3,725321;
2016-11-30;null;null;null;null;8,6;null;
2016-12-31;3;null;null;28,889706;8,4;null;
2017-01-31;4;15,2;996,43414;29,226613;9,2;2,461694;
2017-02-28;10;207,4;996,58957;28,157752;8,7;2,376623;
2017-03-31;15;114,8;997,309037;27,159526;11,4;1,161161;
2017-04-30;10;138,6;997,25037;27,316745;6,6;1,653393;
2017-05-31;4;null;null;27,966295;6,7;null;
2017-06-30;5;null;998,615428;27,93328;7,1;2,486138;
2017-07-31;6;34,6;1001,091264;26,867681;8,4;2,906073;
2017-08-31;1;2,8;999,286425;28,218952;7,1;2,582258;
2017-09-30;0;0;999,244602;28,854149;8;3,193937;
2017-10-31;1;3,4;997,181446;29,190112;8,7;2,532246;
2017-11-30;1;,6;996,149444;28,761528;8,7;1,672778;
2017-12-31;0;0;996,145161;29,155107;8,4;1,391935;
2018-01-31;6;22,2;996,446102;28,430108;8,9;1,140726;
2018-02-28;15;68,2;996,34901;27,717029;8,8;,577226;
2018-03-31;9;120,8;996,664264;28,122288;7,3;,326315;
2018-04-30;16;null;997,64583;26,256715;6,8;,074869;
2018-05-31;4;null;null;null;4,1;null;
2018-06-30;2;null;null;null;4,5;null;
2018-07-31;4;2,2;999,71533;27,064975;7,2;,542419;
2018-08-31;null;null;1000,018991;27,666796;6,7;,729747;
2018-09-30;2;null;997,717853;28,475362;7,6;,876475;
2018-10-31;1;null;996,994551;28,796293;8,2;,964839;
2018-11-30;1;4,4;995,974569;29,515661;8,4;1,180172;
2018-12-31;5;55,8;997,149866;28,721102;8,3;,679032;
2019-01-31;11;62,8;997,652001;27,938977;7,1;,330289;
2019-02-28;2;null;null;null;7,5;null;
2019-03-31;3;null;null;null;7,1;null;
2019-04-30;8;null;null;26,45829;8,1;null;
2019-05-31;1;null;null;null;6,3;null;
2019-06-30;1;null;null;26,812749;7;null;
2019-07-31;3;null;null;null;7;null;
2019-08-31;null;0;1000,814332;27,77697;6,7;3,409925;
2019-09-30;1;,2;998,859722;28,381111;7,3;3,381528;
2019-10-31;null;0;997,051036;28,937396;8,1;3,612292;
2019-11-30;null;0;995,629365;29,403161;8,3;3,745615;
2019-12-31;0;0;995,954435;29,694086;8,4;3,775672;
2020-01-31;7;72,4;996,897472;28,570415;8,4;2,876952;
2020-02-29;18;117,8;996,913153;27,566961;7;2,121735;
2020-03-31;14;null;996,90473;26,87835;8,6;1,562007;
2020-04-30;6;null;null;null;6,4;null;
2020-05-31;2;null;null;null;5;null;
2020-06-30;4;null;null;26,031268;6;null;
2020-07-31;8;15,8;999,098472;25,873056;6,2;2,477796;
2020-08-31;0;0;998,907217;27,179219;6,9;2,83525;
2020-09-30;null;0;998,530552;28,043401;7;3,241865;
2020-10-31;0;0;997,096618;28,742526;7,5;3,300937;
2020-11-30;2;3,4;996,244903;29,225646;7,7;3,304481;
2020-12-31;null;null;996,301747;29,290995;8,1;3,55336;
2021-01-31;2;4,2;995,915908;29,225681;8,4;3,290531;
2021-02-28;null;null;996,067794;28,525504;7,6;2,861187;
2021-03-31;null;null;null;null;6,8;null;
2021-04-30;null;null;null;null;7,6;null;
2021-05-31;null;null;null;null;6;null;
2021-06-30;null;null;998,568125;null;5,1;1,85528;
2021-07-31;null;null;999,900953;27,499031;7,1;2,659755;
2021-08-31;null;null;null;null;6,4;null;
2021-09-30;null;null;null;null;6,8;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;1;null;null;27,361458;6,9;null;
2022-09-30;1;4;998,209722;27,911944;7,5;3,145;
2022-10-31;1;5,2;996,95578;28,718414;7,6;3,483602;
2022-11-30;5;38;996,301944;28,305833;7,7;2,969167;
2022-12-31;4;5,4;996,156989;28,298656;7,8;3,165591;
2023-01-31;3;9,2;996,72957;28,519758;9;3,144892;
2023-02-28;14;91,8;996,532441;28,053423;8;2,36369;
2023-03-31;18;314,6;996,927688;26,826613;7,6;1,988441;
2023-04-30;15;148;996,468333;26,343195;7,3;1,648889;
2023-05-31;12;86;997,905645;26,887097;6,5;1,811559;
2023-06-30;9;44,2;999,426111;26,848194;6,1;2,220833;
2023-07-31;4;37;1000,134677;27,062097;7,4;2,555242;
2023-08-31;0;0;999,08414;27,835887;6,9;2,941532;
2023-09-30;0;0;998,417639;28,638611;7,3;3,4025;
2023-10-31;null;null;null;null;null;null;

