Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2008-12-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-12-31;null;null;null;null;6,1;null;
2009-01-31;null;null;null;null;6,7;null;
2009-02-28;11;null;null;25,442448;5,5;null;
2009-03-31;22;133,6;977,067742;25,449597;6,6;1,598656;
2009-04-30;25;529;978,343889;25,083472;4,7;1,405833;
2009-05-31;25;188,2;978,646505;25,223656;4,9;1,338575;
2009-06-30;9;8;979,94;25,150972;4,4;1,673889;
2009-07-31;7;17,6;980,360484;25,300269;5,1;1,933871;
2009-08-31;4;20;979,763575;26,461694;5,6;2,112903;
2009-09-30;3;3;979,481806;28,264861;6,3;2,636111;
2009-10-31;1;,2;977,14569;28,953879;5,6;2,520402;
2009-11-30;1;,8;976,496528;29,508611;5,9;3,004306;
2009-12-31;5;4;976,978629;29,241935;6,4;2,821505;
2010-01-31;11;84,6;977,480572;27,423082;5,2;1,957234;
2010-02-28;5;12,8;976,535268;29,293155;6,3;2,660417;
2010-03-31;9;73,6;977,026613;29,077285;7,6;2,170785;
2010-04-30;6;null;null;null;7,5;null;
2010-05-31;4;8,6;977,627997;null;8,1;1,803922;
2010-06-30;5;4,2;979,831448;27,946875;5;2,333131;
2010-07-31;1;3;979,597849;28,509812;5,5;2,350403;
2010-08-31;1;,2;979,739064;28,690127;5,4;2,334813;
2010-09-30;0;0;978,270417;29,300556;5,9;2,58253;
2010-10-31;3;31,6;977,305242;29,392473;5,2;2,38712;
2010-11-30;1;,2;975,8225;29,714861;5,2;2,480195;
2010-12-31;9;131,2;975,477823;27,563575;5,9;2,02552;
2011-01-31;16;195,8;976,268145;25,864247;5,5;1,62985;
2011-02-28;14;122,6;977,065179;25,7;5,8;1,626372;
2011-03-31;15;150,8;977,094357;25,553248;5,5;1,56566;
2011-04-30;14;204,8;977,443472;25,584167;4,4;1,543472;
2011-05-31;15;192;978,10672;25,46707;5,1;1,580242;
2011-06-30;3;13,6;979,423889;25,694306;4,7;1,765574;
2011-07-31;6;null;979,64664;25,71707;5,4;1,962769;
2011-08-31;null;null;979,802016;27,287903;6;1,975537;
2011-09-30;1;null;979,492361;28,746111;5,4;2,194745;
2011-10-31;3;20,6;976,559946;28,902285;5,3;2,299893;
2011-11-30;2;41,6;976,661111;28,469861;5,5;2,396274;
2011-12-31;0;0;976,60914;29,252957;5,9;2,536407;
2012-01-31;5;58,4;977,049731;28,435215;6,7;2,448253;
2012-02-29;15;45,6;976,953448;27,073419;6;2,020259;
