Nome: PICOS
Codigo Estacao: A343
Latitude: -7.0711111
Longitude: -41.40416666
Altitude: 232.91
Situacao: Operante
Data Inicial: 2008-12-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-12-31;4;null;null;28,814181;6,1;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;6;null;null;null;null;null;
2009-04-30;21;218,2;985,254028;25,262639;5,6;1,407083;
2009-05-31;12;67,4;985,844624;25,432392;5,4;1,426613;
2009-06-30;4;16,4;987,255833;25,244861;6,6;1,861806;
2009-07-31;1;5,2;987,512769;26,246505;5,8;2,23293;
2009-08-31;1;,2;986,836425;27,937231;6,8;2,768952;
2009-09-30;1;,2;985,825278;30,221389;7,5;2,685556;
2009-10-31;4;14,6;983,481178;30,285776;6,9;2,382328;
2009-11-30;4;4;982,75125;31,213194;7,1;2,638889;
2009-12-31;12;103;983,79664;28,759946;6,1;2,104704;
2010-01-31;15;80,4;984,460484;27,14868;5,5;1,834213;
2010-02-28;7;87,6;983,578125;28,667708;6,2;2,115625;
2010-03-31;12;186,6;984,075;27,747043;5,1;1,634543;
2010-04-30;11;116;984,5875;26,607222;5,2;1,505;
2010-05-31;2;,8;984,816264;27,44664;5,1;1,782258;
2010-06-30;2;12,8;987,675833;26,825278;7;2,49125;
2010-07-31;1;1;987,62379;27,100806;6,7;2,744238;
2010-08-31;null;0;987,624227;27,728364;7,1;null;
2010-09-30;0;0;985,847639;29,294028;6,7;null;
2010-10-31;12;89,2;983,835618;30,314247;7,1;2,42381;
2010-11-30;6;35;982,359444;29,766111;null;null;
2010-12-31;10;119,4;982,290591;27,32043;null;null;
2011-01-31;11;48,8;983,010081;26,766263;null;null;
2011-02-28;16;242,8;983,978423;25,94122;6,4;null;
2011-03-31;16;168,6;983,878093;25,867938;6,6;1,43679;
2011-04-30;10;71;984,434861;25,910278;null;null;
2011-05-31;3;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
