Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2008-09-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;null;null;null;null;null;
2008-10-31;0;0;975,477151;27,299597;9,1;4,335349;
2008-11-30;0;0;972,525139;29,563472;7,8;3,804722;
2008-12-31;8;69;972,402823;28,317473;10,3;2,974194;
2009-01-31;5;96,8;973,32285;28,241935;7;2,944355;
2009-02-28;10;101;972,929018;27,108333;7,8;2,373363;
2009-03-31;10;35;972,464785;27,890726;6;2,426478;
2009-04-30;16;151,6;974,010278;26,183889;6,3;2,030833;
2009-05-31;20;65,4;975,182527;24,81707;6,9;2,336425;
2009-06-30;11;28,6;977,096504;23,933219;6,8;2,617748;
2009-07-31;9;7,2;977,716532;24,115323;7;3,112903;
2009-08-31;10;17,8;977,472581;24,294892;7,8;3,559005;
2009-09-30;1;,2;976,632778;26,704861;7,6;3,717639;
2009-10-31;3;3,8;973,30704;28,592385;7,4;3,335776;
2009-11-30;3;8,2;972,997222;28,860694;8;3,695417;
2009-12-31;8;41,4;973,363038;28,516667;8,1;3,224866;
2010-01-31;10;123,4;973,876613;27,261559;6,8;2,574194;
2010-02-28;7;45;973,5125;27,936905;8,5;2,935417;
2010-03-31;8;50,6;973,241532;28,886962;6,6;2,661425;
2010-04-30;10;145,4;974,028472;26,997778;6,9;2,636389;
2010-05-31;4;27,4;974,753091;26,61828;7,4;2,78414;
2010-06-30;9;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;7;null;null;27,7425;7,2;null;
2010-11-30;2;,8;972,941667;29,068056;6,8;2,975;
2010-12-31;12;216,4;972,069758;27,953629;6,5;2,491129;
2011-01-31;8;73,4;972,875134;27,386559;9;2,548522;
2011-02-28;9;55,6;973,571131;27,61875;7,9;2,569494;
2011-03-31;11;69,6;973,228172;27,96756;6,9;2,197312;
2011-04-30;8;31,4;974,265694;27,015972;6,1;2,693333;
2011-05-31;15;49,8;975,80118;25,252408;7,5;2,948405;
2011-06-30;6;14,8;977,452534;24,775355;8;2,872692;
2011-07-31;10;14,6;977,995932;23,720076;8,2;3,226526;
2011-08-31;4;20,4;978,322694;24,858914;6,9;3,367235;
2011-09-30;5;null;978,731214;25,117754;7,6;4,006694;
2011-10-31;2;9;974,137366;27,610618;7,7;3,534812;
2011-11-30;5;23,4;974,005417;27,895972;8,3;3,479167;
2011-12-31;1;1,2;973,546488;29,45935;7,2;3,358298;
2012-01-31;2;null;null;null;7,6;null;
2012-02-29;5;null;null;null;7,2;null;
2012-03-31;5;31,2;974,500495;28,391111;7,6;3,295211;
2012-04-30;1;,6;974,640556;28,241806;7;3,309722;
2012-05-31;2;4,8;976,432994;26,881078;7,8;3,35658;
2012-06-30;3;5,6;977,991111;25,874722;7,4;3,358056;
2012-07-31;11;9,8;978,696102;24,091129;7,5;3,477419;
2012-08-31;12;10,2;979,92548;23,935556;8,5;3,846659;
2012-09-30;2;,8;978,682083;26,066806;8,2;3,896667;
2012-10-31;1;,2;975,756586;27,285081;7,9;3,974328;
2012-11-30;4;5,8;973,0875;30,004583;7,7;3,170278;
2012-12-31;1;8,2;973,312231;29,598925;7,4;3,374462;
2013-01-31;5;44,2;974,272312;29,143279;7,5;2,934005;
2013-02-28;0;0;973,885119;29,463542;8,2;3,636161;
2013-03-31;1;7,6;974,1875;29,878736;7,6;3,183944;
2013-04-30;7;36;974,963056;28,535;7,2;3,059306;
2013-05-31;6;7,2;976,346505;26,742339;8,1;3,008602;
2013-06-30;6;4,4;977,374389;26,111351;6,8;3,050389;
2013-07-31;10;31,2;978,822131;24,534379;7,5;3,25076;
2013-08-31;3;2,4;978,20336;25,071909;7,8;3,665591;
2013-09-30;0;0;977,386111;26,841111;7,9;3,787639;
2013-10-31;3;15,4;975,896102;27,956989;8,3;3,818952;
2013-11-30;3;,8;973,760417;28,508333;8,4;3,543889;
2013-12-31;9;185;973,635349;28,856989;7,3;2,739785;
2014-01-31;2;1;974,882393;28,720968;7,4;3,406855;
2014-02-28;5;68,4;974,023214;28,114732;7,6;2,983631;
2014-03-31;null;null;974,605108;28,45914;7,2;2,765457;
2014-04-30;5;64,4;975,129861;27,561806;6,4;2,471806;
2014-05-31;10;26;976,235618;25,634946;6,7;2,531586;
2014-06-30;7;5,4;977,816518;25,374851;6,7;2,936309;
2014-07-31;11;32;980,040167;24,524425;7,3;3,116694;
2014-08-31;7;11,8;979,4375;24,368548;7,9;3,475806;
2014-09-30;2;1,8;977,808889;26,5;7,7;3,708472;
2014-10-31;6;2,2;976,691129;27,172984;8,3;3,940995;
2014-11-30;6;50,4;974,417142;28,510339;7;3,122317;
2014-12-31;4;24,4;974,923011;28,295284;6,4;2,905235;
2015-01-31;3;1,4;975,57662;28,928448;8,6;3,336435;
2015-02-28;6;null;974,893645;28,532926;6,9;2,820412;
2015-03-31;8;36,6;974,554167;28,907661;7,2;2,777823;
2015-04-30;4;21,6;974,868611;28,777778;7,7;2,48125;
2015-05-31;7;8,6;976,393683;27,639516;7,3;2,958737;
2015-06-30;11;8;978,835694;25,191389;7,1;3,007083;
2015-07-31;10;14,2;979,175538;24,761828;7,7;3,332527;
2015-08-31;5;3,4;978,851613;25,253898;7,4;3,549866;
2015-09-30;0;0;977,100139;27,489167;7,5;3,451806;
2015-10-31;0;0;976,367608;28,535081;8,1;3,686425;
2015-11-30;1;,2;973,717222;30,714167;7;3,129167;
2015-12-31;6;48,4;975,528226;29,431183;8,6;3,25914;
2016-01-31;19;130,2;974,974597;27,395027;8,1;2,129704;
2016-02-29;8;58,4;975,575144;27,869109;7;2,772558;
2016-03-31;5;39,4;975,508871;29,570968;7;3,261425;
2016-04-30;null;null;null;null;7,9;null;
2016-05-31;6;null;null;26,607108;8;null;
