Nome: SAO LUIS DO QUITUNDE
Codigo Estacao: A356
Latitude: -9.28749999
Longitude: -35.56583333
Altitude: 13.69
Situacao: Operante
Data Inicial: 2008-09-07
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;9;null;null;24,364881;5,4;null;
2008-10-31;19;87,2;1013,607796;24,739651;5,7;1,909274;
2008-11-30;8;7,8;1011,120972;25,786667;5,7;2,148333;
2008-12-31;6;17,6;1010,209005;26,404839;5,3;2,144758;
2009-01-31;11;38,6;1010,926467;26,620196;5,8;2,060209;
2009-02-28;16;341;1010,193304;26,151488;4,9;1,703274;
2009-03-31;8;71;1009,558333;26,671237;5,2;1,671505;
2009-04-30;18;213,6;1010,603472;26,495833;5;1,460833;
2009-05-31;27;420,4;1011,401613;25,188575;6,2;1,274597;
2009-06-30;29;295;1013,681111;24,189306;4,8;1,394167;
2009-07-31;30;274,4;1014,660349;23,711021;5;1,429167;
2009-08-31;31;329;1014,59086;23,570027;5,1;1,519624;
2009-09-30;19;63,2;1014,604861;24,422778;5,7;1,714306;
2009-10-31;8;10,2;1011,3375;25,649425;5,5;2,063657;
2009-11-30;9;28,2;1011,331945;25,88625;6,2;2,109167;
2009-12-31;10;20,8;1011,192608;26,567473;6,4;2,038307;
2010-01-31;19;86,2;1011,233525;26,181667;5,4;1,667415;
2010-02-28;20;140,4;1010,774554;26,604762;4,8;1,61875;
2010-03-31;12;82,6;1010,394758;26,930511;5;1,582124;
2010-04-30;23;268,8;1010,625;26,554861;5;1,473611;
2010-05-31;23;81;1011,528226;25,745161;4;1,293952;
2010-06-30;26;577,2;1014,154167;24,775556;5,1;1,610556;
2010-07-31;30;218,8;1014,834543;23,65578;5,2;1,64879;
2010-08-31;30;175,2;1015,848533;22,980967;5,8;1,655628;
2010-09-30;24;114,6;1014,523611;23,523333;5,9;1,869971;
2010-10-31;10;23,2;1011,983871;25,169355;5,1;1,825806;
2010-11-30;11;8,2;1010,563056;25,825139;5,9;2,14375;
2010-12-31;13;23;1009,025269;26,486156;5,4;2,112903;
2011-01-31;17;119;1009,517339;26,061962;5,1;1,859274;
2011-02-28;18;95,6;1010,191078;26,030131;4,8;1,61886;
2011-03-31;10;112,6;1009,488952;26,788763;5;1,636948;
2011-04-30;19;null;1010,289025;25,4375;5;1,38954;
2011-05-31;28;529;1011,702151;25,070161;4,5;1,506586;
2011-06-30;4;null;null;null;5,3;null;
2011-07-31;null;null;null;null;5,8;null;
2011-08-31;2;null;null;null;5,2;null;
2011-09-30;24;117,8;1015,733194;23,691389;5,3;1,832361;
2011-10-31;20;53,8;1011,533871;24,739919;5,2;1,792339;
2011-11-30;17;66,2;1011,365417;25,290556;5,4;1,978333;
2011-12-31;3;,6;1011,138441;26,121102;5,6;2,19879;
2012-01-31;14;71;1011,503898;25,67957;5,5;1,968817;
2012-02-29;12;126,2;1011,137069;25,704454;5,2;1,865661;
2012-03-31;13;72,2;1011,728935;25,686782;5,2;1,725648;
2012-04-30;16;64,8;1011,598333;25,238056;4,6;1,557222;
2012-05-31;16;118,6;1013,205914;24,940323;5,4;1,579301;
2012-06-30;27;218;1014,726528;23,893611;5,1;1,422361;
2012-07-31;30;213,8;1015,263306;23,079032;4,9;1,474059;
2012-08-31;27;155,4;1016,754723;22,775556;5,4;1,76634;
2012-09-30;18;28,6;1016,147917;23,462361;5,1;1,766111;
2012-10-31;19;40,8;1013,390457;24,530914;5,3;1,987366;
2012-11-30;8;7,6;1010,935556;25,855302;5,9;2,371993;
2012-12-31;13;27,6;1010,843414;26,257527;5,9;2,195833;
2013-01-31;14;93,6;1011,493279;26,660753;6,1;2,189113;
2013-02-28;12;55,4;1011,1;26,749702;6;2,09628;
2013-03-31;11;65,6;1011,075625;26,947994;5,4;1,911339;
2013-04-30;14;null;1011,283974;26,272756;5,1;1,649359;
2013-05-31;23;242;1012,628763;25,063038;5,2;1,360618;
2013-06-30;28;179,8;1013,761869;24,241641;5,4;1,345025;
2013-07-31;30;177,6;1015,127151;23,569489;5;1,457796;
2013-08-31;16;12,2;1014,887231;23,528629;5,4;1,653629;
2013-09-30;null;null;1014,819167;23,971667;5,5;1,809306;
2013-10-31;18;117,8;1013,467876;24,714516;5,6;1,951478;
2013-11-30;18;143,4;1011,356667;24,991389;5,4;1,96;
2013-12-31;10;29,6;1011,015323;26,002151;6,2;2,180914;
2014-01-31;13;66,8;1012,060618;25,708065;5,3;1,925403;
2014-02-28;17;98,2;1010,854762;25,831994;5,5;1,754018;
2014-03-31;20;79,8;1011,401344;26,159005;4,9;1,734812;
2014-04-30;null;null;1011,361806;26,249028;6;1,648194;
2014-05-31;null;null;1012,273656;24,885484;5,2;1,39207;
