Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;3;null;null;null;null;null;
2008-10-31;18;50,8;995,643683;24,423522;7,3;2,504704;
2008-11-30;5;4,6;993,333418;25,633829;6,7;2,546872;
2008-12-31;8;11,2;992,496909;26,272312;7;2,451478;
2009-01-31;8;30,2;993,190591;26,655779;6,7;2,552151;
2009-02-28;15;112,4;992,508036;25,774256;7,3;2,133036;
2009-03-31;7;31,6;991,96707;26,547984;6,2;2,06586;
2009-04-30;21;239;993,008611;25,961111;6,6;1,780833;
2009-05-31;27;284;993,646371;24,818817;7,1;1,75215;
2009-06-30;28;243,8;995,770139;23,634444;6,5;2,002222;
2009-07-31;29;222,2;996,671909;23,008737;6,9;1,975538;
2009-08-31;27;199;996,549328;23,081317;7;2,086425;
2009-09-30;17;51,4;996,677639;24,158611;6,4;2,07875;
2009-10-31;5;10,2;993,661413;25,332865;6,2;2,207933;
2009-11-30;14;29,2;993,538194;25,526667;7,1;2,382778;
2009-12-31;10;63,6;993,451479;26,177688;6,8;2,243011;
2010-01-31;22;129,2;993,515995;25,40892;6,2;1,957649;
2010-02-28;17;108;993,044345;26,121429;7,1;2,077827;
2010-03-31;12;63;992,754973;26,742204;6;1,953898;
2010-04-30;20;134,2;992,919028;26,234444;7,3;1,973537;
2010-05-31;17;6;993,779167;25,56371;6,6;1,95133;
2010-06-30;10;2;996,255278;24,150972;7;2,118063;
2010-07-31;13;78,6;996,81828;22,933333;8,5;2,259274;
2010-08-31;26;126,4;997,784493;22,175073;7,4;2,359855;
2010-09-30;21;108,8;996,45625;22,957917;7,9;2,412639;
2010-10-31;9;18,6;994,132124;25,024731;6,7;2,149866;
2010-11-30;10;7,2;992,756111;25,64875;6,5;2,3;
2010-12-31;10;11,8;991,297177;26,392473;7,2;2,371774;
2011-01-31;18;75,4;991,74664;25,886425;7,9;2,325269;
2011-02-28;13;99,6;992,466964;25,837202;6;2,16503;
2011-03-31;10;51,6;991,874152;26,516941;6,2;1,964461;
2011-04-30;22;227;992,591111;25,358194;8,1;1,946887;
2011-05-31;28;566;993,864113;24,168548;6,7;1,970699;
2011-06-30;22;179;995,681805;23,593472;6,6;2,029861;
2011-07-31;31;334;996,389247;22,329032;7,2;2,212804;
2011-08-31;22;99,4;997,068145;22,865591;6,9;2,227443;
2011-09-30;21;47,6;997,554306;23,145278;7,4;2,496389;
2011-10-31;21;31,6;993,588844;24,527419;6,3;2,181048;
2011-11-30;15;87,2;993,459306;24,983333;6,2;2,198889;
2011-12-31;7;12,2;993,34785;25,914247;6,4;2,361022;
2012-01-31;5;5,2;993,656452;25,397446;6,9;2,302016;
2012-02-29;9;167,4;993,26954;25,366667;7;2,360058;
2012-03-31;13;42,8;993,817876;25,636962;6,2;2,225941;
2012-04-30;11;45,6;993,743056;25,571528;6,4;2,096111;
2012-05-31;15;85;995,301613;25,142339;6,5;2,171774;
2012-06-30;27;196,8;996,804861;23,520833;7,1;1,975972;
