Nome: ITAPIPOCA
Codigo Estacao: A359
Latitude: -3.48416666
Longitude: -39.5886111
Altitude: 104.49
Situacao: Operante
Data Inicial: 2008-09-04
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;3;null;1000,724667;28,063833;8,1;4,878;
2008-10-31;1;1;999,626882;28,401478;9,2;5,230511;
2008-11-30;1;null;998,258626;28,294413;8,7;5,172894;
2008-12-31;1;null;997,780435;28,573188;8,2;4,750181;
2009-01-31;13;126,2;999,047616;27,527408;8,3;3,751999;
2009-02-28;20;236,8;998,424107;26,55997;8,3;2,880655;
2009-03-31;30;429,8;998,802285;25,690995;5,7;1,864785;
2009-04-30;30;478,2;999,881528;25,525833;7,9;1,487639;
2009-05-31;26;360,4;1000,055376;25,713441;5,7;1,5875;
2009-06-30;12;110,6;1001,011806;26,254861;8,2;2,392639;
2009-07-31;13;51,4;1001,620564;26,356048;6,5;3,199328;
2009-08-31;5;5,2;1001,173656;27,158333;6,9;3,88871;
2009-09-30;null;0;1001,268028;27,802998;8,7;4,733345;
2009-10-31;2;null;999,177887;27,640969;8,1;4,70155;
2009-11-30;3;1,8;998,525833;28,13;8,8;5,237639;
2009-12-31;4;4,2;998,923918;28,335704;8,7;4,900299;
2010-01-31;2;null;null;null;6,8;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;6;null;null;null;null;null;
2010-04-30;16;114;998,477778;27,969722;7,3;2,891944;
2010-05-31;10;117,2;999,107527;28,067339;6,2;3,01586;
2010-06-30;9;49,6;1000,925833;28,307083;7,3;3,124167;
2010-07-31;4;6,8;1000,7375;28,513038;7,8;3,644355;
2010-08-31;null;0;1001,016938;28,373835;8,4;4,596709;
2010-09-30;0;0;999,810556;28,355695;10,9;5,151528;
2010-10-31;1;1;999,234812;28,409005;8,8;4,635618;
2010-11-30;3;2,4;997,637778;28,736667;9,2;5,111528;
2010-12-31;12;38;996,925269;28,134409;8,3;4,310484;
2011-01-31;22;311,2;997,729839;26,323118;6,8;2,877419;
2011-02-28;22;257;998,390923;26,619643;6,6;2,898512;
2011-03-31;26;204,2;998,382565;26,052816;6,7;2,229879;
2011-04-30;27;367,4;998,741667;25,831806;6,9;2,107778;
2011-05-31;17;162,2;999,081183;26,54785;7,2;2,35336;
2011-06-30;12;91;1000,574167;26,781528;7;3,182917;
2011-07-31;6;36,4;1000,755376;26,995027;7;3,420027;
2011-08-31;5;10,8;1001,338441;27,551344;8,8;4,583333;
2011-09-30;0;0;1001,057778;28,157222;9,6;5,099722;
2011-10-31;8;26,6;998,462097;27,806317;9,1;5,303226;
2011-11-30;2;1,4;998,416111;28,094167;9,2;5,581528;
2011-12-31;3;1,8;998,602957;28,184812;9,5;5,846909;
