Nome: GILBUES
Codigo Estacao: A364
Latitude: -9.87527777
Longitude: -45.34583333
Altitude: 425.1
Situacao: Operante
Data Inicial: 2009-05-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-05-31;null;null;null;null;null;null;
2009-06-30;1;,2;965,686944;24,508056;5,5;2,391528;
2009-07-31;0;0;965,719624;25,286021;6,9;2,547043;
2009-08-31;0;0;964,779839;27,291532;7,3;3,070027;
2009-09-30;2;12;963,691944;29,7725;7,5;2,752222;
2009-10-31;11;101,6;961,937787;27,288218;null;null;
2009-11-30;9;116,6;961,375694;27,66375;null;null;
2009-12-31;22;218,2;962,670296;25,561962;null;null;
2010-01-31;19;134,8;962,926931;25,656464;null;null;
2010-02-28;16;112,8;962,305208;26,453423;null;null;
2010-03-31;15;188,8;962,806183;26,286694;null;null;
2010-04-30;9;137,4;963,172361;26,23125;null;null;
2010-05-31;4;18;963,265188;27,399194;5,7;2,091263;
2010-06-30;0;0;965,871111;26,960972;7,4;2,801667;
2010-07-31;0;0;965,958871;26,588172;7,9;3,4625;
2010-08-31;1;,2;965,712222;27,129197;7,9;3,497572;
2010-09-30;0;0;963,665556;28,962083;8;3,667778;
2010-10-31;12;152,2;962,075403;28,725672;7,5;2,23172;
2010-11-30;12;139,2;961,076667;27,241389;6,3;1,849306;
2010-12-31;11;107;960,610618;26,086156;6,3;1,719355;
2011-01-31;16;140,8;961,49879;25,606586;6;1,683602;
2011-02-28;21;194,8;962,54122;24,709375;7;1,514286;
2011-03-31;22;143,2;962,257373;25,287592;6,8;1,481254;
2011-04-30;5;10;963,010139;25,835556;5,5;2,0625;
2011-05-31;2;5,4;963,7625;26,14328;6;2,454436;
2011-06-30;0;0;965,031944;26,281111;6,8;2,630694;
2011-07-31;0;0;965,353495;26,229704;7;3,068817;
2011-08-31;0;0;964,974731;28,154973;6,9;3,001613;
2011-09-30;0;0;964,838194;29,104028;7,9;3,539444;
2011-10-31;14;222,8;961,626613;28,327554;7,5;2,331586;
2011-11-30;15;119;962,30125;26,024028;7,3;1,975694;
2011-12-31;15;192,8;961,969086;26,433602;7,5;1,795968;
2012-01-31;21;165,4;962,718414;25,239247;6,6;1,728763;
2012-02-29;14;135,8;962,577874;25,611638;6,2;1,77931;
2012-03-31;13;135,6;962,797709;26,249088;6,2;1,406574;
2012-04-30;3;36,4;962,552222;26,986667;5,7;1,583333;
2012-05-31;4;27,4;963,946774;27,847984;6,3;2,304435;
2012-06-30;1;2;965,2625;27,383889;6,8;2,602639;
2012-07-31;0;0;965,49422;27,291801;7,8;3,220564;
2012-08-31;null;0;966,73197;27,09125;7,7;3,660273;
2012-09-30;0;0;964,938194;29,767083;7,7;3,44875;
2012-10-31;3;2,8;961,900134;31,245968;7,7;2,913441;
2012-11-30;20;293,4;961,964306;27,423889;7,1;1,819028;
2012-12-31;8;38;961,59207;28,073656;9,1;1,720833;
2013-01-31;18;170;963,12164;26,928898;8,7;1,606452;
2013-02-28;5;90;961,960714;28,205357;5,9;1,798512;
2013-03-31;17;116,2;962,745028;27,917241;7,4;1,626333;
2013-04-30;9;59,6;963,665509;27,924282;6,4;1,763148;
2013-05-31;2;null;null;null;6,1;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;0;965,948738;27,640652;7,1;3,132609;
2013-08-31;0;0;964,814113;28,07164;7,8;3,418145;
2013-09-30;0;0;963,727917;29,928472;7,3;3,395833;
