Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2010-06-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;1;null;null;null;7,9;null;
2010-07-31;1;,4;978,617204;26,626478;9;3,885887;
2010-08-31;null;0;978,456141;27,289819;8,7;3,886564;
2010-09-30;0;0;976,600556;28,808194;9,4;4,221667;
2010-10-31;6;15,2;974,67164;29,504973;8,3;2,988441;
2010-11-30;8;30,6;973,302917;28,819722;8,4;2,762917;
2010-12-31;16;52;973,14879;26,487634;7,7;2,344489;
2011-01-31;15;96,6;973,9;26,320968;7,7;2,311156;
2011-02-28;21;199,8;974,929613;25,045833;6,9;1,933333;
2011-03-31;18;245,4;974,772853;25,340165;6,8;1,831281;
2011-04-30;11;97,6;975,466944;25,45125;6,4;1,984028;
2011-05-31;4;28,8;976,290591;25,845968;8;2,458065;
2011-06-30;0;0;977,553889;26,295278;8,1;2,942639;
2011-07-31;0;0;977,985484;26,139651;8,2;3,259543;
2011-08-31;0;0;977,80457;27,707392;7,7;3,31828;
2011-09-30;0;0;977,7475;28,563194;8,5;3,824861;
2011-10-31;8;74;974,092607;28,917473;7,8;3,013978;
2011-11-30;7;64;974,455694;27,013889;8;2,606389;
2011-12-31;7;49;974,059409;27,827151;8,1;2,659274;
2012-01-31;11;61,2;974,745027;27,059005;8,6;2,558199;
2012-02-29;14;161,8;974,94181;25,722845;7,7;2,296408;
2012-03-31;12;58;975,163441;27,042607;6,8;2,170699;
2012-04-30;2;27,8;974,945833;27,789583;6,5;2,180417;
2012-05-31;0;0;976,355242;28,190457;7,7;2,800403;
2012-06-30;0;0;977,837083;27,965833;6,7;2,915278;
