Nome: OURICURI
Codigo Estacao: A366
Latitude: -7.88583333
Longitude: -40.10277777
Altitude: 457.85
Situacao: Pane
Data Inicial: 2010-08-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-08-31;1;null;null;24,314444;7,1;null;
2010-09-30;7;3,6;961,907361;25,450695;7,7;null;
2010-10-31;3;34,4;959,5;27,875134;8,1;null;
2010-11-30;0;0;957,722778;28,869306;6,9;null;
2010-12-31;13;104,6;957,31828;26,25;7,8;null;
2011-01-31;9;73;958,045564;25,627151;8,8;null;
2011-02-28;12;112,6;958,729316;25,872917;7,4;null;
2011-03-31;15;135,4;958,570354;25,253373;6,3;null;
2011-04-30;12;89,6;959,4625;24,819305;5,7;null;
2011-05-31;10;154;960,832124;23,63078;6,8;null;
2011-06-30;6;10,6;962,319722;23,291111;7,1;null;
2011-07-31;9;8,8;962,796505;23,364919;8,1;null;
2011-08-31;3;25,6;962,875672;24,874328;6,9;null;
2011-09-30;1;1,6;963,198889;25,100417;7,7;null;
2011-10-31;3;64,2;958,88172;27,309946;6,5;null;
2011-11-30;4;57,6;958,821111;26,941111;6,9;null;
2011-12-31;4;28;958,566667;27,922312;7,8;null;
2012-01-31;6;55,2;959,052419;27,339651;8,1;null;
2012-02-29;7;79;959,148132;26,090086;6,8;null;
2012-03-31;7;24,2;959,481452;27,15914;8;null;
2012-04-30;2;7,2;959,524306;27,575972;5,9;null;
2012-05-31;4;6,2;961,265416;26,554734;6,6;null;
2012-06-30;0;0;962,765278;25,813611;6,8;null;
2012-07-31;8;9,4;963,337366;24,304435;7,7;null;
2012-08-31;2;2;964,451517;24,192639;8,3;null;
2012-09-30;1;,6;963,167361;26,285556;7,9;null;
2012-10-31;1;1;960,25121;27,526747;7,7;null;
2012-11-30;6;40,6;958,142083;29,099028;6,8;null;
2012-12-31;4;9,8;958,226747;28,996774;7,3;null;
2013-01-31;10;119,2;null;27,504167;11,6;null;
2013-02-28;1;,8;null;28,666964;6;null;
2013-03-31;9;53,2;null;28,672414;9,5;null;
2013-04-30;8;null;960,071175;26,847554;8,3;null;
2013-05-31;5;null;961,250292;26,434549;7,2;null;
2013-06-30;null;null;null;null;7;null;
2013-07-31;2;null;null;null;6,5;null;
2013-08-31;5;2,6;962,797849;25,213172;7,5;null;
2013-09-30;0;0;961,966111;26,92125;7,4;null;
2013-10-31;1;,8;960,531183;28,186962;8,6;null;
2013-11-30;3;2,2;958,534722;28,348889;7,1;null;
2013-12-31;12;82;958,776075;27,926478;10;null;
2014-01-31;5;25;959,80121;27,896236;8,5;null;
2014-02-28;12;134;959,129018;26,631696;6,1;null;
2014-03-31;14;112,4;959,809946;25,706048;6,3;null;
2014-04-30;9;77,4;960,345833;25,620278;6,4;null;
2014-05-31;9;26,8;961,204956;24,646891;6,3;null;
2014-06-30;8;6,6;962,670833;24,970278;7,6;null;
2014-07-31;7;8,4;964,704167;24,690726;7,2;null;
2014-08-31;1;1;963,949866;24,917204;7,4;null;
2014-09-30;2;,6;962,278472;26,962083;7,4;null;
2014-10-31;2;9;961,187903;27,578091;7,8;null;
2014-11-30;7;45,6;959,33125;27,95875;7,2;null;
2014-12-31;9;91,6;959,907604;27,251528;11,5;null;
2015-01-31;null;null;null;null;null;null;
