Nome: ITAPORANGA
Codigo Estacao: A373
Latitude: -7.31833332
Longitude: -38.14083333
Altitude: 292
Situacao: Operante
Data Inicial: 2017-11-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-11-30;2;null;977,188117;29,89892;8,2;2,904938;
2017-12-31;3;5,4;977,374328;29,966935;7,9;3,143841;
2018-01-31;14;226,8;977,954839;28,325269;null;null;
2018-02-28;18;132,2;977,687649;27,043304;7,2;1,796131;
2018-03-31;12;74;978,257392;26,866129;5,5;1,771371;
2018-04-30;18;213;979,363056;25,396944;5,2;1,423333;
2018-05-31;9;49,8;980,399597;25,080779;5,1;1,682258;
2018-06-30;1;,8;981,843333;25,253472;5,6;null;
2018-07-31;1;,2;981,904301;26,248925;null;null;
2018-08-31;0;0;981,869086;27,381586;5,8;2,465591;
2018-09-30;2;35;979,477778;28,422778;6,2;2,555972;
2018-10-31;2;1,2;978,28965;29,711828;7,8;2,725538;
2018-11-30;3;60,6;977,458611;29,998333;5,8;null;
2018-12-31;10;69,2;978,784005;27,911559;null;null;
2019-01-31;11;81,2;979,217285;28,095694;7,5;1,940432;
2019-02-28;18;161;978,434226;27,152976;8,2;1,672173;
2019-03-31;13;null;978,928272;26,637011;8,1;1,72275;
2019-04-30;16;93,4;978,935556;26,504722;5,1;1,367784;
2019-05-31;13;221,4;979,339651;25,690323;5,6;1,300926;
2019-06-30;5;null;981,83541;25,004016;5,9;1,736512;
2019-07-31;4;null;982,167855;25,146319;5,5;2,167226;
2019-08-31;6;5,4;983,092608;26,093952;6,8;2,482393;
2019-09-30;1;3,6;980,649167;28,417639;5,3;2,473889;
2019-10-31;1;1;978,581075;29,627778;5,7;2,771667;
2019-11-30;null;null;null;30,477044;7,7;null;
2019-12-31;3;53;977,330745;30,207372;7,8;2,480739;
2020-01-31;6;null;null;null;6,9;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;18;null;978,475695;26,308602;null;null;
2020-04-30;4;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;15;null;978,690042;26,789294;5,7;1,514572;
2023-04-30;13;null;978,296463;26,09573;5,8;1,280411;
2023-05-31;6;null;979,990802;26,04073;4,8;1,385049;
2023-06-30;null;null;981,703783;null;4,4;1,81531;
2023-07-31;1;null;null;null;4,8;null;
2023-08-31;2;null;980,775409;null;6;2,243039;
2023-09-30;2;null;980,143997;null;6,4;2,494349;
2023-10-31;null;null;null;null;null;null;

