Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;2;null;null;null;null;null;
2018-04-30;5;46,8;961,143194;24,395417;3,9;1,151389;
2018-05-31;0;0;962,004704;24,820161;4,7;1,364382;
2018-06-30;0;0;963,453472;23,499583;5;1,454722;
2018-07-31;0;0;963,309543;23,235484;4,5;1,392876;
2018-08-31;2;2,4;962,71371;26,099194;4,8;1,629839;
2018-09-30;0;0;959,684167;28,184861;5,5;1,657778;
2018-10-31;12;58,8;958,900403;28,753763;6,6;1,685349;
2018-11-30;11;127,8;958,879722;26,827639;5,3;1,569583;
2018-12-31;13;205,8;960,749462;24,964516;5,9;1,32957;
2019-01-31;10;58,2;960,844624;25,877285;5,5;1,371505;
2019-02-28;15;144,6;960,164583;25,399554;5,5;1,33497;
2019-03-31;16;206,2;960,570027;25,696774;4,8;1,277016;
2019-04-30;10;164,2;960,693056;25,110833;4,1;1,119861;
2019-05-31;4;61,4;960,915726;24,874194;4,1;1,186425;
2019-06-30;0;0;963,566667;23,455278;4,6;1,388333;
2019-07-31;0;0;963,321909;23,961694;4,4;1,479839;
2019-08-31;0;0;964,076479;24,874865;5,1;1,752016;
2019-09-30;1;,6;961,097222;27,644028;5,3;1,660972;
2019-10-31;4;38,8;959,074462;29,044489;7;1,776613;
2019-11-30;7;68,8;957,851931;29,009034;4,9;1,706115;
2019-12-31;4;38,4;958,413043;28,526199;7,1;1,746506;
2020-01-31;16;null;960,128979;25,708057;4;1,291019;
2020-02-29;13;null;960,529447;25,033263;5,2;1,193661;
2020-03-31;4;null;null;null;4,5;null;
2020-04-30;null;null;null;null;4;null;
2020-05-31;null;null;null;null;4;null;
2020-06-30;null;null;null;null;4,5;null;
2020-07-31;null;null;null;null;4,8;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;4,8;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;960,521944;28,310239;5,7;1,554064;
2021-10-31;4;null;959,144458;28,843332;5,7;1,755696;
2021-11-30;17;243,4;959,013087;25,605875;5,6;1,450996;
2021-12-31;18;null;958,659974;24,843616;6,2;1,246334;
2022-01-31;15;null;960,232182;24,586552;5,5;1,235302;
2022-02-28;8;null;959,505849;25,181622;4,9;1,164407;
2022-03-31;15;65,2;959,560187;24,70077;3,9;1,162641;
2022-04-30;7;45,2;959,948853;24,934825;4;1,20526;
2022-05-31;3;5,2;961,915188;24,158602;4;1,184543;
2022-06-30;0;0;961,988883;22,906884;4,5;1,247512;
2022-07-31;null;0;963,080396;22,789988;4,8;1,416946;
2022-08-31;0;0;962,414516;24,700403;4,1;1,603763;
2022-09-30;2;22,6;960,81458;27,018078;5,1;1,575436;
2022-10-31;3;null;959,272054;28,476381;6,6;1,651737;
2022-11-30;11;null;959,421987;26,111111;4,6;1,377195;
2022-12-31;11;null;959,216908;28,055516;4,4;1,305091;
2023-01-31;5;null;960,216314;27,066319;4,2;1,291857;
2023-02-28;7;null;960,012709;26,271418;4,4;1,385802;
2023-03-31;14;null;960,403491;25,782914;3,9;1,328965;
2023-04-30;5;31,6;960,010417;25,720139;4;1,179722;
2023-05-31;5;18;961,797923;25,668949;4,7;1,273841;
2023-06-30;2;2;963,386111;24,943056;4;1,372917;
2023-07-31;0;0;963,665188;24,729436;4,6;1,453763;
2023-08-31;3;22;961,960484;26,681452;5,2;1,464113;
2023-09-30;null;0;960,67983;28,672783;5,6;1,622594;
2023-10-31;null;null;null;null;null;null;

