Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2003-01-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-01-31;3;null;null;null;null;null;
2003-02-28;8;17;988,324159;26,094921;7,4;3,173033;
2003-03-31;16;83,2;987,686559;25,867473;7,5;2,996505;
2003-04-30;18;62,4;988,434861;25,139028;6,1;2,962917;
2003-05-31;22;148,6;989,663003;23,697049;7,9;3,033421;
2003-06-30;1;null;null;null;null;null;
2003-07-31;null;null;null;null;6,7;null;
2003-08-31;null;null;null;null;6,8;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;1;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;2;null;null;null;6,4;null;
2004-03-31;16;56,6;987,460618;25,264604;6,8;2,501479;
2004-04-30;19;128;988,412603;24,763798;6,5;2,641437;
2004-05-31;26;118,4;989,998521;24,236425;6,3;2,493145;
2004-06-30;29;130,4;993,109342;21,856993;7,2;2,750338;
2004-07-31;25;63,4;992,404073;21,060759;7;3,097031;
2004-08-31;24;55,6;993,362652;21,252647;7,1;2,975397;
2004-09-30;19;14,2;991,973273;22,22186;7,1;3,16538;
2004-10-31;15;77,4;989,062593;23,82102;7,2;3,02192;
2004-11-30;10;86,4;987,886834;24,812297;7;3,161201;
2004-12-31;3;,6;987,311138;25,675631;7;3,043393;
2005-01-31;7;65,6;986,284751;26,216771;8,9;2,99349;
2005-02-28;14;null;986,517598;25,591623;7,7;2,880806;
2005-03-31;16;84,6;987,384162;26,161733;7,4;2,695496;
2005-04-30;24;124,6;988,637313;24,324958;6,4;2,609801;
2005-05-31;21;null;989,942606;23,638741;7,4;3,267975;
2005-06-30;28;212,4;991,505463;22,193572;7,2;2,959358;
2005-07-31;10;null;null;null;8,5;null;
2005-08-31;null;null;null;null;null;null;
2005-09-30;null;null;null;null;null;null;
2005-10-31;10;15,6;989,796475;24,101108;7,4;3,251258;
2005-11-30;12;141;987,512917;24,589167;7,1;3,190417;
2005-12-31;8;52;986,741321;24,932392;7,3;3,047446;
2006-01-31;16;65,8;987,772446;24,993683;7,7;3,239785;
2006-02-28;2;null;986,359444;26,714361;7,1;3,194777;
2006-03-31;10;40;986,702474;26,639162;7,3;2,892791;
2006-04-30;18;null;986,852553;24,70599;6;2,828844;
2006-05-31;12;null;null;22,445813;7,1;null;
2006-06-30;27;276,2;992,558611;21,064722;8,1;3,478194;
2006-07-31;29;71,6;993,360172;20,611582;7;3,177981;
2006-08-31;26;75,8;992,556048;21,529722;7,9;3,0678;
2006-09-30;18;115,4;991,627677;22,153914;8,3;3,237098;
2006-10-31;18;95;988,830645;23,270027;7,2;3,023253;
2006-11-30;15;92;987,240725;24,032231;7,4;2,792509;
2006-12-31;7;13,6;988,156179;25,478131;7,9;3,105571;
2007-01-31;6;8,2;987,69543;26,16707;8,4;3,193414;
2007-02-28;20;151,4;987,603082;25,078241;7,2;2,918559;
2007-03-31;28;153;988,326987;23,945202;6,8;2,755078;
2007-04-30;25;76;988,6075;23,715417;7;2,679861;
2007-05-31;26;101,6;989,914399;22,173116;7,5;3,042093;
2007-06-30;28;171,6;992,455755;21,057923;7;2,960821;
2007-07-31;16;null;null;null;9,6;null;
2007-08-31;8;null;993,155977;null;8,9;3,345055;
2007-09-30;3;null;993,052144;null;7,4;3,213815;
2007-10-31;null;null;null;null;7,5;null;
2007-11-30;null;null;null;null;7,8;null;
2007-12-31;null;null;null;null;6,9;null;
2008-01-31;null;null;null;null;6,9;null;
2008-02-29;null;null;null;null;6,6;null;
2008-03-31;null;null;null;null;6,6;null;
2008-04-30;null;null;null;null;6,4;null;
2008-05-31;null;null;null;null;7,2;null;
2008-06-30;null;null;null;null;6,6;null;
2008-07-31;15;null;null;20,519213;6,8;null;
2008-08-31;24;74;991,654435;21,262634;7,9;2,947043;
2008-09-30;16;68,8;991,613195;22,386806;7,1;2,943889;
2008-10-31;15;66;990,533871;23,635753;7,7;3,150269;
2008-11-30;6;48,4;987,318889;25,264306;7,3;3,330417;
2008-12-31;17;90,2;986,658871;24,967339;7,8;2,722984;
2009-01-31;12;34,2;987,471868;25,870629;6,9;2,920202;
2009-02-28;15;48,8;987,09881;25,539448;7,1;2,936472;
2009-03-31;9;9,8;986,010618;26,680376;6,4;2,810484;
2009-04-30;17;102,8;987,645417;25,352778;7,4;2,810833;
2009-05-31;20;253;989,312903;23,328091;7,5;3,402823;
2009-06-30;25;97,2;991,290139;22,604583;7,3;2,910694;
2009-07-31;24;133,6;992,136425;22,075269;6,7;2,713441;
2009-08-31;24;79,2;992,070161;21,97379;6,5;3,050134;
2009-09-30;11;48,2;991,342857;23,451934;7;2,817113;
2009-10-31;11;44,6;987,490661;24,769684;6,7;2,931753;
2009-11-30;4;13,6;987,567639;25,523472;6,6;3,182639;
2009-12-31;9;16;987,47043;26,528091;8,2;3,312097;
2010-01-31;4;null;null;26,243611;7,4;null;
2010-02-28;13;38,2;987,650595;26,552232;8,2;3,201786;
2010-03-31;17;143,6;987,014125;26,489651;6,9;2,75457;
2010-04-30;23;241;988,06331;24,772414;6,7;2,887356;
2010-05-31;25;70;988,849194;24,164785;6,7;2,602688;
2010-06-30;19;101,8;992,348611;22,243611;8,4;3,613333;
2010-07-31;25;281,4;992,951134;21,384528;7,3;3,218243;
2010-08-31;26;82;993,429257;20,946951;7,8;3,165664;
2010-09-30;19;79,8;991,779342;22,055918;7,6;3,167663;
2010-10-31;12;34,6;988,412366;24,527823;7;3,184812;
2010-11-30;2;4,8;986,747639;25,554028;7,1;3,24375;
2010-12-31;8;99,6;985,215173;25,820833;7,3;2,969086;
2011-01-31;13;null;986,42035;25,180945;8,4;2,987993;
2011-02-28;12;55,2;986,928125;25,726042;7,1;3,023512;
2011-03-31;9;77,6;985,927734;26,409652;6,8;2,971297;
2011-04-30;19;131;987,874167;24,534028;6,7;2,835833;
2011-05-31;26;132,2;989,52957;22,844624;6,6;2,942742;
2011-06-30;28;158,2;991,22125;21,699028;7,9;2,763889;
2011-07-31;29;71;992,211559;21,202151;7,4;2,95672;
2011-08-31;25;108,8;992,396237;21,577554;6,5;2,762634;
2011-09-30;21;84;993,188889;21,371389;7,3;3,272361;
2011-10-31;20;92;988,212097;23,328226;7,8;3,033468;
2011-11-30;14;73,6;988,243194;23,445694;7,5;3,074444;
2011-12-31;13;20,8;987,435511;24,986528;6,5;2,652796;
2012-01-31;null;null;null;null;7,4;null;
2012-02-29;15;52,2;987,937699;25,190466;7,4;2,968873;
2012-03-31;10;17,2;988,320833;25,382392;7,1;2,686694;
2012-04-30;17;53,2;988,4125;24,681667;6,2;2,455417;
2012-05-31;23;73,8;990,364382;23,419355;6,7;2,743145;
2012-06-30;26;109,4;991,96889;22,443304;6,6;2,276263;
2012-07-31;23;96,2;992,576613;21,463979;6,8;2,497446;
2012-08-31;28;134;994,242684;21,044722;7;2,907354;
2012-09-30;21;48;992,891806;22,341111;7,8;2,842361;
2012-10-31;16;34,8;990,024059;23,163978;6,8;2,730242;
2012-11-30;10;50,4;986,946419;25,120543;7,3;2,524855;
2012-12-31;4;11;987,20121;25,697446;6,5;2,785081;
2013-01-31;8;103;987,799597;26,206586;7,4;2,822446;
2013-02-28;11;82,2;987,895536;25,82753;6,8;2,793601;
2013-03-31;9;20,2;987,936583;26,260058;6,5;2,737945;
2013-04-30;17;136,2;988,676987;24,816872;7,3;2,908961;
2013-05-31;29;61;989,941801;23,543683;6,9;2,475941;
2013-06-30;null;null;991,163434;22,630934;6,4;2,323497;
2013-07-31;17;59;992,657258;21,777419;5,6;2,477554;
2013-08-31;27;112;992,311156;21,571505;7,3;2,582661;
2013-09-30;21;74;991,679861;22,48375;7;2,507917;
2013-10-31;18;72,2;990,204056;23,445763;7,7;2,865691;
2013-11-30;16;88,8;987,793889;24,129583;6,6;2,578056;
2013-12-31;11;74,6;986,829658;25,401823;6,2;2,43643;
2014-01-31;19;29,6;988,84186;25,098779;7;2,72154;
2014-02-28;21;125,8;987,95;24,610268;7;2,564435;
2014-03-31;21;78,4;988,309812;25,045699;6,2;2,321505;
2014-04-30;17;72,2;988,458194;25,044861;7,3;2,492083;
2014-05-31;25;161,2;989,733696;23,477782;7;2,411092;
2014-06-30;23;84;991,812361;22,245972;6,6;2,404028;
2014-07-31;27;198,6;994,161144;21,641293;6,4;2,521622;
2014-08-31;26;80,8;993,487097;21,357527;6,6;2,476344;
2014-09-30;21;80,8;992,042192;22,21006;6,9;2,713297;
2014-10-31;13;26,2;991,050269;23,25672;8;3,043414;
2014-11-30;15;35,8;988,263333;24,383472;7,5;2,754167;
2014-12-31;16;58,2;988,699497;24,941784;7;2,80949;
2015-01-31;10;null;989,603296;25,47718;11,3;2,767829;
2015-02-28;null;null;988,643203;null;6,8;2,933266;
2015-03-31;null;null;988,166902;null;6,9;2,885031;
2015-04-30;null;null;null;null;7,1;null;
2015-05-31;3;null;null;null;7;null;
2015-06-30;25;199,4;992,747778;22,389445;6,7;2,505694;
2015-07-31;19;null;null;22,049167;6,9;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;8;null;null;23,215046;6,2;null;
2015-10-31;7;16;990,525;24,199328;6,1;2,552823;
2015-11-30;2;1,6;987,385063;26,225481;6,5;2,871654;
2015-12-31;4;null;null;26,307176;7;null;
2016-01-31;15;165;987,645588;25,977548;6,8;2,435612;
2016-02-29;14;48;988,961925;25,968103;6,3;2,421408;
2016-03-31;19;45,8;989,184543;26,29664;6,4;2,40914;
2016-04-30;20;67;989,045139;25,230417;7,2;2,302083;
2016-05-31;24;145,8;991,133199;23,584409;6,5;2,030645;
2016-06-30;21;76,4;992,723532;22,823098;6,8;2,458581;
2016-07-31;27;78,4;993,081855;21,911022;7,2;2,202688;
2016-08-31;25;140;992,671237;22,116532;7;2,38629;
2016-09-30;23;66,8;991,9525;22,698611;7,1;2,518194;
2016-10-31;14;59;989,288979;24,341129;6,8;2,623521;
2016-11-30;11;33,2;988,145139;25,017778;7;2,758056;
2016-12-31;10;55,6;987,875941;25,700269;7,4;2,900538;
2017-01-31;12;16,4;988,335349;25,824328;6,8;2,898522;
2017-02-28;15;39,2;987,885766;25,86756;6,9;2,785145;
2017-03-31;14;41,6;987,726882;25,837769;7,2;2,744893;
2017-04-30;23;145,4;988,778889;24,799583;7,3;2,481389;
2017-05-31;29;161,4;990,246371;23,20578;6,8;2,363575;
2017-06-30;27;136,2;992,09625;22,446389;6,6;2,437778;
2017-07-31;30;155,8;995,31922;20,443952;7,4;3,167608;
2017-08-31;21;51,4;992,774597;21,103898;6,7;2,646774;
2017-09-30;27;156,2;993,742778;21,514445;7,3;3,036944;
2017-10-31;22;33,4;990,348656;23,187231;6,8;2,712903;
2017-11-30;15;65,8;987,665139;24,445278;6,7;2,428195;
2017-12-31;13;116;987,120833;25,554704;9,5;2,499462;
2018-01-31;13;55,2;987,830108;25,774462;6,7;2,58871;
2018-02-28;10;null;null;25,89875;9,6;null;
2018-03-31;null;null;null;null;6,8;null;
2018-04-30;12;null;null;null;6,2;null;
2018-05-31;26;180,6;990,756989;23,011156;6,9;2,423118;
2018-06-30;29;156,8;992,717083;22,178056;6,7;2,221389;
2018-07-31;29;54,4;993,129167;21,526613;6;2,236021;
2018-08-31;25;61;993,024462;22,070027;7,1;2,288844;
2018-09-30;16;48,2;990,598611;22,959306;5,9;2,409722;
2018-10-31;16;18,2;988,787851;24,366602;6,4;2,642964;
2018-11-30;19;97;988,365694;24,750694;6,9;2,636944;
2018-12-31;17;118,4;988,625672;25,095968;6,1;2,149597;
2019-01-31;8;23,8;989,661022;25,712903;6,9;2,588306;
2019-02-28;5;43,2;987,363542;27,264732;7,1;2,449554;
2019-03-31;16;156,4;987,929892;26,409005;8;2,341667;
2019-04-30;18;61;988,125139;25,651111;6,6;1,813611;
2019-05-31;27;66,6;989,014469;24,621856;5,4;1,922996;
2019-06-30;9;null;null;null;6,9;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;12;null;null;22,767973;6,2;null;
2019-10-31;11;28,8;989,648656;23,867204;6,6;2,404436;
2019-11-30;10;54,4;987,439583;25,269306;6,4;2,656944;
2019-12-31;12;23,4;987,671505;25,650941;7,1;2,634409;
2020-01-31;15;108,6;987,595699;25,915323;7,1;2,160215;
2020-02-29;7;26,6;987,915374;26,399425;6,3;2,017385;
2020-03-31;19;124,8;987,42836;25,883199;7,1;2,320699;
2020-04-30;26;103;988,832222;24,707778;7;2,388611;
2020-05-31;30;189,8;990,653495;23,485081;6,8;2,286828;
2020-06-30;26;174,6;991,854861;22,603056;6,9;2,403056;
2020-07-31;31;184,4;992,311022;21,567473;6,4;2,372446;
2020-08-31;17;null;null;21,218872;6,9;null;
2020-09-30;null;null;null;null;6,6;null;
2020-10-31;null;null;null;null;6,2;null;
2020-11-30;null;null;null;null;6,4;null;
2020-12-31;null;null;null;null;7,2;null;
2021-01-31;null;null;null;null;7,6;null;
2021-02-28;null;null;null;null;6,2;null;
2021-03-31;null;null;null;null;6,7;null;
2021-04-30;null;null;null;null;6,3;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;4;null;null;null;null;null;
2021-12-31;18;223,8;986,409812;25,118145;6,3;,587634;
2022-01-31;15;64;987,832258;25,252016;6,2;,761022;
2022-02-28;17;58,2;987,107738;25,7875;6,6;,801637;
2022-03-31;25;128,2;987,450806;24,755108;6,1;,86465;
2022-04-30;23;211;987,871531;24,469048;6,1;,741831;
2022-05-31;null;null;990,294758;23,288038;6,9;,767473;
2022-06-30;7;null;990,951667;21,732778;7,5;,976111;
2022-07-31;14;14,4;992,682661;21,42715;6,5;1,10914;
2022-08-31;24;115,2;992,768414;21,338306;7,1;1,39664;
2022-09-30;21;50;991,368472;22,305417;5,9;1,013472;
2022-10-31;17;56,4;989,723656;24,032124;6,2;1,276075;
2022-11-30;18;240,4;987,613088;24,329444;6,3;1,13625;
2022-12-31;15;72,2;986,976613;25,424194;5,9;,866935;
2023-01-31;19;56;988,060215;25,783199;6,7;1,027285;
2023-02-28;17;84,4;988,21875;26,130804;6,9;1,472321;
2023-03-31;26;143,6;988,459543;25,33172;6,6;1,13414;
2023-04-30;21;44,6;987,557639;25,141667;6,5;,770833;
2023-05-31;24;104;990,114516;23,686425;6,7;1,03078;
2023-06-30;29;121,6;992,635417;22,177917;6,8;1,441389;
2023-07-31;29;90,4;993,307796;21,861559;7,5;1,140323;
2023-08-31;14;null;991,788483;21,75073;6,3;1,002703;
2023-09-30;null;null;991,311233;null;6,8;1,620163;
2023-10-31;null;null;null;null;null;null;

