Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2003-01-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-01-31;2;null;null;null;null;null;
2003-02-28;8;15,4;976,248881;27,351922;7,2;2,803914;
2003-03-31;5;7,8;975,497312;27,765323;8,4;2,885618;
2003-04-30;9;12,8;976,385139;26,889722;7,4;2,504583;
2003-05-31;14;70,6;977,827262;24,982065;7,4;2,061378;
2003-06-30;18;47;979,455933;22,664799;5,9;1,671865;
2003-07-31;16;43,4;981,536828;22,192742;7,3;2,231452;
2003-08-31;15;33,4;980,756989;23,11465;8;2,197446;
2003-09-30;13;15,2;979,747361;24,144167;7,3;2,794167;
2003-10-31;4;2,4;977,492204;25,767339;8,3;3,474194;
2003-11-30;10;81,6;975,897401;26,025417;9,4;2,86375;
2003-12-31;7;7,6;975,551882;27,449328;8,1;3,150941;
2004-01-31;17;295,6;974,261553;26,230651;7,9;2,435986;
2004-02-29;11;52,4;975,923192;26,165567;6,7;1,928761;
2004-03-31;12;89,2;975,526343;25,806216;7,4;1,716929;
2004-04-30;14;34,4;976,493581;25,652796;6,5;1,728605;
2004-05-31;12;38,6;978,145161;24,40672;6,3;1,602823;
2004-06-30;19;42,6;981,330133;22,259837;7,8;1,60724;
2004-07-31;12;49,2;980,500082;22,298995;8,2;1,957614;
2004-08-31;1;,2;981,115615;23,253103;7,2;2,355154;
2004-09-30;5;3,2;979,713238;24,085332;9,7;2,858041;
2004-10-31;13;33,8;976,798241;25,65969;8;2,916716;
2004-11-30;6;85;975,731892;26,504083;8,4;2,926063;
2004-12-31;2;23,2;975,216043;26,889772;7,2;2,258117;
2005-01-31;6;63,4;974,318394;27,174664;7,7;2,19199;
2005-02-28;9;null;974,575538;26,706776;7,5;2,119566;
2005-03-31;12;27;975,576722;26,822076;6,4;1,631041;
2005-04-30;21;102,8;976,853523;25,148451;6,5;1,667292;
2005-05-31;13;null;978,16458;24,302281;7,1;1,866378;
2005-06-30;19;70,4;979,786371;22,774627;7;1,725355;
2005-07-31;6;null;null;null;6,4;null;
2005-08-31;10;null;null;22,92185;7,1;null;
2005-09-30;4;9,2;979,202509;24,567112;7,3;2,652395;
2005-10-31;4;null;977,477775;26,019921;8,2;3,136699;
2005-11-30;12;124,8;975,404849;25,830417;7,5;2,623195;
2005-12-31;6;54,4;974,708088;26,105394;7,2;2,330978;
2006-01-31;11;14,4;975,602419;26,625941;7,6;2,86922;
2006-02-28;3;null;974,274378;28,542309;9,6;2,812895;
2006-03-31;10;115,8;974,78416;27,355835;7,7;2,076075;
2006-04-30;19;null;975,110937;25,39829;5,9;1,543045;
2006-05-31;9;null;null;24,015545;6,1;null;
2006-06-30;17;60,8;980,739004;22,178768;7,4;1,802307;
2006-07-31;9;25,2;981,406878;22,03781;6,7;1,949673;
2006-08-31;14;21,2;980,415515;22,839583;8,2;2,396793;
2006-09-30;11;14,6;979,467298;24,275088;7,7;2,776566;
2006-10-31;15;109,2;976,746947;25,141263;7,6;2,585618;
2006-11-30;14;89;975,275302;25,375598;7,8;2,159118;
2006-12-31;5;19,4;975,997962;27,134731;7,4;2,547968;
2007-01-31;3;8,4;975,412769;28,055511;9;2,816263;
2007-02-28;21;254,4;975,652679;25,892708;6,6;2,105804;
2007-03-31;15;54,8;976,475887;25,333927;7;1,867197;
2007-04-30;9;78,2;976,609136;25,42692;7,6;1,650851;
2007-05-31;8;26,4;977,949372;24,416407;7,3;1,794694;
2007-06-30;17;60,6;980,500085;22,472959;6,7;1,83378;
2007-07-31;13;19;980,558504;22,597862;6,7;1,890799;
2007-08-31;14;45,4;981,272248;22,031317;9,1;2,578132;
2007-09-30;13;23,6;981,105996;22,902428;8;2,789608;
2007-10-31;7;9,8;977,705762;24,986775;7,7;3,128559;
2007-11-30;7;58,4;975,105417;26,520972;8,1;3,140066;
