Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Pane
Data Inicial: 2003-02-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;11;null;null;27,860032;6,7;null;
2003-03-31;17;50,6;1011,90121;27,859274;7,1;3,24785;
2003-04-30;9;65,6;1012,5175;27,880694;7,5;2,969583;
2003-05-31;21;268,8;1013,597055;26,493794;7,6;2,650397;
2003-06-30;24;197,4;1015,140556;25,558908;6,7;2,44405;
2003-07-31;25;197;1017,340188;24,997446;7,2;2,753629;
2003-08-31;25;113,6;1017,008871;24,908333;6,2;2,854973;
2003-09-30;15;67,6;1016,091667;25,593333;7,6;3,328611;
2003-10-31;12;175,2;1014,160081;26,043683;7,6;4,00793;
2003-11-30;13;150,2;1012,299861;26,396806;7,4;4,100695;
2003-12-31;6;47,8;1012,409543;27,260349;8,1;4,502285;
2004-01-31;20;272;1010,903693;26,643274;7,5;3,339364;
2004-02-29;14;49,8;1012,150718;27,310776;7,3;3,440374;
2004-03-31;15;55;1011,794624;27,577554;7,1;3,47621;
2004-04-30;19;83,8;1012,527989;27,340423;7,3;3,043188;
2004-05-31;17;187,8;1014,051478;26,353763;6,7;2,522177;
2004-06-30;22;135,6;1017,026359;25,844499;6,8;2,674469;
2004-07-31;26;218,4;1016,35097;24,386185;7,7;3,028617;
2004-08-31;22;210,4;1017,616725;24,206966;6,4;2,814604;
2004-09-30;16;72,6;1016,309538;25,256099;6,9;3,162033;
2004-10-31;8;7,2;1013,649302;26,348953;7,9;4,482351;
2004-11-30;8;26;1012,49029;26,650135;8,4;4,280165;
2004-12-31;null;0;1012,01199;27,249209;7,9;4,324681;
2005-01-31;5;49;1010,934203;27,573262;8,3;4,071079;
2005-02-28;9;null;1010,881588;27,832437;7,8;3,568848;
2005-03-31;3;3,8;1011,712148;28,19577;6,9;3,566212;
2005-04-30;null;0;1012,577276;27,190053;7,1;2,513958;
2005-05-31;6;null;1013,69393;26,562633;6,8;2,848018;
2005-06-30;22;131,2;1015,296809;25,801852;8;2,631365;
2005-07-31;10;null;null;null;6,2;null;
2005-08-31;11;null;null;25,107418;6,6;null;
