Nome: SANTA RITA DE CASSIA
Codigo Estacao: A415
Latitude: -11.00333333
Longitude: -44.53638888
Altitude: 450
Situacao: Operante
Data Inicial: 2007-05-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;0;963,824843;24,020447;6;1,721878;
2007-07-31;0;0;963,434058;24,378401;5,1;1,599065;
2007-08-31;0;0;963,549562;24,461752;5,9;2,006446;
2007-09-30;0;0;962,926806;26,795833;5,4;2,043889;
2007-10-31;4;7,6;959,564499;29,052028;5,5;2,060198;
2007-11-30;11;207,8;958,156944;28,915833;6,8;1,985139;
2007-12-31;10;251,4;959,144624;26,406452;7,7;1,581855;
2008-01-31;14;96,4;959,195296;26,025806;5,6;1,549462;
2008-02-29;18;228,4;960,188937;25,461351;7,4;1,523276;
2008-03-31;20;136,2;960,145062;24,69537;5;1,394599;
2008-04-30;15;147,4;959,77;24,5525;4,3;1,318611;
2008-05-31;1;2,2;961,822768;24,271464;4,3;1,403389;
2008-06-30;0;0;963,568233;22,4002;5,2;1,493068;
2008-07-31;0;0;964,529704;22,483871;5;1,618414;
2008-08-31;0;0;962,19328;24,564919;6,2;1,654032;
2008-09-30;1;,8;961,507917;27,603472;5,8;1,869583;
2008-10-31;0;0;960,377151;29,212097;7,4;2,171774;
2008-11-30;11;139,6;958,849619;27,476153;7,1;1,769704;
2008-12-31;19;288,4;959,365457;25,24879;7,1;1,543817;
2009-01-31;15;136,6;960,283976;25,542117;5,9;1,541526;
2009-02-28;16;62,8;959,807197;25,374094;5,8;1,548512;
2009-03-31;16;104,6;959,426479;25,428629;6;1,426344;
2009-04-30;17;126,8;961,13125;24,773889;4,3;1,336806;
2009-05-31;9;99;962,178763;24,080914;5,3;1,361559;
2009-06-30;3;25,8;963,530417;23,454583;4,5;1,497917;
2009-07-31;0;0;963,595833;23,519624;5,3;1,497043;
2009-08-31;0;0;962,712366;25,514247;5;1,728495;
2009-09-30;0;0;961,368267;28,570441;5,8;1,813164;
2009-10-31;16;171,2;959,303879;27,164942;6,5;1,684195;
2009-11-30;7;15,2;958,97625;27,45875;4,5;1,540833;
2009-12-31;18;164,8;960,199731;25,442876;6,9;1,641532;
2010-01-31;11;27,8;960,414748;25,815995;6,4;1,563331;
2010-02-28;12;51,8;959,809077;27,171131;5,3;1,734375;
2010-03-31;18;250,6;960,384677;26,022043;7,6;1,482018;
2010-04-30;9;112,6;960,975417;25,380972;5,8;1,449583;
2010-05-31;1;,6;960,97621;26,521505;4;1,372581;
2010-06-30;0;0;963,859861;24,715556;5,8;1,671111;
2010-07-31;1;,2;964,099462;24,326747;5,9;1,941263;
2010-08-31;null;0;963,866371;24,191045;6,4;1,795966;
2010-09-30;0;0;961,683333;27,305972;5,8;2,091667;
2010-10-31;10;79,4;959,421774;28,492742;5,9;1,822715;
2010-11-30;1;null;null;null;5,6;null;
2010-12-31;8;null;null;25,227147;6,3;null;
2011-01-31;6;null;null;null;5,2;null;
2011-02-28;11;null;null;24,787239;5,4;null;
2011-03-31;21;176,4;959,743096;24,825614;7,4;1,424279;
2011-04-30;7;7,2;960,770417;25,284722;5,2;1,534583;
2011-05-31;5;3,6;961,593952;24,926479;4,5;1,55672;
